Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	324709	1	R-P24709	V38	10	
2	505048	2	T-P05048	V38	10	
3	320727	2	R-P20727	V38	10	
4	521641	2	T-P21641	V38	10	
5	320735	2	R-P20735	V38	10	
6	612472	2	U-P12472	V38	10	
7	612470	2	U-P12470	V38	10	
8	612473	2	U-P12473	V38	10	
9	612475	2	U-P12475	V38	10	
10	324571	2	R-P24571	V38	10	
11	323937	2	R-P23937	V38	10	
12	420417	2	S-P20417	V38	10	
13	209154	2	Q-P09154	V38	10	
14	420407	2	S-P20407	V38	10	
15	420406	2	S-P20406	V38	10	
16	517229	2	T-P17229	V38	10	
17	209155	2	Q-P09155	V38	10	
18	517219	2	T-P17219	V38	10	
19	322240	2	R-P22240	V38	10	
20	209507	2	Q-P09507	V38	10	
21	506649	2	T-P06649	V38	10	
22	418284	2	S-P18284	V38	10	
23	312755	2	R-P12755	V38	10	
24	533583	2	T-P33583	V38	10	
25	412112	2	S-P12112	V	10	
26	505186	2	T-P05186	V38	10	
27	209510	2	Q-P09510	V38	10	
28	412118	2	S-P12118	V38	10	
29	511951	2	T-P11951	V38	10	
30	322239	2	R-P22239	V38	10	
31	312746	2	R-P12746	V38	10	
32	506587	2	T-P06587	V	10	
33	209513	2	Q-P09513	V38	10	
34	505188	2	T-P05188	V38	10	
35	506650	2	T-P06650	V38	10	
36	511940	2	T-P11940	V38	10	
37	412125	2	S-P12125	V38	10	
38	412121	2	S-P12121	V38	10	
39	412123	2	S-P12123	V38	10	
40	412126	2	S-P12126	V38	10	
41	324917	2	R-P24917	V38	10	
42	312727	2	R-P12727	V38	10	
43	209505	2	Q-P09505	V38	10	
44	412117	2	S-P12117	V38	10	
45	511936	2	T-P11936	V38	10	
46	209508	2	Q-P09508	V38	10	
47	506620	2	T-P06620	V38	10	
48	412122	2	S-P12122	V38	10	
49	418282	2	S-P18282	V38	10	
50	511938	2	T-P11938	V38	10	
51	511947	2	T-P11947	V38	10	
52	511950	2	T-P11950	V38	10	
53	536741	2	T-P36741	V38	10	
54	511945	2	T-P11945	V38	10	
55	505187	2	T-P05187	V38	10	
56	412119	2	S-P12119	V38	10	
57	415132	2	S-P15132	V	10	
58	511932	2	T-P11932	V38	10	
59	424686	2	S-P24686	V38	10	
60	600598	2	U-P00598	V38	10	
61	209506	2	Q-P09506	V38	10	
62	511937	2	T-P11937	V38	10	
63	536742	2	T-P36742	V38	10	
64	506617	2	T-P06617	V38	10	
65	535959	2	T-P35959	V38	10	
66	506988	2	T-P06988	V38	10	
67	511943	2	T-P11943	V38	10	
68	322294	2	R-P22294	V38	10	
69	505192	2	T-P05192	V38	10	
70	505189	2	T-P05189	V38	10	
71	322238	2	R-P22238	V38	10	
72	511939	2	T-P11939	V38	10	
73	600596	2	U-P00596	V38	10	
74	209512	2	Q-P09512	V38	10	
75	507931	2	T-P07931	V	10	
76	511942	2	T-P11942	V38	10	
77	505185	2	T-P05185	V38	10	
78	511948	2	T-P11948	V38	10	
79	324589	2	R-P24589	V38	10	
80	511935	2	T-P11935	V38	10	
81	209509	2	Q-P09509	V38	10	
82	412124	2	S-P12124	V38	10	
83	511931	2	T-P11931	V38	10	
84	418283	2	S-P18283	V38	10	
85	209511	2	Q-P09511	V38	10	
86	209953	2	Q-P09953	V38	10	
87	415150	2	S-P15150	V38	10	
88	412120	2	S-P12120	V38	10	
89	533584	2	T-P33584	V38	10	
90	209160	2	Q-P09160	V38	10	
91	600595	2	U-P00595	V38	10	
92	511933	2	T-P11933	V38	10	
93	501420	2	T-P01420	V	10	
94	511946	2	T-P11946	V38	10	
95	511934	2	T-P11934	V38	10	
96	511944	2	T-P11944	V38	10	
97	522331	2	T-P22331	V38	10	
98	411155	2	S-P11155	V38	10	
99	328998	2	R-P28998	V38	10	
100	208764	2	Q-P08764	V38	10	
101	522352	2	T-P22352	V38	10	
102	535971	2	T-P35971	V38	10	
103	512288	2	T-P12288	V38	10	
104	511870	2	T-P11870	V38	10	
105	600601	2	U-P00601	V38	10	
106	522339	2	T-P22339	V38	10	
107	523964	2	T-P23964	V38	10	
108	419747	2	S-P19747	V38	10	
109	506631	2	T-P06631	V38	10	
110	600599	2	U-P00599	V38	10	
111	415148	2	S-P15148	V38	10	
112	328997	2	R-P28997	V38	10	
113	208760	2	Q-P08760	V38	10	
114	517242	2	T-P17242	V38	10	
115	209950	2	Q-P09950	V38	10	
116	506652	2	T-P06652	V38	10	
117	517237	2	T-P17237	V38	10	
118	600608	2	U-P00608	V38	10	
119	511641	2	T-P11641	V	10	
120	522330	2	T-P22330	V38	10	
121	502609	2	T-P02609	V38	10	
122	600112	2	U-P00112	V38	10	
123	522337	2	T-P22337	V38	10	
124	511671	2	T-P11671	V38	10	
125	512277	2	T-P12277	V38	10	
126	522335	2	T-P22335	V38	10	
127	600607	2	U-P00607	V38	10	
128	523965	2	T-P23965	V38	10	
129	522329	2	T-P22329	V38	10	
130	522344	2	T-P22344	V38	10	
131	523960	2	T-P23960	V38	10	
132	324046	2	R-P24046	V38	10	
133	208762	2	Q-P08762	V38	10	
134	523968	2	T-P23968	V38	10	
135	411151	2	S-P11151	V38	10	
136	522341	2	T-P22341	V38	10	
137	411160	2	S-P11160	V38	10	
138	518093	2	T-P18093	V38	10	
139	411154	2	S-P11154	V38	10	
140	600604	2	U-P00604	V38	10	
141	506651	2	T-P06651	V38	10	
142	506630	2	T-P06630	V38	10	
143	411156	2	S-P11156	V38	10	
144	517233	2	T-P17233	V38	10	
145	411149	2	S-P11149	V38	10	
146	522332	2	T-P22332	V38	10	
147	600600	2	U-P00600	V38	10	
148	523966	2	T-P23966	V38	10	
149	600606	2	U-P00606	V38	10	
150	522357	2	T-P22357	V38	10	
151	504824	2	T-P04824	V38	10	
152	511654	2	T-P11654	V38	10	
153	511670	2	T-P11670	V38	10	
154	600592	2	U-P00592	V38	10	
155	522362	2	T-P22362	V38	10	
156	515427	2	T-P15427	V38	10	
157	522361	2	T-P22361	V38	10	
158	517235	2	T-P17235	V38	10	
159	515426	2	T-P15426	V38	10	
160	523963	2	T-P23963	V38	10	
161	600117	2	U-P00117	V38	10	
162	312765	2	R-P12765	V38	10	
163	411133	2	S-P11133	V38	10	
164	411158	2	S-P11158	V38	10	
165	518090	2	T-P18090	V38	10	
166	424286	2	S-P24286	V38	10	
167	600114	2	U-P00114	V38	10	
168	208768	2	Q-P08768	V38	10	
169	503075	2	T-P03075	V38	10	
170	522334	2	T-P22334	V38	10	
171	324676	2	R-P24676	V38	10	
172	518091	2	T-P18091	V38	10	
173	512291	2	T-P12291	V38	10	
174	512286	2	T-P12286	V38	10	
175	411152	2	S-P11152	V38	10	
176	517238	2	T-P17238	V38	10	
177	616704	2	U-P16704	V38	10	
178	616703	2	U-P16703	V38	10	
179	511874	2	T-P11874	V38	10	
180	506627	2	T-P06627	V38	10	
181	421801	2	S-P21801	V38	10	
182	600109	2	U-P00109	V38	10	
183	610328	2	U-P10328	V38	10	
184	523959	2	T-P23959	V38	10	
185	208754	2	Q-P08754	V38	10	
