"","Relevé.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"1",209810,"Q-P09810","Bidens tripartita","Bidens tripartitus","1",5
"2",209810,"Q-P09810","Mentha suaveolens","Mentha suaveolens","e",15
"3",209810,"Q-P09810","Polygonum lapathifolium","Persicaria lapathifolia","+",1
"4",209810,"Q-P09810","Polygonum persicaria","Persicaria maculosa","h",37.5
"5",209810,"Q-P09810","Poa trivialis","Poa trivialis","+",1
"6",209810,"Q-P09810","Polygonum aviculare","Polygonum aviculare","1",5
"7",209811,"Q-P09811","Bidens tripartita","Bidens tripartitus","1",5
"8",209811,"Q-P09811","Fallopia convolvulus","Fallopia convolvulus","+",1
"9",209811,"Q-P09811","Senecio jacobaea","Jacobaea vulgaris","+",1
"10",209811,"Q-P09811","Juncus articulatus","Juncus articulatus","+",1
"11",209811,"Q-P09811","Lycopus europaeus","Lycopus europaeus","1",5
"12",209811,"Q-P09811","Mentha pulegium","Mentha pulegium","+",1
"13",209811,"Q-P09811","Mentha suaveolens","Mentha suaveolens","1",5
"14",209811,"Q-P09811","Poa annua","Ochlopoa annua","1",5
"15",209811,"Q-P09811","Paspalum paspalodes","Paspalum distichum","4",62.5
"16",209811,"Q-P09811","Polygonum salicifolium","Persicaria decipiens","e",15
"17",209811,"Q-P09811","Polygonum lapathifolium","Persicaria lapathifolia","1",5
"18",209811,"Q-P09811","Polygonum persicaria","Persicaria maculosa","1",5
"19",209811,"Q-P09811","Plantago lanceolata","Plantago lanceolata","1",5
"20",209811,"Q-P09811","Polygonum arenastrum","Polygonum aviculare","+",1
"21",209811,"Q-P09811","Ranunculus repens","Ranunculus repens","e",15
"22",209811,"Q-P09811","Rumex conglomeratus","Rumex conglomeratus","1",5
"23",209811,"Q-P09811","Trifolium repens","Trifolium repens","+",1
"24",209812,"Q-P09812","Bidens tripartita","Bidens tripartitus","+",1
"25",209812,"Q-P09812","Cyperus longus","Cyperus longus","e",15
"26",209812,"Q-P09812","Lycopus europaeus","Lycopus europaeus","+",1
"27",209812,"Q-P09812","Lythrum salicaria","Lythrum salicaria","1",5
"28",209812,"Q-P09812","Mentha suaveolens","Mentha suaveolens","1",5
"29",209812,"Q-P09812","Paspalum paspalodes","Paspalum distichum","4",62.5
"30",209812,"Q-P09812","Polygonum salicifolium","Persicaria decipiens","e",15
"31",209812,"Q-P09812","Polygonum persicaria","Persicaria maculosa","1",5
"32",209812,"Q-P09812","Ranunculus repens","Ranunculus repens","1",5
"33",209813,"Q-P09813","Amaranthus retroflexus","Amaranthus retroflexus","+",1
"34",209813,"Q-P09813","Bidens tripartita","Bidens tripartitus","1",5
"35",209813,"Q-P09813","Lycopus europaeus","Lycopus europaeus","+",1
"36",209813,"Q-P09813","Paspalum paspalodes","Paspalum distichum","b",5
"37",209813,"Q-P09813","Polygonum lapathifolium","Persicaria lapathifolia","e",15
"38",209813,"Q-P09813","Sparganium neglectum","Sparganium neglectum","+",1
"39",210407,"Q-P10407","Bidens tripartita","Bidens tripartitus","1",5
"40",210407,"Q-P10407","Fallopia convolvulus","Fallopia convolvulus","+",1
"41",210407,"Q-P10407","Senecio jacobaea","Jacobaea vulgaris","+",1
"42",210407,"Q-P10407","Juncus articulatus","Juncus articulatus","+",1
"43",210407,"Q-P10407","Lycopus europaeus","Lycopus europaeus","1",5
"44",210407,"Q-P10407","Mentha pulegium","Mentha pulegium","+",1
