"SIVIMID","CANTEUNIS"
"Q-P13521","V37Z"
"Q-P13513","V37Z"
"Q-P13520","V37Z"
"NEW-OMAR-NI02","V37Z"
"T-P36761","V37Z"
"T-P05963","V37Z"
"T-P05974","V37Z"
"T-P22476","V37Z"
"R-P23950","V37Z"
"T-P05962","V37Z"
"T-P22469","V37Z"
"Q-P13515","V37Z"
"Q-P13525","V37Z"
"T-P22474","V37Z"
"T-P05977","V37Z"
"Q-P14942","V37Z"
"Q-P13524","V37Z"
"T-P05975","V37Z"
"T-P05965","V37Z"
"T-P05976","V37Z"
"T-P06625","V37Z"
"T-P22472","V37Z"
"Q-P13511","V37Z"
"Q-P13522","V37Z"
"T-P05972","V37Z"
"T-P22471","V37Z"
"T-P22470","V37Z"
"Q-P13523","V37Z"
"T-P22465","V37Z"
"T-P36759","V37Z"
"T-P05961","V37Z"
"Q-P13518","V37Z"
"T-P05968","V37Z"
"T-P22461","V37Z"
"Q-P13512","V37Z"
"T-P05973","V37Z"
"T-P22466","V37Z"
"T-P36760","V37Z"
"Q-P13519","V37Z"
"T-P06623","V37Z"
"T-P05971","V37Z"
"T-P05967","V37Z"
"Q-P13516","V37Z"
"T-P05978","V37Z"
"Q-P13527","V37Z"
"Q-P13530","V37Z"
"R-P23951","V37Z"
"Q-P13526","V37Z"
"Q-P13528","V37Z"
"T-P22475","V37Z"
"T-P36758","V37Z"
"Q-P13514","V37Z"
"Q-P13517","V37Z"
"T-P05966","V37Z"
"T-P05964","V37Z"
"T-P06626","V37Z"
"T-P12270","V39Y"
"T-P12268","V39Y"
"S-P21804","V39Y"
"U-P00649","V39Y"
"U-P00593","V39Y"
"T-P35970","V39Y"
"T-P12269","V39Y"
"T-P11641","V39Y"
"T-P11638","V39Y"
"T-P11639","V39Y"
"T-P11640","V39Y"
"T-P11645","V39Y"
"R-P28995","V39Y"
"T-P11643","V39Y"
"U-P00594","V39Y"
"S-P11132","V39Y"
"T-P11642","V39Y"
"S-P11135","V39Y"
"T-P04813","V39Y"
"R-P23937","V39Y"
"S-P11134","V39Y"
"T-P11636","V39Y"
"T-P12271","V39Y"
"S-P11136","V39Y"
"T-P35968","V39Y"
"S-P11143","V39Y"
"T-P35974","V39Y"
"T-P35971","V39Y"
"T-P11644","V39Y"
"T-P11881","V39Y"
"T-P11637","V39Y"
"T-P35967","V39Y"
"T-P11890","V39Y"
"T-P11880","V39Y"
"T-P35969","V39Y"
"S-P11131","V39Y"
"R-P24572","V39Y"
"S-P11144","V39Y"
"S-P11130","V39Y"
"T-P11882","V39Y"
"S-P18284","V39X"
"T-P23958","V39X"
"Q-P10102","V39X"
"T-P11648","V39X"
"S-P15139","V39X"
"R-P24677","V39X"
"T-P06614","V39X"
"T-P11651","V39X"
"T-P12040","V39X"
"T-P12277","V39X"
"T-P12278","V39X"
"T-P12037","V39X"
"R-P12727","V39X"
"T-P11878","V39X"
"T-P06597","V39X"
"R-P29007","V39X"
"T-P12281","V39X"
"Q-P10117","V39X"
"Q-P10100","V39X"
"Xixon05","V39X"
"R-P24672","V39X"
"S-P15134","V39X"
"S-P15132","V39X"
"T-P05183","V39X"
"R-P24671","V39X"
"T-P05180","V39X"
"S-P15131","V39X"
"Q-P08747","V39X"
"T-P11652","V39X"
"S-P15145","V39X"
"S-P15147","V39X"
"T-P06603","V39X"
"T-P11876","V39X"
"T-P05179","V39X"
"T-P11646","V39X"
"T-P12274","V39X"
"T-P12038","V39X"
"T-P12039","V39X"
"T-P12042","V39X"
"T-P05182","V39X"
"T-P05181","V39X"
"S-P15142","V39X"
"T-P11875","V39X"
"T-P06589","V39X"
"T-P03067","V39X"
"T-P06612","V39X"
"S-P18283","V39X"
"T-P03070","V39X"
"T-P12276","V39X"
"T-P06588","V39X"
"R-P29005","V39X"
"R-P23934","V39X"
"R-P23935","V39X"
"S-P15140","V39X"
"R-P29006","V39X"
"S-P17965","V39X"
"T-P06622","V39X"
"T-P11877","V39X"
"R-P15144","V39X"
"T-P06610","V39X"
"T-P06613","V39X"
"R-P29004","V39X"
"T-P06572","V39X"
"Q-P10116","V39X"
"R-P24675","V39X"
"T-P03073","V39X"
"T-P10797","V39X"
"T-P03072","V39X"
"S-P15141","V39X"
"T-P06989","V39X"
"S-P15146","V39X"
"S-P17968","V39X"
"T-P06601","V39X"
"S-P15149","V39X"
"T-P12275","V39X"
"Q-P10115","V39X"
"T-P05184","V39X"
"Q-P10099","V39X"
"Q-P10101","V39X"
"S-P15137","V39X"
"S-P17971","V39X"
"S-P17963","V39X"
"T-P23955","V39X"
"T-P06988","V39X"
"R-P15148","V39X"
"T-P06616","V39X"
"T-P12279","V39X"
"R-P24676","V39X"
"T-P11874","V39X"
"T-P11871","V39X"
"T-P06618","V39X"
"T-P12043","V39X"
"S-P17967","V39X"
"T-P06615","V39X"
"T-P23956","V39X"
"T-P12280","V39X"
"T-P06617","V39X"
"S-P17964","V39X"
"T-P12272","V39X"
"S-P18282","V39X"
"S-P15148","V39X"
"T-P12273","V39X"
"S-P15136","V39X"
"T-P11647","V39X"
"S-P17972","V39X"
"U-P00651","V39X"
"S-P17966","V39X"
"S-P18285","V39X"
"T-P07931","V39X"
"S-P11140","V39X"
"S-P11129","V39X"
"S-P12117","V39X"
"T-P06602","V39X"
"Q-P08751","V39X"
"Q-P10104","V39X"
"S-P17969","V39X"
"S-P17970","V39X"
"T-P05178","V39X"
"T-P11870","V39X"
"S-P15143","V39X"
"S-P15144","V39X"
"S-P11138","V39X"
"T-P03069","V39X"
"S-P11137","V39X"
"R-P24673","V39X"
"Q-P10113","V39X"
"U-P00647","V39X"
"T-P11649","V39X"
"Q-P08750","V39X"
"Q-P08749","V39X"
"T-P03068","V39X"
"Q-P08748","V39X"
"Q-P10114","V39X"
"S-P15135","V39X"
"S-P15133","V39X"
"Q-P10103","V39X"
"U-P16707","V39X"
"U-P16708","V39X"
"R-P15155","V39X"
"T-P11654","V39X"
"T-P06620","V39X"
"T-P06587","V39X"
"R-P23936","V39X"
