"","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","SIVIMID","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Sintaxon","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation"
"1",207008,140,12408,"30TUP80","","Q-P07008",27673,NA,"El Rosal","ES","ATL_COAST","N_DUNES",NA,"",NA,4,"5825","Comunidad de Elymus pycnanthus (Agropyron pycnanthum) y Atriplex hastata","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"2",207010,140,12408,"30TUP80","","Q-P07010",27674,NA,"El Rosal","ES","ATL_COAST","N_DUNES",NA,"",NA,2,"5825","Comunidad de Elymus pycnanthus (Agropyron pycnanthum) y Atriplex hastata","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V32","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"3",207042,140,12408,"30TUP80","","Q-P07042",27659,NA,"El Rosal","ES","ATL_COAST","Y_DUNES",NA,"",NA,15,"753","Sisymbrio officinalis-Hordeetum murini","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V32","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"4",207050,140,12408,"30TUP80","","Q-P07050",27636,NA,"La Barquera","ES","ATL_COAST","N_DUNES",NA,"",NA,1,"5828","Comunidad de Spergularia boccomii y Sagina apetala","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V32","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"5",207051,140,12408,"30TUP80","","Q-P07051",27637,NA,"El Rosal","ES","ATL_COAST","N_DUNES",NA,"",NA,2,"5828","Comunidad de Spergularia boccomii y Sagina apetala","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V32","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"6",207055,140,12408,"30TUP80","","Q-P07055",27638,NA,"El Rosal","ES","ATL_COAST","Y_DUNES",NA,"",NA,2,"5830","Comunidad de Desmazeria marina y Phleum arenarium","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V32","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"7",207071,140,12408,"30TUP80","","Q-P07071",27645,NA,"La Revilla","ES","ATL_COAST","N_DUNES",NA,"",NA,4,"L008","Glycerio-Sparganion","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","V39","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"8",207105,140,12408,"30TUP80","","Q-P07105",27843,NA,"La Barquera","ES","ATL_COAST","N_DUNES",NA,"",NA,10,"5833","Comunidad de Juncus conglomeratus y J.effusus","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"9",207114,142,12380,"30TUP90","","Q-P07114",27845,NA,"Jerra","ES","ATL_COAST","N_DUNES",NA,"",NA,1,"236","Lolio-Plantaginetum majoris","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58
"10",207115,142,12380,"30TUP90","","Q-P07115",27846,NA,"Oyambre","ES","ATL_COAST","N_DUNES",NA,"",NA,1,"236","Lolio-Plantaginetum majoris","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217","R36","No forest",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58
