SIVIMID,Country,Date,Sintaxon,Area,Accuracy,Elevation,Aspect,Slope,Plant.Cover,Locality,Latitude,Longitude
NEW-OMAR-NI01,ES,2020,,1,10,203,,0,98,Nitrastur,43.3133463,-5.702776474
NEW-OMAR-NI02,ES,2020,,1,10,203,,0,49,Nitrastur,43.31314554,-5.702508627
NEW-OMAR-NI03,ES,2020,,1,10,203,,0,119,Nitrastur,43.31295465,-5.702204227
NEW-OMAR-NI04,ES,2020,,1,10,204,,0,119.5,Nitrastur,43.31260214,-5.701880334
NEW-OMAR-NI05,ES,2020,,1,10,203,,0,69,Nitrastur,43.31266459,-5.701143268
NEW-OMAR-NI06,ES,2020,,1,10,203,,0,96,Nitrastur,43.31290077,-5.701055091
NEW-OMAR-NI07,ES,2020,,1,10,202,,0,180.5,Nitrastur,43.31307545,-5.700902534
NEW-OMAR-NI08,ES,2020,,1,10,201,,0,210,Nitrastur,43.31343495,-5.700930797
NEW-OMAR-NI09,ES,2020,,1,10,201,,0,191,Nitrastur,43.31341146,-5.700781787
NEW-OMAR-NI10,ES,2020,,1,10,201,,0,100.5,Nitrastur,43.31365576,-5.70073096
NEW-OMAR-MO01,ES,2020,,1,10,224,,0,130.5,Modesta,43.29204762,-5.680778937
NEW-OMAR-MO02,ES,2020,,1,10,223,,0,108,Modesta,43.29174898,-5.680075536
NEW-OMAR-MO03,ES,2020,,1,10,223,,0,104.5,Modesta,43.29130174,-5.679180719
NEW-OMAR-MO04,ES,2020,,1,10,224,,0,96.5,Modesta,43.29095633,-5.678167126
NEW-OMAR-MO05,ES,2020,,1,10,225,,0,104,Modesta,43.29051601,-5.676976812
NEW-OMAR-MO06,ES,2020,,1,10,226,,0,94.5,Modesta,43.29065854,-5.677426808
NEW-OMAR-MO07,ES,2020,,1,10,227,,0,115,Modesta,43.29080929,-5.678678368
NEW-OMAR-MO08,ES,2020,,1,10,226,,0,109,Modesta,43.29113844,-5.67961729
NEW-OMAR-MO09,ES,2020,,1,10,230,,0,108.5,Modesta,43.29123743,-5.680003752
NEW-OMAR-MO10,ES,2020,,1,10,233,,0,100,Modesta,43.29063565,-5.679940332
NEW-OMAR-CA01,ES,2020,,1,10,252,,0,167.5,Cadavio,43.27902792,-5.673083717
NEW-OMAR-CA02,ES,2020,,1,10,252,,0,139.5,Cadavio,43.2791419,-5.67282991
