"SIVIMID","Revised.sintaxon","Relevé.number","CODE","EUNIS_REVISED","EUNIS2020","EUNISL1","EUNISL2","EUNISL3","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Class","Order","Alliance","Sintaxon","SS"
"CORTADERIA-11",NA,32311,"V38c",NA,NA,"CS11","V3","V38",NA,0,49,"2022",43.41379,-5.808613,"1",151,NA,NA,NA,NA,0
"CORTADERIA-12",NA,32312,"V38c",NA,NA,"CS12","V3","V38",NA,0,49,"2022",43.41451,-5.81737,"1",151,NA,NA,NA,NA,0
"CORTADERIA-13",NA,32313,"V38c",NA,NA,"CS13","V3","V38","W",0,49,"2022",43.408169,-5.796054,"1",158,NA,NA,NA,NA,0
"CORTADERIA-21",NA,32321,"V38c",NA,NA,"CS21","V3","V38c","N",1,49,"2022",43.600859,-5.907661,"1",6,NA,NA,NA,NA,0
"CORTADERIA-22",NA,32322,"V38c",NA,NA,"CS22","V3","V38","SW",0,49,"2022",43.590716,-5.915966,"1",4,NA,NA,NA,NA,0
"CORTADERIA-23",NA,32323,"V38c",NA,NA,"CS23","V3","V38",NA,0,49,"2022",43.5866468,-5.913889,"1",15,NA,NA,NA,NA,0
"CORTADERIA-31",NA,32331,"V38c",NA,NA,"CS31","V3","V38c","N",1,49,"2022",43.655831,-5.850439,"1",96,NA,NA,NA,NA,0
"CORTADERIA-32",NA,32332,"V38c",NA,NA,"CS32","V3","V38","NW",5,49,"2022",43.654466,-5.848792,"1",94,NA,NA,NA,NA,0
"CORTADERIA-33",NA,32333,"V38c",NA,NA,"CS33","V3","V38","SW",3,49,"2022",43.637201,-5.831285,"1",81,NA,NA,NA,NA,0
"NEW-OMAR-BA02","Dauco-Melilotion",1,"V38c","V38",NA,"Ruderal","V37","V38","",0,200,"1981",-5.707241301,43.32530597,"500",190,"Artemisietea vulgaris","Onopordetalia acanthii","Dauco-Melilotion","Picridi echioides-Melilotetum albi",1
"NEW-OMAR-BA05","Oxalidion europaeae",1014,"V1c","V15",NA,"Weed","V15A","V1","",0,10,"1981",-5.707241301,43.32530597,"500",190,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
"NEW-OMAR-BA06","Oxalidion europaeae",1015,"V1c","V15",NA,"Weed","V15A","V1","",0,50,"1981",-5.707241301,43.32530597,"500",190,"Digitario sanguinalis-Eragrostietea","Aperetalia spicae-venti","Oxalidion europeae","Fumario capreolatae-Veronicetum persicae",0
