Relevé number,SIVIMID,CODE,EUNIS_REVISED,EUNIS2020,EUNISL1,EUNISL2,EUNISL3,Aspect,Slope,Area,Year,DEG_LON,DEG_LAT,Accuracy,Elevation,Class,Order,Alliance,Sintaxon
469,S-P20410,Q51,R55,V,Ruderal,V39,Q51,SE,NA,20,1972,-8.790511787,42.26679086,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
848,T-P17224,Q51,V39,V39,Ruderal,V39,Q51,,NA,20,1975,-8.805710967,42.30022692,3 - UTM10x10 + Elevation,80,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
474,S-P20415,Q51,R55,R,Ruderal,V39,Q51,SE,NA,20,1972,-8.661816316,42.31824822,3 - UTM10x10 + Elevation,70,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
472,S-P20413,Q51,R55,R,Ruderal,V39,Q51,NE,NA,20,1972,-8.846578977,42.29634309,3 - UTM10x10 + Elevation,20,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
850,T-P17226,Q51,R55,V,Ruderal,V39,Q51,,NA,20,1975,-8.769944917,42.28043363,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
468,S-P20409,Q51,V15,V15,Ruderal,V39,Q51,E,NA,20,1972,-8.796984906,42.28446649,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
2233,S-P20231,Q51,U37,V,Walls,U37,Q51,E,NA,10,1972,-8.69927276,42.22276562,3 - UTM10x10 + Elevation,50,Cymbalario-Parietarietea diffusae,Tortulo-Cymbalarietalia,Galio valantiae-Parietarion judaicae,Oxali-Parietarietum diffusae
479,S-P20420,Q51,R55,V,Ruderal,V39,Q51,S,NA,20,1972,-8.672424391,42.22050003,3 - UTM10x10 + Elevation,80,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
851,T-P17227,Q51,R55,R,Ruderal,V39,Q51,,NA,20,1975,-8.678874459,42.29219622,3 - UTM10x10 + Elevation,70,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
856,T-P17232,Q51,V39,V39,Ruderal,V39,Q51,,NA,20,1975,-8.665360817,42.33067547,3 - UTM10x10 + Elevation,80,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
854,T-P17230,Q51,R55,R55,Ruderal,V39,Q51,,NA,20,1975,-8.797375012,42.31505309,3 - UTM10x10 + Elevation,150,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
846,T-P17222,Q51,R55,V,Ruderal,V39,Q51,,NA,20,1975,-8.807070288,42.26235004,3 - UTM10x10 + Elevation,100,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
477,S-P20418,Q51,R55,R55,Ruderal,V39,Q51,SW,NA,20,1972,-8.761107417,42.1836586,3 - UTM10x10 + Elevation,150,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
471,S-P20412,Q51,R55,V,Ruderal,V39,Q51,W,NA,20,1972,-8.83651627,42.26625127,3 - UTM10x10 + Elevation,80,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,Arundini-Convolvuletum sepium
