"SIVIMID","CANTEUNIS","Original","Alliance","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation"
"T-P06630","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",6,1995,-2.611116047,43.23928178,"2 - UTM1x1 + Centroid",800
"T-P22328","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",70,1988,-5.47624805,42.94300328,"3 - UTM10x10 + Elevation",1390
"U-P00107","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2001,-5.240774929,43.07392172,"2 - UTM1x1 + Centroid",1515
"Q-P09946","V38Y","Comunidad de Carduus carpetanus","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",6,2000,-6.830072255,41.71711066,"3 - UTM10x10 + Elevation",900
"U-P00602","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2002,-5.017966356,42.9466012,"1 - UTM1x1 + Elevation",1110
"T-P22326","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",60,1988,-5.315636737,43.10484664,"3 - UTM10x10 + Elevation",1300
"T-P22330","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1988,-4.935418861,42.89399817,"3 - UTM10x10 + Elevation",1390
"T-P12286","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1988,-6.202938141,42.96458091,"3 - UTM10x10 + Elevation",1410
"Q-P08754","V38Y",NA,"Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,NA,-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250
"U-P00106","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2001,-5.235996238,43.07761704,"1 - UTM1x1 + Elevation",1625
"U-P00114","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",60,2001,-5.140698815,43.02181098,"2 - UTM1x1 + Centroid",1300
"T-P23964","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",4,1982,-2.324914403,42.94527571,"4 - UTM10x10 + Centroid",1530
"U-P00112","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2001,-5.023103985,43.10319149,"1 - UTM1x1 + Elevation",1280
"U-P00110","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2001,-5.013435233,43.03312621,"1 - UTM1x1 + Elevation",1100
"S-P11150","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1989,-4.391517645,42.99735599,"2 - UTM1x1 + Centroid",1300
"U-P00109","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",12,2001,-5.02038241,43.02039722,"1 - UTM1x1 + Elevation",1130
"T-P22327","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",70,1988,-5.332825473,42.90999906,"3 - UTM10x10 + Elevation",1320
"T-P12288","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",8,1988,-6.217253751,42.95697572,"3 - UTM10x10 + Elevation",1250
"U-P16702","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2009,-5.168504199,43.04469922,"1 - UTM1x1 + Elevation",1300
"T-P22361","V38Y","Carduo carpetani-Onopordetum acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1988,-5.701239318,42.87488037,"3 - UTM10x10 + Elevation",1170
"Q-P08763","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1990,-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
"S-P11161","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1989,-4.494536319,42.99605692,"1 - UTM1x1 + Elevation",1160
"T-P23966","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",3,1982,-2.070025906,43.02184821,"3 - UTM10x10 + Elevation",1100
"S-P21798","V38Y","Onopordion acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1981,-6.247482993,42.9723286,"3 - UTM10x10 + Elevation",1360
"T-P23969","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",5,1982,-2.490334808,42.95245112,"3 - UTM10x10 + Elevation",830
"U-P00108","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",30,2001,-5.057537865,43.03054059,"1 - UTM1x1 + Elevation",1080
"U-P00111","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",3,2001,-5.018637393,43.04203918,"2 - UTM1x1 + Centroid",1160
