TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
×Agropogon lutosus,addition,hyb.-g.,,"2,9","2,1",1,,,,"9,4","1,7",1,,,,"5,8","2,2",1
×Dactylocamptis arbostii,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"4,2","2,1",1
×Dactylocamptis boudieri,addition,hyb.-g.,,"6,8","2,5",1,"2,8","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"4,2","2,1",1
×Dactylocamptis timbaliana,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"4,2","2,1",1
×Dactylodenia lebrunii,addition,hyb.-g.,,"6,8","2,5",1,"2,8","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"4,2","2,1",1
×Dactylodenia legrandiana,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"4,2","2,1",1
×Dactylodenia wintonii,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"4,2","2,1",1
×Elytrordeum rouxii,addition,hyb.-g.,,"5,0","2,5",1,"2,8","2,0",1,"8,4","1,9",1,"8,2","2,0",1,"8,1","2,1",1
×Festulolium loliaceum,addition,hyb.-g.,,"5,1","2,2",2,"6,6","2,0",1,"6,7","5,5",2,"8,2","2,2",1,"4,1","2,2",1
×Orchidactyla kromayeri,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"4,2","2,1",1
×Schedolium loliaceum,addition,hyb.-g.,,"4,1","2,5",1,"5,1","2,0",1,"4,9","1,9",1,"8,2","2,0",1,"4,2","2,1",1
×Triticosecale rimpaui,addition,hyb.-g.,,"4,1","2,5",1,"6,3","2,0",1,"3,8","1,9",1,"9,5","2,0",1,"4,2","2,1",1
Abies alba,Euro+Med,Species,,"5,2","4,4",18,"5,0","6,1",13,"5,3","4,7",15,"3,0","6,9",15,"3,7","3,0",18
Abies balsamea,Euro+Med,Species,,"4,9","6,8",2,"5,1","2,0",1,"3,8","1,9",1,"5,0","8,8",2,"3,5","3,2",2
Abies cephalonica,Euro+Med,Species,,"3,3","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"6,2","2,1",1
Abies concolor,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Abies grandis,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",2,"3,8","1,9",1,"5,3","4,7",2,"3,9","3,1",2
Abies lasiocarpa,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Abies lowiana,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Abies nebrodensis,Euro+Med,Species,,"2,5","2,2",1,"3,1","2,0",1,"6,5","1,9",1,"2,3","1,9",1,"5,5","2,3",1
Abies nephrolepis,addition,,,"4,9","1,5",1,,,,,,,"3,1","5,6",1,"4,3","2,8",1
Abies nordmanniana,Euro+Med,Species,,"4,7","3,2",2,"5,3","6,4",2,"5,7","9,0",2,"5,0","8,8",2,"4,2","2,9",2
Abies pinsapo,Euro+Med,Species,,"3,3","2,5",1,"3,9","2,0",1,"7,3","1,9",1,"8,2","2,0",1,"6,2","2,1",1
Abies sibirica,Euro+Med,Species,,"5,2","3,1",1,,,,,,,"3,1","5,6",1,"2,8","2,2",1
Abies veitchii,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"5,7","2,0",1,"3,3","2,1",1
Abutilon theophrasti,Euro+Med,Species,,"3,9","4,4",11,"6,3","5,4",10,"6,4","3,6",10,"7,7","3,1",9,"6,3","4,1",11
Acacia baileyana,addition,,,"3,3","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"7,2","2,1",1
