Releve number,ReleveID,Original.name,Analysis.name,Cover.percent
32311,CS11,Rubus ulmifolius aggr.,Rubus ulmifolius aggr.,30
32311,CS11,Cortaderia selloana,Cortaderia selloana,20
32311,CS11,Hedera hiberna,Hedera helix aggr.,10
32311,CS11,Paspalum dilatatum,Paspalum dilatatum,10
32311,CS11,Dipsacus fullonum,Dipsacus fullonum,7
32311,CS11,Lotus corniculatus,Lotus corniculatus,7
32311,CS11,Salix caprea,Salix caprea,7
32311,CS11,Crataegus monogyna ,Crataegus monogyna ,5
32311,CS11,Equisetum telmateia,Equisetum telmateia,5
32311,CS11,Mentha suaveolens,Mentha suaveolens,5
32311,CS11,Salix atrocinerea,Salix atrocinerea,5
32311,CS11,Teucrium scorodonia,Teucrium scorodonia,3
32311,CS11,Centaurea nigra,Centaurea nigra,2
32311,CS11,Dactylis glomerata,Dactylis glomerata,2
32311,CS11,Daucus carota,Daucus carota,2
32311,CS11,Leontodon sp.,Leontodon,2
32311,CS11,Plantago lanceolata,Plantago lanceolata,2
32311,CS11,Carex flacca,Carex flacca,1
32311,CS11,Carex pendula,Carex pendula,1
32311,CS11,Cornus sanguinea,Cornus sanguinea,1
32311,CS11,Dittrichia viscosa,Dittrichia viscosa,1
32311,CS11,Helmintotheca echioides,Helminthotheca echioides,1
32311,CS11,Lathyrus pratensis,Lathyrus pratensis,1
32311,CS11,Melilotus albus,Melilotus albus,1
32311,CS11,Pastinaca sativa,Pastinaca sativa aggr.,1
32311,CS11,Picris hieracioides,Picris hieracioides,1
32311,CS11,Populus nigra,Populus nigra,1
32311,CS11,Potentilla reptans,Potentilla reptans,1
32311,CS11,Quercus robur,Quercus robur,1
32311,CS11,Rosa sp.,Rosa,1
32311,CS11,Sanguisorba minor,Sanguisorba minor,1
32311,CS11,Sonchus oleraceus,Sonchus oleraceus,1
32311,CS11,Sporobolus indicus,Sporobolus indicus,1
32311,CS11,Trifolium repens,Trifolium repens,1
32311,CS11,Ulex gallii,Ulex gallii,1
32312,CS12,Cortaderia selloana,Cortaderia selloana,25
32312,CS12,Buddleja davidii,Buddleja davidii,10
32312,CS12,Rubus ulmifolius aggr.,Rubus ulmifolius aggr.,10
32312,CS12,Clematis vitalba,Clematis vitalba,7
32312,CS12,Poa annua,Ochlopoa annua,5
32312,CS12,Sporobolus indicus,Sporobolus indicus,5
32312,CS12,Mentha suaveolens,Mentha suaveolens,3
32312,CS12,Piptatherum miliaceum,Piptatherum miliaceum,3
32312,CS12,Plantago lanceolata,Plantago lanceolata,3
32312,CS12,Trifolium repens,Trifolium repens,3
32312,CS12,Anagallis arvensis,Anagallis arvensis,2
32312,CS12,Hypericum perforatum,Hypericum perforatum,2
32312,CS12,Lactuca serriola,Lactuca serriola,2
32312,CS12,Urtica urens,Urtica urens,2
32312,CS12,Verbena officinalis,Verbena officinalis,2
32312,CS12,Carex divulsa,Carex divulsa,1
32312,CS12,Epilobium hirsutum,Epilobium hirsutum,1
32312,CS12,Euphorbia peplus,Euphorbia peplus,1
32312,CS12,Geranium molle,Geranium molle,1
32312,CS12,Helmintotheca echioides,Helminthotheca echioides,1
32312,CS12,Lepidium virginianum,Lepidium virginicum,1
32312,CS12,Lotus corniculatus,Lotus corniculatus,1
32312,CS12,Oenothera rosea,Oenothera rosea,1
32312,CS12,Oxalis corniculatus,Oxalis corniculata,1
32312,CS12,Oxalis latifolia,Oxalis latifolia,1
32312,CS12,Plantago major,Plantago major,1
32312,CS12,Polygonum aviculare,Polygonum aviculare,1
32312,CS12,Sonchus oleraceus,Sonchus oleraceus,1
32312,CS12,Symphyotrichum squamatum,Symphyotrichum squamatum,1
32312,CS12,Taraxacum officinale,Taraxacum sect. Taraxacum,1
