Relevé number,id,date,habitat,longitude,latitude,surface_m2,slope_degrees,aspect,vegetation_percent,mosses_percent,soil_percent,rocks_percent,litter_percent,canopy_percent,municipality,district,neighborhood ,site
2501,Xixon01,02/06/2023,N4A,-5.6527083,43.5210433,16,0,-,95,0,5,0,0,0,Xixón,Xixón Este,Viesques,La Coría
2502,Xixon02,02/06/2023,N2,-5.6108566,43.526875,16,0,-,99,0,1,0,0,0,Xixón,Rural Este,Cabueñes,Av. De la Pecuaria
2503,Xixon03,05/06/2023,N1,-5.621742,43.519328,16,0,-,60,0,0,0,40,70,Xixón,Rural Este,Cabueñes,Carbayera del Tragamón
2504,Xixon04,05/06/2023,N2,-5.6868283,43.5262233,16,0,-,95,1,3,1,0,0,Xixón,Xixón Sur,La Peral,cerca de Prau
2505,Xixon05,05/06/2023,N4A,-5.6845966,43.5277549,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,La Peral,Les Maravilles
2506,Xixon06,07/06/2023,N4B,-5.7044116,43.5416766,16,15,S,95,0,0,5,0,0,Xixón,Xixón Oeste,La Calzada,vías de tren cerca del parking C. de Martín / C. Cardona
2507,Xixon07,07/06/2023,N2,-5.67152216,43.5402699,16,3,NO,100,0,0,0,0,0,Xixón,Rural Oeste,Xove,detrás del cementerio municipal de Xove
2508,Xixon08,07/06/2023,N4A,-5.7078899,43.5366616,16,0,-,95,0,5,0,0,0,Xixón,Xixón Oeste,La Calzada,C. de Editor Silveiro Cañada esq. C. Solar
2509,Xixon09,08/06/2023,N4A,-5.6665433,43.5116366,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,Nuevo Roces,cerca de la rotonda Pza. Braña
2510,Xixon10,08/06/2023,N2,-5.66056,43.5134416,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,Nuevo Roces,frente del parking de Campos de Braña Sur
2511,Xixon11,08/06/2023,N4B,-5.6589999,43.5146849,16,1,O,80,5,0,15,0,0,Xixón,Xixón Sur,Nuevo Roces,Crtra. Ceares cruce A8
2512,Xixon12,12/06/2023,N3,-5.63355,43.5380066,16,0,-,100,0,0,0,0,0,Xixón,Xixón Este,La Guía,Muséu del Pueblu d'Asturies
2513,Xixon13,12/06/2023,N4A,-5.634155,43.5389916,16,0,-,95,0,0,5,0,0,Xixón,Xixón Este,La Guía,detrás del Muséu del Pueblu d'Asturies
2514,Xixon14,12/06/2023,N2,-5.605125,43.5384433,16,1,NNE,100,0,0,0,0,0,Xixón,Rural Este,Somió,parcela rústica en l’Infanzón
