releve_number,id,Original.name,Analysis.name,layer,cover_percent
2501,Xixon01,Galactites tomentosus,Galactites tomentosus,Main,80
2501,Xixon01,Helminthotheca echioides,Helminthotheca echioides,Main,20
2501,Xixon01,Euphorbia platyphyllos,Euphorbia platyphyllos,Main,10
2501,Xixon01,Anagallis arvensis,Anagallis arvensis,Main,5
2501,Xixon01,Holcus lanatus,Holcus lanatus,Main,5
2501,Xixon01,Dactylis glomerata,Dactylis glomerata,Main,2
2501,Xixon01,Equisetum telmateia,Equisetum telmateia,Main,2
2501,Xixon01,Brassica nigra,Brassica nigra,Main,1
2501,Xixon01,Calystegia sepium,Calystegia sepium,Main,1
2501,Xixon01,Carex divulsa,Carex divulsa,Main,1
2501,Xixon01,Cirsium arvense,Cirsium arvense,Main,1
2501,Xixon01,Conium maculatum,Conium maculatum,Main,1
2501,Xixon01,Dittrichia viscosa,Dittrichia viscosa,Main,1
2501,Xixon01,Rumex conglomeratus,Rumex conglomeratus,Main,1
2501,Xixon01,Rumex crispus,Rumex crispus,Main,1
2501,Xixon01,Centaurea nigra,Centaurea nigra,Main,0.1
2501,Xixon01,Cerastium glomeratum,Cerastium glomeratum,Main,0.1
2501,Xixon01,Cirsium vulgare,Cirsium vulgare,Main,0.1
2501,Xixon01,Erigeron sumatrensis,Erigeron sumatrensis,Main,0.1
2501,Xixon01,Geranium dissectum,Geranium dissectum,Main,0.1
2501,Xixon01,Hedera helix s.l.,Hedera helix aggr.,Main,0.1
2501,Xixon01,Hypericum perforatum,Hypericum perforatum,Main,0.1
2501,Xixon01,Juncus bufonius,Juncus bufonius,Main,0.1
2501,Xixon01,Lathyrus pratensis,Lathyrus pratensis,Main,0.1
2501,Xixon01,Leucanthemum vulgare s.l.,Leucanthemum vulgare,Main,0.1
2501,Xixon01,Oxalis corniculata,Oxalis corniculata,Main,0.1
2501,Xixon01,Plantago lanceolata,Plantago lanceolata,Main,0.1
2501,Xixon01,Poa pratensis,Poa pratensis,Main,0.1
2501,Xixon01,Potentilla reptans,Potentilla reptans,Main,0.1
2501,Xixon01,Prunella vulgaris,Prunella vulgaris,Main,0.1
2501,Xixon01,Rubia peregrina,Rubia peregrina,Main,0.1
2501,Xixon01,Trifolium pratense,Trifolium pratense,Main,0.1
