SIVIMID,Sintaxon,EUNIS,Area,Year,Longitude,Latitude,Accuracy,Elevation,Aspect,Slope
CS11,NA,NA,49,2022,-5.808613,43.41379,1,151,NA,0
CS12,NA,NA,49,2022,-5.81737,43.41451,1,151,NA,0
CS13,NA,NA,49,2022,-5.796054,43.408169,1,158,W,0
CS21,NA,NA,49,2022,-5.907661,43.600859,1,6,N,1
CS22,NA,NA,49,2022,-5.915966,43.590716,1,4,SW,0
CS23,NA,NA,49,2022,-5.913889,43.5866468,1,15,NA,0
CS31,NA,NA,49,2022,-5.850439,43.655831,1,96,N,1
CS32,NA,NA,49,2022,-5.848792,43.654466,1,94,NW,5
CS33,NA,NA,49,2022,-5.831285,43.637201,1,81,SW,3
NEW-OMAR-BA02,Picridi echioides-Melilotetum albi,NA,200,1981,-5.707241301,43.32530597,500,190,,0
NEW-OMAR-BA05,Fumario capreolatae-Veronicetum persicae,NA,10,1981,-5.707241301,43.32530597,500,190,,0
NEW-OMAR-BA06,Fumario capreolatae-Veronicetum persicae,NA,50,1981,-5.707241301,43.32530597,500,190,,0
NEW-OMAR-BA08,Comunidad de Equisetum telmateia,NA,15,1981,-5.694921052,43.32559713,500,225,SO,5
NEW-OMAR-BA106,Comunidad de Equisetum telmateia,NA,10,1981,-5.707241301,43.32530597,500,190,S,10
NEW-OMAR-BA12,Comunidad de Arctium minus y Artemisia vulgaris,NA,4,1981,-5.707241301,43.32530597,500,190,,0
NEW-OMAR-BA13,Comunidad de Arctium minus y Artemisia vulgaris,NA,9,1981,-5.707241301,43.32530597,500,190,,20
NEW-OMAR-BA15,Comunidad de Arctium minus y Artemisia vulgaris,NA,9,1981,-5.707241301,43.32530597,500,190,S,20
NEW-OMAR-BA20,Comunidad de Poa annua,NA,1,1981,-5.694921052,43.32559713,500,225,SO,10
NEW-OMAR-BA34,Fumario capreolatae-Veronicetum persicae,NA,16,1981,-5.694523235,43.31660252,500,295,SE,5
NEW-OMAR-BA38,Fumario capreolatae-Veronicetum persicae,NA,15,1981,-5.707241301,43.32530597,500,190,,0
NEW-OMAR-BA42,Fumario capreolatae-Veronicetum persicae,NA,4,1981,-5.707241301,43.32530597,500,190,S,5
NEW-OMAR-BA43,Fumario capreolatae-Veronicetum persicae,NA,12,1981,-5.707241301,43.32530597,500,190,,0
NEW-OMAR-BA58,Sisymbrio officinalis-Hordeetum murini,NA,100,1981,-5.694921052,43.32559713,500,200,,10
NEW-OMAR-CA01,,NA,1,2020,-5.673083717,43.27902792,10,252,,0
NEW-OMAR-CA02,,NA,1,2020,-5.67282991,43.2791419,10,252,,0
NEW-OMAR-CA03,,NA,1,2020,-5.672872063,43.27897884,10,254,,0
NEW-OMAR-CA04,,NA,1,2020,-5.673663223,43.27875325,10,255,,0
NEW-OMAR-CA05,,NA,1,2020,-5.673593878,43.27829566,10,257,,0
NEW-OMAR-CA06,,NA,1,2020,-5.673457181,43.27855097,10,254,,0
NEW-OMAR-CA07,,NA,1,2020,-5.673290343,43.27868093,10,254,,0
NEW-OMAR-CA08,,NA,1,2020,-5.673131087,43.27870267,10,255,,0
NEW-OMAR-CA09,,NA,1,2020,-5.6741795,43.27872316,10,256,,0
NEW-OMAR-CA10,,NA,1,2020,-5.674394578,43.27800681,10,257,,0
NEW-OMAR-CC86,Comunidad de Cymbalaria muralis,NA,10,1981,-5.682600619,43.32588696,500,275,NO,90
NEW-OMAR-LF10,Sisymbrio officinalis-Hordeetum murini,NA,9,1981,-5.682204615,43.31689226,500,210,,0
NEW-OMAR-LF109,Comunidad de Arctium minus y Artemisia vulgaris,NA,10,1981,-5.707241301,43.32530597,500,200,,5
NEW-OMAR-LF95,Comunidad de Arctium minus y Artemisia vulgaris,NA,40,1981,-5.682204615,43.31689226,500,230,S,0
NEW-OMAR-MO01,,NA,1,2020,-5.680778937,43.29204762,10,224,,0
NEW-OMAR-MO02,,NA,1,2020,-5.680075536,43.29174898,10,223,,0
NEW-OMAR-MO03,,NA,1,2020,-5.679180719,43.29130174,10,223,,0
NEW-OMAR-MO04,,NA,1,2020,-5.678167126,43.29095633,10,224,,0
NEW-OMAR-MO05,,NA,1,2020,-5.676976812,43.29051601,10,225,,0
NEW-OMAR-MO06,,NA,1,2020,-5.677426808,43.29065854,10,226,,0
NEW-OMAR-MO07,,NA,1,2020,-5.678678368,43.29080929,10,227,,0
NEW-OMAR-MO08,,NA,1,2020,-5.67961729,43.29113844,10,226,,0
NEW-OMAR-MO09,,NA,1,2020,-5.680003752,43.29123743,10,230,,0
NEW-OMAR-MO10,,NA,1,2020,-5.679940332,43.29063565,10,233,,0
NEW-OMAR-NI01,,NA,1,2020,-5.702776474,43.3133463,10,203,,0
NEW-OMAR-NI02,,NA,1,2020,-5.702508627,43.31314554,10,203,,0
NEW-OMAR-NI03,,NA,1,2020,-5.702204227,43.31295465,10,203,,0
NEW-OMAR-NI04,,NA,1,2020,-5.701880334,43.31260214,10,204,,0
NEW-OMAR-NI05,,NA,1,2020,-5.701143268,43.31266459,10,203,,0
NEW-OMAR-NI06,,NA,1,2020,-5.701055091,43.31290077,10,203,,0
NEW-OMAR-NI07,,NA,1,2020,-5.700902534,43.31307545,10,202,,0
NEW-OMAR-NI10,,NA,1,2020,-5.70073096,43.31365576,10,201,,0
NEW-OMAR-PA102,Comunidad de Arctium minus y Artemisia vulgaris,NA,20,1981,-5.654043577,43.23651311,500,325,SE,0
NEW-OMAR-PA104,Comunidad de Arctium minus y Artemisia vulgaris,NA,80,1981,-5.654043577,43.23651311,500,250,SE,15
NEW-OMAR-PA30,Comunidad de Poa annua,NA,3,1981,-5.657174634,43.30847288,500,340,,0
NEW-OMAR-PA35,Fumario capreolatae-Veronicetum persicae,NA,20,1981,-5.669491805,43.30818588,500,335,S,5
NEW-OMAR-PA68,Comunidad de Cymbalaria muralis,NA,10,1981,-5.654043577,43.23651311,500,425,NO,90
NEW-OMAR-PA97,Picridi echioides-Melilotetum albi,NA,40,1981,-5.654043577,43.23651311,500,360,S,0
NEW-OMAR-PA98,Sisymbrio officinalis-Hordeetum murini,NA,15,1981,-5.654043577,43.23651311,500,360,,0
NEW-OMAR-RE27,Comunidad de Poa annua,NA,3,1981,-5.669491805,43.30818588,500,225,O,5
NEW-OMAR-TU92,Comunidad de Cymbalaria muralis,NA,5,1981,-5.666346277,43.23622682,500,325,S,90
Xixon01,N4A,NA,16,2023,-5.6527083,43.5210433,1,NA,-,0
Xixon05,N4A,NA,16,2023,-5.6845966,43.5277549,1,NA,-,0
Xixon06,N4B,NA,16,2023,-5.7044116,43.5416766,1,NA,S,15
Xixon08,N4A,NA,16,2023,-5.7078899,43.5366616,1,NA,-,0
Xixon09,N4A,NA,16,2023,-5.6665433,43.5116366,1,NA,-,0
Xixon11,N4B,NA,16,2023,-5.6589999,43.5146849,1,NA,O,1
Xixon12,N3,NA,16,2023,-5.63355,43.5380066,1,NA,-,0
Xixon13,N4A,NA,16,2023,-5.634155,43.5389916,1,NA,-,0
Xixon15,N4B,NA,16,2023,-5.6330849,43.5199549,1,NA,NE,3
Xixon16,N4B,NA,16,2023,-5.6883333,43.5111366,1,NA,SE,10
Xixon17,N4B,NA,16,2023,-5.6763033,43.5286216,1,NA,NE,20
Xixon18,N3,NA,16,2023,-5.6762466,43.5292116,1,NA,-,0
Xixon19,N4C,NA,16,2023,-5.6571783,43.523325,1,NA,-,0
Xixon20,N4C,NA,16,2023,-5.67807,43.5405733,1,NA,-,0
Xixon21,N4C,NA,16,2023,-5.7154383,43.5361933,1,NA,-,0
Xixon22,N4C,NA,16,2023,-5.7091966,43.5395483,1,NA,-,0
Xixon23,N4C,NA,16,2023,-5.7161683,43.5225483,1,NA,-,0
Xixon25,N3,NA,16,2023,-5.7015466,43.5425516,1,NA,-,0
Xixon26,N3,NA,16,2023,-5.66235,43.5216383,1,NA,-,0
Xixon27,N3,NA,16,2023,-5.64363,43.526495,1,NA,-,0
Xixon31,N4D,NA,16,2023,-5.705158,43.539377,1,NA,SO,90
Xixon32,N4D,NA,16,2023,-5.70062,43.5354283,1,NA,-,0
Xixon33,N4D,NA,16,2023,-5.6517149,43.52564,1,NA,SE,5
Xixon34,N4D,NA,16,2023,-5.6342316,43.5364683,1,NA,-,0
Xixon35,N4D,NA,16,2023,-5.6157416,43.521615,1,NA,-,0
