"","Relevé.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"1",207008,"Q-P07008","Atriplex hastata","Atriplex prostrata","+",1
"2",207008,"Q-P07008","Beta maritima","Beta vulgaris","+",1
"3",207008,"Q-P07008","Elymus pycnanthus","Elytrigia atherica","3",37.5
"4",207008,"Q-P07008","Raphanus maritimus","Raphanus raphanistrum","+",1
"5",207008,"Q-P07008","Salsola kali","Salsola kali","+",1
"6",207010,"Q-P07010","Bromus diandrus","Anisantha diandra","1",5
"7",207010,"Q-P07010","Avena barbata","Avena barbata","2",15
"8",207010,"Q-P07010","Cakile maritima","Cakile maritima","+",1
"9",207010,"Q-P07010","Elymus pycnanthus","Elytrigia atherica","2",15
"10",207010,"Q-P07010","Lagurus ovatus","Lagurus ovatus","1",5
"11",207010,"Q-P07010","Oenothera erythrosepala","Oenothera glazioviana","*",1
"12",207010,"Q-P07010","Raphanus maritimus","Raphanus raphanistrum","+",1
"13",207042,"Q-P07042","Bromus diandrus","Anisantha diandra","4",62.5
"14",207042,"Q-P07042","Arctotheca calendula","Arctotheca calendula","j",37.5
"15",207042,"Q-P07042","Avena barbata","Avena barbata","+",1
"16",207042,"Q-P07042","Calystegia soldanella","Calystegia soldanella","+",1
"17",207042,"Q-P07042","Fumaria capreolata","Fumaria capreolata","a",5
"18",207042,"Q-P07042","Geranium molle","Geranium molle","+",1
"19",207042,"Q-P07042","Geranium robertianum","Geranium robertianum","+",1
"20",207042,"Q-P07042","Hordeum murinum","Hordeum murinum","1",5
"21",207042,"Q-P07042","Medicago polymorpha","Medicago polymorpha","a",5
"22",207042,"Q-P07042","Scilla verna","Scilla verna","+",1
"23",207042,"Q-P07042","Silene conica","Silene conica","a",5
"24",207042,"Q-P07042","Sonchus oleraceus","Sonchus oleraceus","+",1
"25",207042,"Q-P07042","Stellaria media","Stellaria media","1",5
"26",207042,"Q-P07042","Valerianella locusta","Valerianella locusta","+",1
"27",207042,"Q-P07042","Vicia sativa","Vicia sativa","1",5
"28",207050,"Q-P07050","Erophila verna","Draba verna","1",5
"29",207050,"Q-P07050","Juncus bufonius","Juncus bufonius","+",1
"30",207050,"Q-P07050","Coronopus didymus","Lepidium didymum","a",5
"31",207050,"Q-P07050","Poa annua","Ochlopoa annua","2",15
"32",207050,"Q-P07050","Salvia apetala","Silene apetala","2",15
"33",207050,"Q-P07050","Spergularia bocconii","Spergularia bocconei","3",37.5
"34",207051,"Q-P07051","Arctotheca calendula","Arctotheca calendula","*",1
"35",207051,"Q-P07051","Juncus bufonius","Juncus bufonius","1",5
"36",207051,"Q-P07051","Medicago lupulina","Medicago lupulina","+",1
"37",207051,"Q-P07051","Poa annua","Ochlopoa annua","2",15
