Original.Taxon,SIVIMID,Analysis.Names,Cover,Cover.percent
achillea millefolium,NEW-OMAR-PA104,Achillea millefolium,1,5
Agrostis capillaris,NEW-OMAR-LF105,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-PA67,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-PA16,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-LNA76,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-PA49,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-AC78,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-PA46,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-CC90,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-RE36,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-CC87,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-LNA73,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-PA56,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-BA19,Agrostis capillaris,1,5
Agrostis capillaris,NEW-OMAR-BA107,Agrostis capillaris,1,5
Agrostis curtisii,NEW-OMAR-TU91,Agrostis curtisii,1,5
Agrostis curtisii,NEW-OMAR-RI72,Agrostis curtisii,1,5
Agrostis curtisii,NEW-OMAR-RI71,Agrostis curtisii,1,5
Agrostis curtisii,NEW-OMAR-LNA75,Agrostis curtisii,1,5
Alisma plantago-aquatica,NEW-OMAR-BA80,Alisma plantago-aquatica,1,5
Alliaria petiolata,NEW-OMAR-BA13,Alliaria petiolata,1,5
Anagallis arvensis,NEW-OMAR-BA53,Anagallis arvensis,1,5
Anagallis arvensis,NEW-OMAR-LF51,Anagallis arvensis,1,5
Anagallis arvensis,NEW-OMAR-BA02,Anagallis arvensis,1,5
Angelica sylvestris,NEW-OMAR-BA82,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-CO62,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-BA80,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-CO63,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-RE29,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-LF09,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-BA85,Angelica sylvestris,1,5
Angelica sylvestris,NEW-OMAR-BA84,Angelica sylvestris,1,5
Anisantha diandra,NEW-OMAR-BA13,Anisantha diandra,1,5
Anisantha madritensis,NEW-OMAR-BA58,Anisantha madritensis,1,5
Anisantha madritensis,NEW-OMAR-PA102,Anisantha madritensis,1,5
Anisantha madritensis,NEW-OMAR-LF95,Anisantha madritensis,1,5
Anisantha rigida,NEW-OMAR-LF09,Anisantha rigida,1,5
Anisantha rigida,NEW-OMAR-BA12,Anisantha rigida,1,5
Anisantha rigida,NEW-OMAR-BA13,Anisantha rigida,1,5
