Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
No. of plots,33,56,40,141,47,37,103,59,34,65,41,12,80,166,35,24,188,16,81,158,40,243,30,151,155,470
Anthriscus sylvestris,89.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.2,3.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Heracleum sphondylium,67.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---,4.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,18.8,  ---,  ---,  ---
Cruciata laevipes,48.3,  ---,  ---,0.9,  ---,  ---,1.4,  ---,0.2,  ---,  ---,  ---,  ---,7.6,7.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Geranium pyrenaicum,40.8,  ---,19.3,7.4,  ---,2.6,7,  ---,  ---,  ---,  ---,  ---,  ---,22.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Alliaria petiolata,39.7,  ---,2.9,4.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.8,26.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ranunculus acris,32.5,  ---,  ---,13.7,  ---,  ---,  ---,  ---,1.5,  ---,  ---,  ---,  ---,9.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lamium maculatum,30.7,23.2,  ---,1.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23.6,2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.2,  ---,  ---,  ---
Urtica membranacea,  ---,69.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.7,  ---,  ---,  ---,  ---,  ---,2.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Smyrnium olusatrum,  ---,64.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Allium triquetrum,  ---,57.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Tradescantia fluminensis,  ---,45.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23.9,  ---,  ---,  ---
Arum italicum,13.3,44.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.7,  ---,  ---,8.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Oenanthe crocata,  ---,38.1,  ---,  ---,9.4,  ---,  ---,  ---,  ---,  ---,4.2,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,  ---,  ---,0.5
Arisarum vulgare,  ---,33.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.4,  ---,  ---,  ---,0.4
