"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Acer campestre L.",".","Sapindaceae",".","Phanerophyte","Acer campestre",".","Acer","campestre",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2,"76.12. Corylo avellanae-Populion tremulae","Acer campestre","Acer campestre L.","Acer","","campestre","","","L.","Sapindaceae","Sapindales","Magnoliopsida","Superrosids","Angiosperms",6,5,6,5,6,6
"+","Acer pseudoplatanus L.",".","Sapindaceae",".","Phanerophyte","Acer pseudoplatanus",".","Acer","pseudoplatanus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",4,"76d. Betulo pendulae-Populetalia tremulae","Acer pseudoplatanus","Acer pseudoplatanus L.","Acer","","pseudoplatanus","","","L.","Sapindaceae","Sapindales","Magnoliopsida","Superrosids","Angiosperms",7,4,5,5,5,6
"+","Achillea millefolium L.",".","Compositae",".","Hemicryptophyte","Achillea millefolium",".","Achillea","millefolium",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",5,"59b. Arrhenatheretalia elatioris","Achillea millefolium",NA,"Achillea","","millefolium","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Achillea odorata L.",".","Compositae",".","Hemicryptophyte","Achillea odorata",".","Achillea","odorata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",6,"52. Festuco hystricis-Ononidetea striatae","Achillea odorata","Achillea odorata L.","Achillea","","odorata","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,4,7,6
"+","Achillea ptarmica subsp. pyrenaica Sibth. ex Godr.",".","Compositae",".","Hemicryptophyte","Achillea ptarmica subsp. pyrenaica",".","Achillea","ptarmica","subsp.","pyrenaica","Sibth. ex Godr.",".",".",".",".",".",NA,NA,NA,"LC: Euro+Med la subordina a la ptarmica, pero Flora iberica, no sin buenas razones, la considera especie autónoma. Si se acepta esto último, suprímase la ptarmica, porque por aquí solo hay un taxon. Siempre cabe tirar por la calle del medio y adoptar la solución salomónica de A. ptarmica subsp. pyrenaica...","Native",7,"59a. Molinietalia caeruleae","Achillea pyrenaica","Achillea pyrenaica Sibth. ex Godr.","Achillea","","pyrenaica","","","Sibth. ex Godr.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Achillea tomentosa L.",".","Compositae",".","Hemicryptophyte","Achillea tomentosa",".","Achillea","tomentosa",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",10,".","Achillea tomentosa","Achillea tomentosa L.","Achillea","","tomentosa","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman",".","Ranunculaceae",".","Hemicryptophyte","Aconitum lycoctonum subsp. neapolitanum",".","Aconitum","lycoctonum","subsp.","neapolitanum","(Ten.) Nyman",".",".",".",".",".",NA,NA,NA,NA,"Native",13,"42. Mulgedio-Aconitetea","Aconitum lamarckii","Aconitum lamarckii Rchb.","Aconitum","","lamarckii","","","Rchb.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",7,5,5,5,6,5
"+","Aconitum napellus subsp. lusitanicum Rouy",".","Ranunculaceae",".","Hemicryptophyte","Aconitum napellus subsp. lusitanicum",".","Aconitum","napellus","subsp.","lusitanicum","Rouy",".",".",".",".",".",NA,NA,NA,NA,"Native",15,"71.1. Alnion incanae","Aconitum napellus","Aconitum napellus subsp. lusitanicum Rouy","Aconitum","","napellus","subsp.","lusitanicum","Rouy","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",8,5,6,6,6,5
"+","Aconitum napellus subsp. vulgare (DC.) Rouy & Foucaud",".","Ranunculaceae",".","Hemicryptophyte","Aconitum napellus subsp. vulgare",".","Aconitum","napellus","subsp.","vulgare","(DC.) Rouy & Foucaud",".",".",".",".",".",NA,NA,NA,NA,"Native",14,"42. Mulgedio-Aconitetea","Aconitum napellus","Aconitum napellus subsp. vulgare (DC.) Rouy & Foucaud","Aconitum","","napellus","subsp.","vulgare","(DC.) Rouy & Foucaud","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",8,5,6,6,6,5
"+","Actaea spicata L.",".","Ranunculaceae",".","Geophyte","Actaea spicata",".","Actaea","spicata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",16,"76a. Fagetalia sylvaticae","Actaea spicata","Actaea spicata L.","Actaea","","spicata","","","L.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",7,5,5,5,6,5
