species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Abies alba,Pinaceae,999,82,0.6958,0.11768,0.02225,1.29716,0.00355,0.19519,0.1067,1.00E-04,1.00E-04,0.0275,0.0091,0.0159,1.00E-04,1.00E-04
Abies borisii-regis,Pinaceae,999,16,0.69288,0.10849,0.01462,1.28906,0,0.20219,0.1,0,0,0.0143,6.00E-04,0,0,0
Abies cephalonica,Pinaceae,999,16,0.67778,0.20253,0.09842,1.43421,0,0.23544,0.10769,0.0012,0.0019,0.3143,0.0201,0,7.00E-04,1.00E-04
Abies grandis,Pinaceae,182,6,0.835,0.225,0.12989,1.33255,0.02182,0.2,0.27,0.0108,0.0019,1.417,0.0717,0.16,0.0018,0.0019
Abies nordmanniana,Pinaceae,999,12,0.69937,0.10728,0.01008,1.3071,0,0.19936,0.10354,3.00E-04,5.00E-04,0.0832,0.0047,0,0,3.00E-04
Abies pinsapo,Pinaceae,999,5,0.7,0.11364,0.06139,1.36015,0,0.27273,0.11364,0,0,0,0,0,0,0
Abies sibirica,Pinaceae,999,15,0.68787,0.11303,0.03339,1.33228,0.00565,0.2,0.10432,1.00E-04,1.00E-04,0.0699,0.0121,0.0082,1.00E-04,2.00E-04
Abutilon theophrasti,Malvaceae,999,11,0.82031,0.80625,1.52422,1.96295,0.84443,0.16875,0.76562,0.0036,0.0036,0.0791,0.0191,0.535,0.0052,0.0072
Acacia dealbata,Fabaceae,999,16,0.71515,0.28571,0.19766,1.36004,0.11368,0.21515,0.17879,0.0072,0.0098,1.6704,0.0953,1.6489,0.0022,0.0054
Acacia saligna,Fabaceae,999,10,0.6878,0.19744,0.24342,1.52786,0.01094,0.1975,0.1825,0.0059,0.0044,1.3258,0.0581,0.0805,0.0025,0.0115
Acantholimon ulicinum,Plumbaginaceae,999,14,0.4368,0.33106,1.59262,1.86794,0.02701,0.35692,0.15,0.0012,7.00E-04,0.0362,0.0215,0.0707,0.0021,0.001
Acanthus hungaricus,Acanthaceae,999,4,0.6726,0.12466,0.03794,1.33143,0.01737,0.20845,0.10526,0.0043,0.0054,1.5135,0.0612,1.2685,0.0015,9.00E-04
Acanthus mollis,Acanthaceae,999,22,0.69198,0.32022,0.28525,1.37077,0.12263,0.25058,0.15209,0.0014,0.0043,0.5836,0.0283,0.5814,0.0016,0.0021
