Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Salix neotrichaXtriandra,Salix neotricha x triandra,(Salix x fragilis) x triandra,(Salix x fragilis) x triandra,(Salix x fragilis) x triandra,hyb.,Salix,Salicaceae,Malpighiales,Magnoliopsida,tracheophytes,Yes
Salix neotrichaXdiscolor,Salix neotricha x discolor,(Salix x fragilis) x triandra,(Salix x fragilis) x triandra,(Salix x fragilis) x triandra,hyb.,Salix,Salicaceae,Malpighiales,Magnoliopsida,tracheophytes,Yes
Abies alba,Abies alba,Abies alba,Abies alba,Abies alba,sp.,Abies,Pinaceae,Pinales,Pinopsida,tracheophytes,Yes
Acacia dealbata,Acacia dealbata,Acacia dealbata,Acacia dealbata,Acacia dealbata,sp.,Acacia,Fabaceae,Fabales,Magnoliopsida,tracheophytes,No
Acer campestre,Acer campestre,Acer campestre,Acer campestre,Acer campestre,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,Yes
Acer XcampestreXmonspessulan,Acer campestre x monspessulanum,Acer campestre x monspessulanum,Acer campestre x monspessulanum,Acer campestre x monspessulanum,hyb.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,Yes
Acer monspessulanum,Acer monspessulanum,Acer monspessulanum,Acer monspessulanum,Acer monspessulanum,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,Yes
Acer negundo,Acer negundo,Acer negundo,Acer negundo,Acer negundo,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,No
Acer opalus,Acer opalus,Acer opalus,Acer opalus,Acer opalus,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,Yes
Acer opalus subsp. opalus,Acer opalus,Acer opalus,Acer opalus,Acer opalus,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,Yes
Acer platanoides,Acer platanoides,Acer platanoides,Acer platanoides,Acer platanoides,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,No
Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus,sp.,Acer,Sapindaceae,Sapindales,Magnoliopsida,tracheophytes,Yes
Achillea dichroa,Achillea,Achillea,Achillea,Achillea,gen.,Achillea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Achillea ageratum,Achillea ageratum,Achillea ageratum,Achillea ageratum,Achillea ageratum,sp.,Achillea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Filago maritima,Filago maritima,Achillea maritima,Achillea maritima,Achillea maritima,sp.,Filago,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
