Analysis.Names,Origin in the Czech Republic,Invasion status,Geographic origin,Year of the first record in the wild,Year of the last record,Period of introduction,Introduction pathway,heightmax,floweringmin,floweringmax,floweringmean,floweringwidth,neophyte,bryophyte,chamaephyte,geophyte,hemicryptophyte,hydrophyte,therophyte,phanerophyte,EIVE1.M,EIVE1.N,EIVE1.R,EIVE1.L,EIVE1.T,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance
Acer pseudoplatanus,native,,,,,,,3000,4,5,4.5,2,0,0,0,0,0,0,0,1,5,6.9,5.9,3.8,4.2,0.68705,0.16985,0.0706,1.32057,0.02196,0.18337,0.11293
Achillea ageratum,absent,,,,,,,70,5,10,7.5,6,0,0,0,0,0,0,0,0,5.5,4.4,6,8,6.8,0.67778,0.65111,1.24586,1.87759,0.55385,0.28372,0.32444
Achillea maritima,absent,,,,,,,50,1,12,6.5,12,0,0,1,0,0,0,0,0,2.6,4.5,6,9.1,7,0.40794,0.40658,2.04141,2.06712,0.00481,0.11787,0.73044
Achillea millefolium,native,,,,,,,80,6,11,8.5,6,0,0,0,0,0,0,0,0,3.7,5.1,5.5,7.3,3.6,NA,NA,NA,NA,NA,NA,NA
Achillea odorata,absent,,,,,,,30,6,8,7,3,0,0,0,0,0,0,0,0,2.4,2.2,7.9,7.8,4.4,0.52574,0.44667,0.94374,1.90408,0.57641,0.39574,0.23188
Achillea thracica,absent,,,,,,,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,2.2,NA,6.4,NA,5.8,NA,NA,NA,NA,NA,NA,NA
Aconitum lycoctonum aggr.,native,,,,,,,NA,6,9,7.5,4,0,0,0,0,1,0,0,0,5.2,7.1,6.8,4.3,2.7,0.63676,0.16715,0.11633,1.22945,0.01862,0.17755,0.09836
Aconitum napellus,native,,,,,,,200,NA,NA,NA,NA,0,0,0,1,0,0,0,0,6,7.6,6.8,6.1,3.2,NA,NA,NA,NA,NA,NA,NA
Adenocarpus complicatus aggr.,absent,,,,,,,300,4,10,7,7,0,0,0,0,0,0,0,1,2.4,3.3,2.9,7.9,6.9,0.38333,0.1741,0.43947,1.31488,0.00596,0.26934,0.10365
Adenostyles alpina,absent,,,,,,,60,7,8,7.5,2,0,0,0,0,0,0,0,0,5.4,5,8.8,5.1,1.6,0.63152,0.14566,0.08768,1.1527,0.00901,0.19069,0.10566
Aegilops geniculata,neophyte,casual,Mediterranean,1920,1920,Late Modern Period (1800–1950),unintentional – anthropogenic,40,4,7,5.5,4,0,0,0,0,0,0,1,0,2.9,4,7.4,8.7,6.5,0.77176,0.72822,1.27204,1.9407,0.44058,0.31268,0.36372
Aegilops triuncialis,absent,,,,,,,51,5,7,6,3,0,0,0,0,0,0,1,0,2,5.3,6.6,9,7,0.67276,0.63746,1.2048,1.96183,0.5563,0.29905,0.32573
Aegonychon purpurocaeruleum,absent,,,,,,,60,4,5,4.5,2,0,0,0,0,0,0,0,0,3.4,3.9,7.8,4.9,5.6,0.68578,0.12238,0.03342,1.30818,0.01681,0.20725,0.10024
Aethusa cynapium,native,,,,,,,80,6,8,7,3,0,0,0,0,0,0,1,0,4.5,6.8,7.3,5.9,4.2,0.80849,0.76598,1.10771,1.78759,0.48072,0.15284,0.69388
Agrimonia eupatoria,native,,,,,,,150,5,10,7.5,6,0,0,0,0,0,0,0,0,3.7,4.6,7.4,6.8,4.8,0.54101,0.43842,0.83225,1.69485,0.60411,0.24194,0.19299
Agrostemma githago,archaeophyte,naturalized,anecophyte,,,Neolithic (5600–4200 BCE),unintentional – agriculture,100,4,7,5.5,4,0,0,0,0,0,0,1,0,3.9,5.3,6.1,7.5,4.7,0.89201,0.88991,2.03298,2.12148,0.28503,0.10406,0.87023
Agrostis canina,native,,,,,,,65,7,8,7.5,2,0,0,0,0,0,0,0,0,6.6,2.1,3,7.6,3.7,0.39908,0.33733,1.05421,1.56112,0.43687,0.21865,0.16903
Agrostis capillaris,native,,,,,,,65,6,8,7,3,0,0,0,0,0,0,0,0,4.2,3.7,3.5,6.7,3.9,0.52099,0.43132,0.86379,1.80498,0.57578,0.29897,0.2949
Agrostis castellana,absent,,,,,,,85,6,8,7,3,0,0,0,0,0,0,0,0,3.9,3.2,4.7,8,5.2,0.47418,0.34848,0.72333,1.60782,0.26124,0.3262,0.19946
Agrostis curtisii aggr. (synonym of Alpagrostis setacea),absent,,,,,,,75,6,7,6.5,2,0,0,0,0,1,0,0,0,4.4,1.2,2,7.7,4.5,0.50175,0.33706,0.63145,1.56723,0.30709,0.3334,0.16326
Agrostis stolonifera,native,,,,,,,105,5,8,6.5,4,0,0,0,0,0,0,0,0,5.8,5.3,6,7.7,4.2,0.47931,0.44635,1.23503,1.80321,0.45794,0.34582,0.21757
Agrostis x dimorpholemma,absent,,,,,,,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aira caryophyllea,native,,,,,,,40,4,7,5.5,4,0,0,0,0,0,0,1,0,2.3,1.8,3.6,8.9,4.9,0.47578,0.42311,1.13458,1.95739,0.50313,0.33193,0.32762
Aira praecox,native,,,,,,,25,4,8,6,5,0,0,0,0,0,0,1,0,2.2,1.5,2.2,8.8,4.8,0.41215,0.39466,1.53945,1.89683,0.44628,0.34445,0.37528
Ajuga reptans,native,,,,,,,40,4,7,5.5,4,0,0,0,0,0,0,0,0,5,5.8,5.6,5.3,4.1,0.6253,0.28029,0.23835,1.4655,0.18483,0.18945,0.16464
Alchemilla catalaunica,absent,,,,,,,30,5,8,6.5,4,0,0,0,0,0,0,0,0,3.4,1.8,7.1,8.1,2.1,0.37778,0.34851,1.25385,1.71072,0.15057,0.35094,0.13774
Alchemilla xanthochlora,native,,,,,,,80,5,8,6.5,4,0,0,0,0,0,0,0,0,5.3,5.3,6,6,3,0.50608,0.41921,0.86313,1.49154,0.50629,0.20844,0.23898
Alisma lanceolatum,native,,,,,,,140,5,8,6.5,4,0,0,0,0,0,1,0,0,8.1,6,6.9,7.1,5.1,0.35053,0.33658,1.41619,1.75262,0.19886,0.13169,0.14182
Alisma plantago-aquatica,native,,,,,,,120,6,10,8,5,0,0,0,0,1,1,0,0,8.2,7.2,6.4,6.8,4.4,0.33048,0.31082,1.31097,1.72473,0.18333,0.10498,0.11888
Alkanna tinctoria,absent,,,,,,,40,2,6,4,5,0,0,0,0,1,0,0,0,1.7,2.6,8.1,8.2,6.6,0.60654,0.48559,0.86156,1.70513,0.25716,0.33394,0.31622
Alliaria petiolata,native,,,,,,,100,4,7,5.5,4,0,0,0,0,0,0,0,0,4.6,8.8,7,4.4,4.6,0.67947,0.25214,0.1495,1.33661,0.07498,0.19025,0.12819
Allium ampeloprasum,absent,,,,,,,138,5,6,5.5,2,0,0,0,1,0,0,0,0,3.3,6.4,6.5,7.9,6.3,0.67239,0.59928,0.86544,1.23052,0.42735,0.22794,0.29618
Allium oleraceum,native,,,,,,,75,7,9,8,3,0,0,0,1,0,0,0,0,3.3,4.5,6.5,6.5,4.5,0.54919,0.41684,0.6876,1.67986,0.47562,0.23933,0.20557
Allium roseum,neophyte,casual,Mediterranean, 2005,,Present (after 2000),intentional – ornamental,65,3,6,4.5,4,0,0,0,1,0,0,0,0,3.1,5.2,6.9,7.3,6.7,0.68834,0.57689,0.77511,1.56683,0.44138,0.28274,0.26527
Allium sphaerocephalon,native,,,,,,,70,5,8,6.5,4,0,0,0,1,0,0,0,0,2.6,2.5,7.8,8.8,5.7,0.49984,0.42364,1.0145,1.72375,0.31065,0.35234,0.22323
Allium triquetrum,absent,,,,,,,59,1,5,3,5,0,0,0,1,0,0,0,0,3.4,7.3,6.9,5.7,7.2,0.64704,0.26015,0.21614,1.3344,0.07776,0.2359,0.1354
Allium ursinum,native,,,,,,,45,3,6,4.5,4,0,0,0,1,0,0,0,0,5.3,7.8,7.4,2.2,4.4,0.6921,0.16471,0.05865,1.32589,0.01073,0.18211,0.1025
Allium victorialis,native,,,,,,,77,5,7,6,3,0,0,0,1,0,0,0,0,4.7,5.1,6,6.6,2.6,0.47364,0.22909,0.38258,0.958,0.04438,0.21,0.08721
Allium vineale,native,,,,,,,100,6,7,6.5,2,0,0,0,1,0,0,0,0,3.6,6.2,6.6,6,5,0.55839,0.50166,1.04201,1.86787,0.66813,0.20341,0.34605
Alnus glutinosa aggr.,native,,,,,,,2500,1,5,3,5,0,0,0,0,0,0,0,1,7.2,5.9,5.7,5.2,4.3,0.64769,0.28979,0.2261,1.36567,0.04776,0.18056,0.11129
Alopecurus aequalis,native,,,,,,,45,5,8,6.5,4,0,0,0,0,1,0,1,0,7.4,8.2,5.8,8.2,3.7,0.56593,0.55703,1.57384,1.78688,0.09204,0.15919,0.25271
Alopecurus myosuroides,archaeophyte,naturalized,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – plantations, unintentional – anthropogenic, unintentional – nature",63,3,7,5,5,0,0,0,0,0,0,1,0,4.4,6.5,6.7,6.9,5.1,0.78906,0.77595,1.55617,1.94638,0.70626,0.19402,0.67527
Alopecurus pratensis,native,,,,,,,129,2,7,4.5,6,0,0,0,0,0,0,0,0,5.2,7,5.9,6.6,4,0.52233,0.50852,1.51649,1.89198,1.13393,0.22116,0.28429
Althaea hirsuta,neophyte,casual,Mediterranean,1870,,Late Modern Period (1800–1950),intentional – ornamental,70,4,7,5.5,4,0,0,0,0,0,0,1,0,3.2,4.2,7.6,7.7,6.2,0.67268,0.63474,1.38245,1.86136,0.45401,0.29516,0.34785
Althaea officinalis,native,,,,,,,150,5,6,5.5,2,0,0,0,0,0,0,0,0,5.6,5.9,7.6,7.1,5.6,0.47551,0.46134,1.41647,1.62671,0.544,0.22671,0.15893
Alyssum simplex,absent,,,,,,,15,2,6,4,5,0,0,0,0,0,0,1,0,2.4,2.9,6.8,8.2,5.8,0.62228,0.59638,1.4944,2.08543,0.36635,0.29944,0.3276
Amaranthus albus,neophyte,invasive,North America,1893,,Late Modern Period (1800–1950),"unintentional – traffic, unintentional – anthropogenic",130,5,12,8.5,8,1,0,0,0,0,0,1,0,3.2,7.3,6.5,8.7,6.1,0.7841,0.77846,1.7728,1.9188,0.61245,0.14962,0.60775
Amaranthus blitum aggr.,archaeophyte,naturalized,Mediterranean,,,Early Middle Ages (550–1200),"intentional – crops, unintentional – agriculture, unintentional – anthropogenic",NA,5,12,8.5,8,0,0,0,0,0,0,1,0,3.9,8.4,6.6,7.9,5.8,0.81386,0.78025,1.18996,1.78886,0.63899,0.16402,0.68716
Amaranthus cruentus,absent,,,,,,,50,5,12,8.5,8,1,0,0,0,0,0,1,0,3.6,8.3,7.6,8.1,6.5,NA,NA,NA,NA,NA,NA,NA
Amaranthus deflexus,neophyte,naturalized,South America,1905,,Late Modern Period (1800–1950),unintentional – anthropogenic,45,5,12,8.5,8,1,0,0,0,0,0,1,0,3.6,7.9,6.9,8,6.6,0.86845,0.86485,2.05392,2.28965,1.24386,0.13824,0.66368
Amaranthus emarginatus,neophyte,naturalized,South America,,,,,20,5,12,8.5,8,1,0,0,0,0,0,1,0,4.2,8.3,6.7,8,5.9,0.84423,0.84423,1.91678,1.91678,0.18755,0.187,0.51569
Amaranthus graecizans,neophyte,casual,"Mediterranean, Asia, Africa",,,,,NA,5,12,8.5,8,1,0,0,0,0,0,1,0,3.4,8.2,7.3,8.5,6.4,0.8481,0.8481,2.15786,2.15786,0.97661,0.15937,0.73727
Amaranthus hybridus aggr.,neophyte,casual,"North America, Central America, South America",1957,1983,Recent Past (1950–2000),"unintentional – industry, unintentional – anthropogenic",30,5,12,8.5,8,1,0,0,0,0,0,1,0,3.8,7.9,6.7,8.3,6.1,NA,NA,NA,NA,NA,NA,NA
Amaranthus powellii,neophyte,invasive,"Central America, South America",1853,,Late Modern Period (1800–1950),"unintentional – agriculture, unintentional – anthropogenic",300,6,11,8.5,6,1,0,0,0,0,0,1,0,3.7,7.8,7.5,8,5.9,NA,NA,NA,NA,NA,NA,NA
Amaranthus retroflexus,neophyte,invasive,"North America, Central America",1818,,Early Modern Period (1500–1800),"unintentional – agriculture, unintentional – anthropogenic",50,5,12,8.5,8,1,0,0,0,0,0,1,0,3.7,8.5,6.6,8.1,5.7,0.84294,0.83925,1.89398,2.021,0.76664,0.13309,0.75313
Ammi majus,neophyte,casual,Mediterranean,1898,,Late Modern Period (1800–1950),intentional – nature,100,5,9,7,5,0,0,0,0,0,0,1,0,3.3,7.3,7.7,7.5,6.5,0.86495,0.86186,1.96649,2.10318,0.56713,0.16875,0.64792
Ammi visnaga,neophyte,casual,Mediterranean,1987,,Recent Past (1950–2000),unintentional – anthropogenic,60,5,9,7,5,0,0,0,0,0,0,1,0,4.1,7.6,6.9,8.8,7.2,0.75676,0.75676,1.83501,1.83501,1.45939,0.18333,0.42432
Ammophila arenaria aggr. (synonym of Calamagrostis arenaria),absent,,,,,,,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,3.9,4.7,6.9,9.1,4.6,0.43117,0.42072,1.71969,1.90055,0.17871,0.2423,0.54693
Anacyclus clavatus,neophyte,casual,Mediterranean,,,Present (after 2000),intentional – other,120,3,7,5,5,0,0,0,0,0,0,1,0,3,5.9,5.3,8.6,5.7,0.83162,0.82655,1.95867,2.13997,0.79597,0.225,0.49119
Anagallis arvensis,archaeophyte,naturalized,Mediterranean,,,Neolithic (5600–4200 BCE),unintentional – agriculture,120,3,8,5.5,6,0,0,0,0,0,0,1,0,3.9,6.1,6.5,6.7,4.8,0.7871,0.75023,1.37944,1.92919,0.40631,0.19607,0.63681
Anagallis foemina,archaeophyte,naturalized,"Europe, Mediterranean",,,Neolithic (5600–4200 BCE),unintentional – agriculture,120,4,11,7.5,8,0,0,0,0,0,0,1,0,3.3,5.6,8.1,7.8,5.2,0.80088,0.77813,1.49976,1.97197,0.48726,0.19113,0.64543
Anagallis monelli,neophyte,casual,Mediterranean,1953,,Recent Past (1950–2000),intentional – ornamental,40,3,7,5,5,0,0,0,0,0,0,0,0,1.9,2.9,3.5,8.7,6.7,NA,NA,NA,NA,NA,NA,NA
Anarrhinum bellidifolium,absent,,,,,,,40,3,10,6.5,8,0,0,0,0,0,0,0,0,3.1,3,3.1,8.2,5.9,0.54034,0.23882,0.31108,1.30716,0.09889,0.24322,0.16795
Anchusa azurea,neophyte,casual,Mediterranean,,,Early Modern Period (1500–1800),"unintentional – industry, unintentional – anthropogenic",300,3,8,5.5,6,0,0,0,0,0,0,0,0,2.6,4.9,6.9,8.4,6.4,0.80927,0.77806,1.30337,1.9704,0.62419,0.2,0.57662
Anchusa undulata,absent,,,,,,,150,3,6,4.5,4,0,0,0,0,0,0,0,0,2.5,6.3,5.7,7.6,5.8,NA,NA,NA,NA,NA,NA,NA
Andryala integrifolia,absent,,,,,,,15,3,9,6,7,0,0,0,0,0,0,0,0,3,4.6,4.3,7.8,6.5,0.61463,0.4422,0.58295,1.61957,0.33499,0.26539,0.26098
Anemone nemorosa,native,,,,,,,NA,3,5,4,3,0,0,0,1,0,0,0,0,4.8,5.1,5.5,4.3,4.1,0.67108,0.18536,0.09087,1.33498,0.04866,0.19408,0.1148
Angelica heterocarpa,absent,,,,,,,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,5.9,6.3,6.1,8.2,5.2,NA,NA,NA,NA,NA,NA,NA
Angelica major,absent,,,,,,,100,6,8,7,3,0,0,0,0,0,0,0,0,6.3,2.9,3.3,7.5,3.8,0.54265,0.32029,0.48069,1.57351,0.09528,0.19254,0.1411
Angelica pachycarpa,absent,,,,,,,50,7,9,8,3,0,0,0,0,1,0,0,0,3.3,0.7,1,9.6,5.4,NA,NA,NA,NA,NA,NA,NA
Angelica razulii,absent,,,,,,,120,7,9,8,3,0,0,0,0,1,0,0,0,5,7.5,4.9,8.2,2.3,0.51364,0.32619,0.54992,1.50044,0.13674,0.19048,0.14318
Angelica sylvestris,native,,,,,,,300,7,10,8.5,4,0,0,0,0,0,0,0,0,6.3,5.7,5.8,6,4,0.55893,0.39808,0.56279,1.51574,0.36123,0.17902,0.15429
Anisantha diandra (synonym of Bromus diandrus),neophyte,casual,Mediterranean,1929,1977,Late Modern Period (1800–1950),"unintentional – industry, unintentional – anthropogenic",45,3,8,5.5,6,0,0,0,0,0,0,1,0,2.8,6.1,6.6,7.7,6.3,0.76583,0.70652,1.05246,1.76422,0.54789,0.19729,0.43521
Anisantha madritensis (synonym of Bromus madritensis),neophyte,casual,Mediterranean,1926,1961,Late Modern Period (1800–1950),"intentional – collections, unintentional – traffic, unintentional – industry",200,1,7,4,7,0,0,0,0,0,0,1,0,2.1,5.2,6.8,8,6.3,0.79039,0.71888,1.03803,1.79858,0.49684,0.24503,0.40476
Anisantha rigida (synonym of Bromus rigidus),neophyte,casual,Mediterranean,1929,1977,Late Modern Period (1800–1950),"unintentional – industry, unintentional – anthropogenic",80,3,7,5,5,0,0,0,0,0,0,1,0,2.7,6.2,7.3,8.4,6.1,0.69571,0.64135,1.08524,1.81579,0.36398,0.20457,0.43961
Anisantha rubens (synonym of Bromus rubens),neophyte,casual,Mediterranean,1958,1961,Recent Past (1950–2000),unintentional – industry,40,1,6,3.5,6,0,0,0,0,0,0,1,0,1.6,4.9,7.1,8.1,7.2,0.73798,0.70361,1.2382,1.61332,0.37178,0.27447,0.37861
Anisantha sterilis (synonym of Bromus sterilis),archaeophyte,invasive,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – anthropogenic",90,3,8,5.5,6,0,0,0,0,0,0,1,0,3.2,6.2,6.4,7.1,5,0.72807,0.60894,0.77819,1.65322,0.46078,0.19505,0.41529
Anisantha tectorum (synonym of Bromus tectorum),archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),"unintentional – agriculture, unintentional – anthropogenic",50,3,5,4,3,0,0,0,0,0,0,1,0,2.6,4.6,7.2,8.3,5,0.65962,0.63126,1.32855,1.91776,0.50175,0.22617,0.48246
Anogramma leptophylla,absent,,,,,,,200,3,11,7,9,0,0,0,0,0,0,1,0,2.9,2.9,5.7,5.2,6,0.72468,0.5141,0.48819,1.59601,0.18109,0.27595,0.25696
Anomodon viticulosus,absent,,,,,,,50,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthemis arvensis,archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),unintentional – agriculture,40,3,8,5.5,6,0,0,0,0,0,0,1,0,3.6,5.7,4.5,7.1,4.6,0.81355,0.79659,1.48618,2.00096,0.40103,0.17609,0.7043
Anthemis cotula,archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),unintentional – anthropogenic,40,4,8,6,5,0,0,0,0,0,0,1,0,3.7,6.1,6.1,7.3,5,0.78806,0.78368,1.86883,2.06954,0.7135,0.19344,0.60828
Anthoxanthum amarum,absent,,,,,,,20,3,6,4.5,4,0,0,0,0,0,0,0,0,5.9,2.3,2.2,7.8,4.8,NA,NA,NA,NA,NA,NA,NA
Anthoxanthum odoratum,native,,,,,,,120,5,7,6,3,0,0,0,0,1,0,0,0,4.6,3.8,4.3,7,4.1,NA,NA,NA,NA,NA,NA,NA
Anthoxanthum ovatum,absent,,,,,,,30,4,6,5,3,0,0,0,0,0,0,1,0,2.5,2.3,4.9,7,7.3,0.58621,0.36364,0.53865,1.53864,0.25106,0.30345,0.18667
Anthriscus caucalis,archaeophyte,naturalized,"Europe, Mediterranean",,,Early Middle Ages (550–1200),unintentional – anthropogenic,80,3,6,4.5,4,0,0,0,0,0,0,1,0,4.2,7.1,6.1,7,5.1,0.63276,0.49769,0.71659,1.49198,0.28893,0.20886,0.34903
Anthriscus sylvestris,native,,,,,,,150,4,7,5.5,4,0,0,0,0,0,0,0,0,4.5,8.2,6.4,6.4,3.8,0.56971,0.44668,0.69343,1.54675,0.52535,0.15936,0.27054
Anthyllis lotoides (synonym of Aspalathus aspalathoides),absent,,,,,,,30,4,6,5,3,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0.39474,0.27763,0.80134,1.98984,0.60298,0.28904,0.19079
Anthyllis vulneraria,native,,,,,,,20,5,8,6.5,4,0,0,0,0,0,0,0,0,3.1,2.9,7.3,8.1,4.2,0.45718,0.41387,1.18552,1.73721,0.38429,0.30086,0.17697
