"SIVIMID","Relevé.number","Semisupervised","Revised.alliance","Alliance","Sintaxon","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"CORTADERIA-11",32311,0,NA,NA,NA,NA,NA,0,49,"2022",43.41379,-5.808613,"1",151
"CORTADERIA-12",32312,0,NA,NA,NA,NA,NA,0,49,"2022",43.41451,-5.81737,"1",151
"CORTADERIA-13",32313,0,NA,NA,NA,NA,"W",0,49,"2022",43.408169,-5.796054,"1",158
"CORTADERIA-21",32321,0,NA,NA,NA,NA,"N",1,49,"2022",43.600859,-5.907661,"1",6
"CORTADERIA-22",32322,0,NA,NA,NA,NA,"SW",0,49,"2022",43.590716,-5.915966,"1",4
"CORTADERIA-23",32323,0,NA,NA,NA,NA,NA,0,49,"2022",43.5866468,-5.913889,"1",15
"CORTADERIA-31",32331,0,NA,NA,NA,NA,"N",1,49,"2022",43.655831,-5.850439,"1",96
"CORTADERIA-32",32332,0,NA,NA,NA,NA,"NW",5,49,"2022",43.654466,-5.848792,"1",94
"CORTADERIA-33",32333,0,NA,NA,NA,NA,"SW",3,49,"2022",43.637201,-5.831285,"1",81
"NEW-OMAR-BA02",1,1,"Dauco-Melilotion","Dauco-Melilotion","Picridi echioides-Melilotetum albi",NA,"",0,200,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA05",1014,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,10,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA06",1015,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,50,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA08",2,0,"Balloto-Conion maculati","Senecionion fluviatilis","Comunidad de Equisetum telmateia",NA,"SO",5,15,"1981",-5.694921052,43.32559713,"500",225
"NEW-OMAR-BA106",3,0,"Balloto-Conion maculati","Senecionion fluviatilis","Comunidad de Equisetum telmateia",NA,"S",10,10,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA12",4,0,"Dauco-Melilotion","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",NA,"",0,4,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA13",5,0,"Balloto-Conion maculati","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",NA,"",20,9,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA15",6,0,"Dauco-Melilotion","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris",NA,"S",20,9,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA20",1788,0,"Saginion procumbentis","Polygono-Coronopodion","Comunidad de Poa annua",NA,"SO",10,1,"1981",-5.694921052,43.32559713,"500",225
"NEW-OMAR-BA34",1016,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"SE",5,16,"1981",-5.694523235,43.31660252,"500",295
"NEW-OMAR-BA38",1017,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,15,"1981",-5.707241301,43.32530597,"500",190
"NEW-OMAR-BA42",1018,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"S",5,4,"1981",-5.707241301,43.32530597,"500",190
