"","SIVIMID","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","NEW-OMAR-BA02","Picridi echioides-Melilotetum albi",1,"Dauco-Melilotion",NA,"",0,200,"1981",-5.707241301,43.32530597,"500",190,"Dauco-Melilotion","Artemisietea vulgaris",1,"Polygono-Poetea annuae"
"2","NEW-OMAR-BA05","Fumario capreolatae-Veronicetum persicae",1014,"Oxalidion europaeae",NA,"",0,10,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"3","NEW-OMAR-BA06","Fumario capreolatae-Veronicetum persicae",1015,"Oxalidion europaeae",NA,"",0,50,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"4","NEW-OMAR-BA08","Comunidad de Equisetum telmateia",2,"Balloto-Conion maculati",NA,"SO",5,15,"1981",-5.694921052,43.32559713,"500",225,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"5","NEW-OMAR-BA106","Comunidad de Equisetum telmateia",3,"Balloto-Conion maculati",NA,"S",10,10,"1981",-5.707241301,43.32530597,"500",190,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"6","NEW-OMAR-BA12","Comunidad de Arctium minus y Artemisia vulgaris",4,"Dauco-Melilotion",NA,"",0,4,"1981",-5.707241301,43.32530597,"500",190,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"7","NEW-OMAR-BA13","Comunidad de Arctium minus y Artemisia vulgaris",5,"Balloto-Conion maculati",NA,"",20,9,"1981",-5.707241301,43.32530597,"500",190,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"8","NEW-OMAR-BA15","Comunidad de Arctium minus y Artemisia vulgaris",6,"Dauco-Melilotion",NA,"S",20,9,"1981",-5.707241301,43.32530597,"500",190,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"9","NEW-OMAR-BA20","Comunidad de Poa annua",1788,"Saginion procumbentis",NA,"SO",10,1,"1981",-5.694921052,43.32559713,"500",225,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"10","NEW-OMAR-BA34","Fumario capreolatae-Veronicetum persicae",1016,"Oxalidion europaeae",NA,"SE",5,16,"1981",-5.694523235,43.31660252,"500",295,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"11","NEW-OMAR-BA38","Fumario capreolatae-Veronicetum persicae",1017,"Oxalidion europaeae",NA,"",0,15,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"12","NEW-OMAR-BA42","Fumario capreolatae-Veronicetum persicae",1018,"Oxalidion europaeae",NA,"S",5,4,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"13","NEW-OMAR-BA43","Fumario capreolatae-Veronicetum persicae",1019,"Oxalidion europaeae",NA,"",0,12,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"14","NEW-OMAR-BA58","Sisymbrio officinalis-Hordeetum murini",7,"Sisymbrion officinalis",NA,"",10,100,"1981",-5.694921052,43.32559713,"500",200,"Sisymbrion officinalis","Sisymbrietea",1,"Epilobietea angustifolii"
"15","NEW-OMAR-CA01","",8,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673083717,43.27902792,"10",252,"Unknown",NA,0,"Epilobietea angustifolii"
"16","NEW-OMAR-CA02","",9,"Dauco-Melilotion",NA,"",0,1,"2020",-5.67282991,43.2791419,"10",252,"Unknown",NA,0,"Epilobietea angustifolii"
"17","NEW-OMAR-CA03","",10,"Dauco-Melilotion",NA,"",0,1,"2020",-5.672872063,43.27897884,"10",254,"Unknown",NA,0,"Polygono-Poetea annuae"
"18","NEW-OMAR-CA04","",11,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673663223,43.27875325,"10",255,"Unknown",NA,0,"Epilobietea angustifolii"
"19","NEW-OMAR-CA05","",12,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673593878,43.27829566,"10",257,"Unknown",NA,0,"Epilobietea angustifolii"
"20","NEW-OMAR-CA06","",13,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673457181,43.27855097,"10",254,"Unknown",NA,0,"Epilobietea angustifolii"
"21","NEW-OMAR-CA07","",14,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673290343,43.27868093,"10",254,"Unknown",NA,0,"Epilobietea angustifolii"
