"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","NEW-OMAR-BA05",2,"Fumario capreolatae-Veronicetum persicae",1014,"Oxalidion europaeae",NA,"",0,10,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"2","NEW-OMAR-BA06",3,"Fumario capreolatae-Veronicetum persicae",1015,"Oxalidion europaeae",NA,"",0,50,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"3","NEW-OMAR-BA34",10,"Fumario capreolatae-Veronicetum persicae",1016,"Oxalidion europaeae",NA,"SE",5,16,"1981",-5.694523235,43.31660252,"500",295,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"4","NEW-OMAR-BA38",11,"Fumario capreolatae-Veronicetum persicae",1017,"Oxalidion europaeae",NA,"",0,15,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"5","NEW-OMAR-BA42",12,"Fumario capreolatae-Veronicetum persicae",1018,"Oxalidion europaeae",NA,"S",5,4,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"6","NEW-OMAR-BA43",13,"Fumario capreolatae-Veronicetum persicae",1019,"Oxalidion europaeae",NA,"",0,12,"1981",-5.707241301,43.32530597,"500",190,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"7","NEW-OMAR-PA35",50,"Fumario capreolatae-Veronicetum persicae",1020,"Oxalidion europaeae",NA,"S",5,20,"1981",-5.669491805,43.30818588,"500",335,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Papaveretea rhoeadis"
"8","P-P22131",56,"Allio vineale-Ranunculetum sardoi",1021,"Oxalidion europaeae","R","",0,1000,"2005",-1.381462446,43.44279511,"3 - UTM10x10 + Elevation",5,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"9","P-P22132",57,"Allio vineale-Ranunculetum sardoi",1022,"Oxalidion europaeae","V","",0,400,"2005",-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
"10","P-P22135",58,"Allio vineale-Ranunculetum sardoi",1023,"Oxalidion europaeae","R","",0,500,"2005",-1.253309719,43.43010393,"3 - UTM10x10 + Elevation",2,"Geo urbani-Alliarion officinalis","Epilobietea angustifolii",0,"Papaveretea rhoeadis"
