"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","NEW-OMAR-BA20",9,"Comunidad de Poa annua",1788,"Potentillion anserinae",NA,"SO",10,1,"1981",-5.694921052,43.32559713,"500",225,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"2","NEW-OMAR-LF10",26,"Sisymbrio officinalis-Hordeetum murini",1789,"Potentillion anserinae",NA,"",0,9,"1981",-5.682204615,43.31689226,"500",210,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"3","NEW-OMAR-PA30",49,"Comunidad de Poa annua",1790,"Polygono-Coronopodion",NA,"",0,3,"1981",-5.657174634,43.30847288,"500",340,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"4","NEW-OMAR-RE27",54,"Comunidad de Poa annua",1791,"Potentillion anserinae",NA,"O",5,3,"1981",-5.669491805,43.30818588,"500",225,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"5","Q-P07050",81,"Comunidad de Spergularia boccomii y Sagina apetala",207050,"Polygono-Coronopodion","V32","",NA,1,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Mesembryanthemion crystallini","Saginetea maritimae",0,"Polygono-Poetea annuae"
"6","Q-P07051",82,"Comunidad de Spergularia boccomii y Sagina apetala",207051,"Polygono-Coronopodion","V32","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Mesembryanthemion crystallini","Saginetea maritimae",0,"Polygono-Poetea annuae"
"7","Q-P07114",83,"Lolio-Plantaginetum majoris",207114,"Potentillion anserinae","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"8","Q-P07115",84,"Lolio-Plantaginetum majoris",207115,"Potentillion anserinae","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"9","Q-P07116",85,"Lolio-Plantaginetum majoris",207116,"Potentillion anserinae","R36","",NA,4,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"10","Q-P07119",86,"Lolio-Plantaginetum majoris",207119,"Potentillion anserinae","R36","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"11","Q-P08150",108,"Polycarpo tetraphylli-Coronopodetum squamati",1792,"Polygono-Coronopodion","V35","",NA,1,"2004",-8.555662357,41.10094791,"3 - UTM10x10 + Elevation",40,"Polycarpion tetraphylli","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"12","Q-P08769",142,"Polygono-Matricarietum matricarioidis",1793,"Polygono-Coronopodion","V35","",NA,1,"1990",-4.575170475,42.88691619,"3 - UTM10x10 + Elevation",1030,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"13","Q-P08770",143,"Polygono-Matricarietum matricarioidis",1794,"Polygono-Coronopodion","V35","",NA,8,"1990",-4.761486489,42.8932054,"3 - UTM10x10 + Elevation",1240,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"14","Q-P08771",144,"Polygono-Matricarietum matricarioidis",1795,"Polygono-Coronopodion","V35","",NA,4,"1990",-4.609727536,42.8972414,"3 - UTM10x10 + Elevation",1300,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"15","Q-P08772",145,"Polygono-Matricarietum matricarioidis",1796,"Polygono-Coronopodion","V35","",NA,10,"1990",-4.550506646,42.88004893,"3 - UTM10x10 + Elevation",1040,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"16","Q-P08773",146,"Polygono-Matricarietum matricarioidis",1797,"Polygono-Coronopodion","V35","",NA,2,"1990",-4.805345737,42.88531803,"3 - UTM10x10 + Elevation",1330,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"17","Q-P08774",147,"Polygono-Matricarietum matricarioidis",1798,"Polygono-Coronopodion","V35","",NA,5,"1990",-4.518195682,42.86067093,"3 - UTM10x10 + Elevation",990,"Polygono-Coronopodion","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"18","Q-P09840",173,"Comunidad de Crypsis schoenoides y Cyperus fuscus",209840,"Potentillion anserinae","R36","",NA,4,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590,"Unknown",NA,0,"Polygono-Poetea annuae"
"19","Q-P09982",192,"Matricario-Polygonetum avicularis",1799,"Potentillion anserinae","V35","",NA,4,"2000",-7.182960705,41.96578556,"2 - UTM1x1 + Centroid",750,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"20","Q-P09983",193,"Matricario-Polygonetum avicularis",1800,"Polygono-Coronopodion","V35","",NA,5,"2000",-7.053959534,41.87510045,"3 - UTM10x10 + Elevation",790,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"21","Q-P09984",194,"Matricario-Polygonetum avicularis",1801,"Polygono-Coronopodion","V35","SE",9,1,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"22","Q-P09985",195,"Matricario-Polygonetum avicularis",1802,"Polygono-Coronopodion","V35","",NA,2,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",620,"Polygono-Coronopodion","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"23","Q-P09993",199,"Crassulo tillaeae-Saginetum apetalae",209993,"Polygono-Coronopodion","V35","",NA,3,"2000",-6.632766489,41.88381447,"3 - UTM10x10 + Elevation",640,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"24","Q-P09996",201,"Crassulo tillaeae-Saginetum apetalae",1813,"Polygono-Coronopodion","V35","",NA,4,"2000",-7.056833538,41.84438384,"3 - UTM10x10 + Elevation",750,"Polycarpion tetraphylli","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"25","Q-P09997",202,"Crassulo tillaeae-Saginetum apetalae",1814,"Polygono-Coronopodion","V35","",NA,2,"2000",-6.755024052,41.87267286,"3 - UTM10x10 + Elevation",640,"Polycarpion tetraphylli","Polygono-Poetea annuae",0,"Polygono-Poetea annuae"
"26","Q-P09998",203,"Crassulo tillaeae-Saginetum apetalae",209998,"Polygono-Coronopodion","V35","",NA,1,"2000",-6.730139245,41.90049921,"3 - UTM10x10 + Elevation",670,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"27","Q-P10021",209,"Urtico urentis-Malvetum neglectae",1822,"Polygono-Coronopodion","V37","",NA,8,"2000",-6.928752015,41.95509681,"3 - UTM10x10 + Elevation",800,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"28","Q-P10022",210,"Urtico urentis-Malvetum neglectae",1823,"Potentillion anserinae","R","NE",9,8,"2000",-6.961072646,41.77569525,"3 - UTM10x10 + Elevation",820,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"29","Q-P10023",211,"Urtico urentis-Malvetum neglectae",1824,"Polygono-Coronopodion","V37","",NA,4,"2000",-7.006255233,41.84436117,"3 - UTM10x10 + Elevation",720,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"30","Q-P10024",212,"Urtico urentis-Malvetum neglectae",1825,"Polygono-Coronopodion","V37","",NA,4,"2000",-6.761816739,41.86524646,"3 - UTM10x10 + Elevation",650,"Chenopodion muralis","Chenopodietea",0,"Polygono-Poetea annuae"
"31","Q-P10414",305,"Lolio perennis-Plantaginetum maioris",210414,"Potentillion anserinae","R36","",NA,3,"2000",-6.72501324,41.89526299,"3 - UTM10x10 + Elevation",660,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
"32","Q-P10415",306,"Lolio perennis-Plantaginetum maioris",210415,"Potentillion anserinae","R36","",NA,3,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590,"Potentillion anserinae","Molinio-Arrhenatheretea",1,"Polygono-Poetea annuae"
