"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","Q-P09810",169,"Bidenti tripartitae-Polygonetum lapathifolii",1046,"Paspalo-Agrostion semiverticillati","V","",NA,4,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",580,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"2","Q-P09811",170,"Bidenti tripartitae-Polygonetum lapathifolii",209811,"Paspalo-Agrostion semiverticillati"," R36   ","",NA,12,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"3","Q-P09812",171,"Bidenti tripartitae-Polygonetum lapathifolii",209812,"Paspalo-Agrostion semiverticillati"," Qb    ","",NA,12,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"4","Q-P09813",172,"Bidenti tripartitae-Polygonetum lapathifolii",209813,"Paspalo-Agrostion semiverticillati"," C35a  ","",NA,8,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",530,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"5","Q-P10074",253,"Comunidad de Echinochloa crus-galli y Setaria Verticillata",1084,"Paspalo-Agrostion semiverticillati","V34","",NA,6,"2000",-6.866908731,41.86536384,"4 - UTM10x10 + Centroid",550,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Bidentetea"
"6","Q-P10407",300,"Comunidad de Paspalum paspalodes",210407,"Paspalo-Agrostion semiverticillati","R36","",NA,12,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590,"Paspalo-Agrostion semiverticillati","Bidentetea",1,"Bidentetea"
"7","Q-P10408",301,"Comunidad de Paspalum paspalodes",210408,"Paspalo-Agrostion semiverticillati"," Qb    ","",NA,12,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600,"Paspalo-Agrostion semiverticillati","Bidentetea",1,"Bidentetea"
"8","Q-P10411",303,"Trifolio fragiferi-Cynodontetum dactyli",1097,"Paspalo-Agrostion semiverticillati","V","",NA,4,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",590,"Trifolion maritimi","Molinio-Arrhenatheretea",0,"Bidentetea"
"9","R-P14747",398,"Rorippo-Agrostietum stoloniferae",314747,"Paspalo-Agrostion semiverticillati","R36","",NA,30,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Unknown",NA,0,"Bidentetea"
"10","R-P14816",401,"Arundini-Convolvuletum sepium",1135,"Paspalo-Agrostion semiverticillati","R55","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",383,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Bidentetea"
"11","R-P14890",408,"Xanthio italici-Polygonetum persicariae",1136,"Paspalo-Agrostion semiverticillati","V15","",NA,50,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"12","R-P15005",410,"Polygono hydropiperis-Bidentetum tripartitae",315005,"Paspalo-Agrostion semiverticillati"," V15   ","",NA,50,"2004",-1.668885488,43.18357301,"1 - UTM1x1 + Elevation",120,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"13","S-P14557",981,"BF03",414557,"Bidention tripartitae","R55","",NA,60,"",-1.332249769,43.43488444,"3 - UTM10x10 + Elevation",1.5,"Unknown",NA,0,"Bidentetea"
"14","S-P14561",983,"BF03",414561,"Bidention tripartitae","R55","",NA,100,"",-1.319849073,43.4365037,"3 - UTM10x10 + Elevation",1.5,"Unknown",NA,0,"Bidentetea"
"15","S-P15195",1065,"Cochlearia officinalis-Senecio aquaticus",415195,"Bidention tripartitae","R55","",NA,30,"1967",-4.165908673,43.37783424,"4 - UTM10x10 + Centroid",114,"Unknown",NA,0,"Bidentetea"
"16","T-P05150",1441,"Lamio (hybridi) dissecti-Panicetum crus-galli",1446,"Paspalo-Agrostion semiverticillati","V37","",NA,40,"1995",-3.477088142,43.41183544,"3 - UTM10x10 + Elevation",10,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Bidentetea"
