"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","NEW-OMAR-BA08",4,"Comunidad de Equisetum telmateia",2,"Cynancho-Convolvulion sepium",NA,"SO",5,15,"1981",-5.694921052,43.32559713,"500",225,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"2","NEW-OMAR-BA106",5,"Comunidad de Equisetum telmateia",3,"Cynancho-Convolvulion sepium",NA,"S",10,10,"1981",-5.707241301,43.32530597,"500",190,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"3","NEW-OMAR-BA12",6,"Comunidad de Arctium minus y Artemisia vulgaris",4,"Dauco-Melilotion",NA,"",0,4,"1981",-5.707241301,43.32530597,"500",190,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"4","NEW-OMAR-BA15",8,"Comunidad de Arctium minus y Artemisia vulgaris",6,"Dauco-Melilotion",NA,"S",20,9,"1981",-5.707241301,43.32530597,"500",190,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"5","NEW-OMAR-CA01",15,"",8,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673083717,43.27902792,"10",252,"Unknown",NA,0,"Epilobietea angustifolii"
"6","NEW-OMAR-CA02",16,"",9,"Dauco-Melilotion",NA,"",0,1,"2020",-5.67282991,43.2791419,"10",252,"Unknown",NA,0,"Epilobietea angustifolii"
"7","NEW-OMAR-CA04",18,"",11,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673663223,43.27875325,"10",255,"Unknown",NA,0,"Epilobietea angustifolii"
"8","NEW-OMAR-CA05",19,"",12,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673593878,43.27829566,"10",257,"Unknown",NA,0,"Epilobietea angustifolii"
"9","NEW-OMAR-CA06",20,"",13,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673457181,43.27855097,"10",254,"Unknown",NA,0,"Epilobietea angustifolii"
"10","NEW-OMAR-CA07",21,"",14,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673290343,43.27868093,"10",254,"Unknown",NA,0,"Epilobietea angustifolii"
"11","NEW-OMAR-CA08",22,"",15,"Dauco-Melilotion",NA,"",0,1,"2020",-5.673131087,43.27870267,"10",255,"Unknown",NA,0,"Epilobietea angustifolii"
"12","NEW-OMAR-CA09",23,"",16,"Dauco-Melilotion",NA,"",0,1,"2020",-5.6741795,43.27872316,"10",256,"Unknown",NA,0,"Epilobietea angustifolii"
"13","NEW-OMAR-CA10",24,"",17,"Dauco-Melilotion",NA,"",0,1,"2020",-5.674394578,43.27800681,"10",257,"Unknown",NA,0,"Epilobietea angustifolii"
"14","NEW-OMAR-NI02",40,"",31,"Dauco-Melilotion",NA,"",0,1,"2020",-5.702508627,43.31314554,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"15","NEW-OMAR-NI03",41,"",32,"Dauco-Melilotion",NA,"",0,1,"2020",-5.702204227,43.31295465,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"16","NEW-OMAR-NI04",42,"",33,"Dauco-Melilotion",NA,"",0,1,"2020",-5.701880334,43.31260214,"10",204,"Unknown",NA,0,"Epilobietea angustifolii"
"17","NEW-OMAR-NI05",43,"",34,"Dauco-Melilotion",NA,"",0,1,"2020",-5.701143268,43.31266459,"10",203,"Unknown",NA,0,"Epilobietea angustifolii"
"18","NEW-OMAR-NI07",45,"",36,"Dauco-Melilotion",NA,"",0,1,"2020",-5.700902534,43.31307545,"10",202,"Unknown",NA,0,"Epilobietea angustifolii"
"19","NEW-OMAR-PA102",47,"Comunidad de Arctium minus y Artemisia vulgaris",38,"Dauco-Melilotion",NA,"SE",0,20,"1981",-5.654043577,43.23651311,"500",325,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"20","NEW-OMAR-PA104",48,"Comunidad de Arctium minus y Artemisia vulgaris",39,"Dauco-Melilotion",NA,"SE",15,80,"1981",-5.654043577,43.23651311,"500",250,"Arction lappae","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"21","NEW-OMAR-PA97",52,"Picridi echioides-Melilotetum albi",40,"Dauco-Melilotion",NA,"S",0,40,"1981",-5.654043577,43.23651311,"500",360,"Dauco-Melilotion","Artemisietea vulgaris",1,"Epilobietea angustifolii"
"22","Q-P09505",160,"Echio rosulati-Picridetum echioisia",78,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.843430513,41.81580832,"3 - UTM10x10 + Elevation",30,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Epilobietea angustifolii"
"23","Q-P09507",162,"Echio rosulati-Picridetum echioisia",80,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.19947904,41.65059694,"3 - UTM10x10 + Elevation",170,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Epilobietea angustifolii"
"24","Q-P09953",186,"Carlino corymbosae-Carthametum lanati",89,"Dauco-Melilotion","V38","SE",36,6,"2000",-7.018834242,41.85292547,"3 - UTM10x10 + Elevation",760,"Onopordion castellani","Artemisietea vulgaris",0,"Epilobietea angustifolii"
"25","R-P07261",374,"",307261,"Senecionion fluviatilis","V33","",20,100,"",-1.646585131,42.96719617,"1 - UTM1x1 + Elevation",700,"Unknown",NA,0,"Epilobietea angustifolii"
"26","R-P07585",381,"Polygono-Chenopodion polyspermi",157,"Dauco-Melilotion","V","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",0,"Epilobietea angustifolii"
"27","R-P12727",387,"Urtico dioicae-Sambucetum ebuli",161,"Dauco-Melilotion","V38","",NA,50,"1997",-3.095655307,42.7680364,"3 - UTM10x10 + Elevation",550,"Balloto-Conion maculati","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"28","R-P12748",389,"Helmintio echioidis-Melilotetum albae",163,"Dauco-Melilotion","R","",NA,80,"1997",-3.144630223,42.79502702,"4 - UTM10x10 + Centroid",520,"Dauco-Melilotion","Artemisietea vulgaris",1,"Epilobietea angustifolii"
"29","R-P12749",390,"Helmintio echioidis-Melilotetum albae",164,"Dauco-Melilotion","V33","",NA,70,"1997",-3.144630223,42.79502702,"4 - UTM10x10 + Centroid",520,"Dauco-Melilotion","Artemisietea vulgaris",1,"Epilobietea angustifolii"
"30","R-P12754",391,"Helmintio echioidis-Melilotetum albae",165,"Dauco-Melilotion","R1E","",NA,12,"1997",-3.122531221,42.76080643,"3 - UTM10x10 + Elevation",530,"Dauco-Melilotion","Artemisietea vulgaris",1,"Epilobietea angustifolii"
"31","R-P12755",392,"Helmintio echioidis-Melilotetum albae",166,"Dauco-Melilotion","V38","",NA,20,"1997",-3.144630223,42.79502702,"4 - UTM10x10 + Centroid",510,"Dauco-Melilotion","Artemisietea vulgaris",1,"Epilobietea angustifolii"
"32","R-P14814",400,"Arundini-Convolvuletum sepium",169,"Cynancho-Convolvulion sepium","S32","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",370,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"33","R-P14818",402,"Arundini-Convolvuletum sepium",170,"Cynancho-Convolvulion sepium","R55","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"34","R-P14820",403,"Arundini-Convolvuletum sepium",171,"Cynancho-Convolvulion sepium","R55","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"35","R-P14821",404,"Arundini-Convolvuletum sepium",172,"Cynancho-Convolvulion sepium","R55","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"36","R-P14822",405,"Arundini-Convolvuletum sepium",173,"Cynancho-Convolvulion sepium","R","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"37","R-P14823",406,"Arundini-Convolvuletum sepium",174,"Cynancho-Convolvulion sepium","R55","",NA,NA,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Epilobietea angustifolii",0,"Epilobietea angustifolii"
"38","R-P14830",407,"",314830,"Cynancho-Convolvulion sepium","R55","",NA,40,"",-1.229690806,42.86945262,"4 - UTM10x10 + Centroid",620,"Unknown",NA,0,"Epilobietea angustifolii"
"39","R-P14896",409,"Xanthio italici-Polygonetum persicariae",1137,"Cynancho-Convolvulion sepium","V","",NA,10,"2004",-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Bidention tripartitae","Bidentetea",0,"Epilobietea angustifolii"
"40","R-P15144",447,"Urtico dioicae-Sambucetum ebuli",185,"Cynancho-Convolvulion sepium","R","",NA,15,"1983",-2.420077433,43.12321172,"1 - UTM1x1 + Elevation",140,"Balloto-Conion maculati","Epilobietea angustifolii",1,"Epilobietea angustifolii"
"41","R-P15228",482,"Com. de Juncus conglomeratus-Juncus effusus",315228,"Cynancho-Convolvulion sepium","R36","",NA,10,"1983",-2.122773917,43.28160238,"1 - UTM1x1 + Elevation",10,"Unknown",NA,0,"Epilobietea angustifolii"
"42","R-P15354",491,"Oenanthetum crocatae",315354,"Cynancho-Convolvulion sepium","R55","",NA,10,"1983",-2.085857104,43.27771146,"1 - UTM1x1 + Elevation",0,"Unknown",NA,0,"Epilobietea angustifolii"
"43","R-P22028",508,"Omphalodo nitidae-Linarietum triornithophorae",322028,"Senecionion fluviatilis","V33","S",5,3,"1999",-8.143828124,41.88538348,"3 - UTM10x10 + Elevation",350,"Linarion triornithophorae","Trifolio-Geranietea sanguinei",0,"Epilobietea angustifolii"
"44","R-P22248",523,"Picridio hieracioidis-Eupatorietum cannabini",322248,"Cynancho-Convolvulion sepium","R55","NE",NA,30,"1999",-8.068130508,41.90316286,"1 - UTM1x1 + Elevation",350,"Cynancho-Convolvulion sepium","Epilobietea angustifolii",1,"Epilobietea angustifolii"
"45","R-P23913",593,"Potentillo-Menthetum rotundifoliae",323913,"Cynancho-Convolvulion sepium","R36","",NA,10,"1986",-6.925970118,42.41801219,"3 - UTM10x10 + Elevation",350,"Mentho longifoliae-Juncion inflexi","Molinio-Arrhenatheretea",0,"Epilobietea angustifolii"
"46","R-P23914",594,"Potentillo-Menthetum rotundifoliae",323914,"Cynancho-Convolvulion sepium","R36","",NA,4,"1986",-6.928170661,42.41433505,"3 - UTM10x10 + Elevation",350,"Mentho longifoliae-Juncion inflexi","Molinio-Arrhenatheretea",0,"Epilobietea angustifolii"
"47","R-P24335",676,"Bidenti tripartitae-Polygonetum lapathifolii",324335,"Cynancho-Convolvulion sepium"," C35a  ","SW",2,20,"2012",-6.784966481,42.41735911,"1 - UTM1x1 + Elevation",401,"Bidention tripartitae","Bidentetea",0,"Epilobietea angustifolii"
"48","R-P24581",690,"Asphodelo arrondeaui-Epilobietum angustifolii",324581,"Epilobion angustifolii","R57","NW",10,8,"2012",-6.754985079,42.28148099,"1 - UTM1x1 + Elevation",1800,"Epilobion angustifolii","Epilobietea angustifolii",1,"Epilobietea angustifolii"
"49","R-P24633",723,"Setario verticillatae-Echinochloetum crus-galli",267,"Cynancho-Convolvulion sepium","V37","",NA,80,"2012",-6.828515861,42.41411,"1 - UTM1x1 + Elevation",353,"Oxalidion europaeae","Papaveretea rhoeadis",0,"Epilobietea angustifolii"
"50","R-P24678",768,"Comunidad de Epilobium parviflorum y Eupatorium cannabinum",324678,"Cynancho-Convolvulion sepium","R55","NW",2,20,"2012",-6.781892042,42.40665565,"1 - UTM1x1 + Elevation",569,"Unknown",NA,0,"Epilobietea angustifolii"
"51","R-P24680",769,"Comunidad de Epilobium parviflorum y Eupatorium cannabinum",324680,"Cynancho-Convolvulion sepium","R55","",NA,50,"2012",-6.736666621,42.42254765,"1 - UTM1x1 + Elevation",432,"Unknown",NA,0,"Epilobietea angustifolii"
"52","R-P24681",770,"Comunidad de Epilobium parviflorum y Eupatorium cannabinum",324681,"Cynancho-Convolvulion sepium","R55","E",20,8,"2012",-6.633107102,42.39706716,"1 - UTM1x1 + Elevation",679,"Unknown",NA,0,"Epilobietea angustifolii"
"53","R-P24682",771,"Comunidad de Epilobium parviflorum y Eupatorium cannabinum",324682,"Cynancho-Convolvulion sepium","R55","",NA,10,"2012",-6.515714461,42.29627947,"1 - UTM1x1 + Elevation",843,"Unknown",NA,0,"Epilobietea angustifolii"
"54","R-P25008",785,"Mentho suaveolentis-Juncetum inflexi",325008,"Cynancho-Convolvulion sepium","R36","",NA,10,"2012",-6.50622748,42.30017212,"1 - UTM1x1 + Elevation",814,"Mentho longifoliae-Juncion inflexi","Molinio-Arrhenatheretea",0,"Epilobietea angustifolii"
"55","R-P27093",804,"Coleostepho myconis-Galactitetum tomentosae",319,"Dauco-Melilotion","V32","",NA,12,"1985",-8.02739789,43.62448443,"3 - UTM10x10 + Elevation",170,"Echio-Galactition tomentosae","Chenopodietea",0,"Epilobietea angustifolii"
