"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","Q-P08754",129,"",56,"Cirsion richterano-chodati","V38","N",5,20,NA,-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250,"Unknown",NA,0,"Artemisietea vulgaris"
"2","Q-P08755",130,"",57,"Cirsion richterano-chodati","V38","",NA,70,NA,-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240,"Unknown",NA,0,"Artemisietea vulgaris"
"3","Q-P08756",131,"",58,"Cirsion richterano-chodati","V38","N",5,350,NA,-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330,"Unknown",NA,0,"Artemisietea vulgaris"
"4","Q-P08758",132,"Carduo carpetani-Onopordetum acanthii",59,"Cirsion richterano-chodati","V38","",NA,100,"1990",-4.66851798,42.80634914,"3 - UTM10x10 + Elevation",1130,"Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris",0,"Artemisietea vulgaris"
"5","Q-P08760",133,"Comunidad de Cirsium richterianum",60,"Cirsion richterano-chodati","V38","",NA,50,"1990",-4.498878138,42.87173158,"3 - UTM10x10 + Elevation",1000,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"6","Q-P08761",134,"Comunidad de Cirsium richterianum",61,"Cirsion richterano-chodati","V38","",NA,40,"1990",-4.550416473,42.87644814,"3 - UTM10x10 + Elevation",1050,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"7","Q-P08762",135,"Comunidad de Cirsium richterianum",62,"Cirsion richterano-chodati","V38","",NA,20,"1990",-4.543611372,42.89815216,"3 - UTM10x10 + Elevation",1070,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"8","Q-P08763",136,"Comunidad de Cirsium richterianum",63,"Cirsion richterano-chodati","V38","",NA,10,"1990",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"9","Q-P08764",137,"Comunidad de Cirsium richterianum",64,"Cirsion richterano-chodati","V38","",NA,100,"1990",-4.527275081,42.83173387,"3 - UTM10x10 + Elevation",1100,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"10","Q-P08765",138,"Comunidad de Cirsium richterianum",65,"Cirsion richterano-chodati","V38","",NA,100,"1990",-4.69316451,42.81319133,"3 - UTM10x10 + Elevation",1080,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"11","Q-P08766",139,"Comunidad de Cirsium richterianum",66,"Cirsion richterano-chodati","V38","",NA,50,"1990",-4.648957603,42.80663255,"3 - UTM10x10 + Elevation",1120,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"12","Q-P08767",140,"Comunidad de Cirsium richterianum",67,"Cirsion richterano-chodati","V38","",NA,40,"1990",-4.668372809,42.80094819,"3 - UTM10x10 + Elevation",1120,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"13","Q-P08768",141,"Comunidad de Cirsium richterianum",68,"Cirsion richterano-chodati","V38","",NA,60,"1990",-4.491578057,42.87362795,"3 - UTM10x10 + Elevation",1020,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"14","Q-P09947",180,"Comunidad de Carduus carpetanus",1047,"Cirsion richterano-chodati","V38","",NA,8,"2000",-6.7732351,41.89548738,"3 - UTM10x10 + Elevation",990,"Cirsion richterano-chodati","Artemisietea vulgaris",0,"Artemisietea vulgaris"
"15","R-P12765",393,"Carduo bourgeani-Sylibetum mariani",167,"Cirsion richterano-chodati","V38","",NA,10,"1997",-3.139734232,42.80221172,"3 - UTM10x10 + Elevation",1000,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Artemisietea vulgaris"
"16","R-P24575",688,"Carduo carpetani-Onopordetum acanthii",265,"Cirsion richterano-chodati","V37","",NA,15,"2012",-6.553448027,42.27710588,"1 - UTM1x1 + Elevation",869,"Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris",0,"Artemisietea vulgaris"
"17","R-P28997",830,"Carduo nutantis-Cirsietum richterani",334,"Cirsion richterano-chodati","V38","",NA,10,"2014",-3.698486559,43.11534549,"1 - UTM1x1 + Elevation",1130,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"18","R-P28998",831,"Carduo nutantis-Cirsietum richterani",335,"Cirsion richterano-chodati","V38","",NA,20,"2014",-3.645031218,43.17509115,"2 - UTM1x1 + Centroid",1200,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"19","R-P28999",832,"Carduo nutantis-Cirsietum richterani",336,"Cirsion richterano-chodati","V38","",NA,20,"2014",-3.506374025,43.07133235,"1 - UTM1x1 + Elevation",765,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"20","R-P29000",833,"Carduo nutantis-Cirsietum richterani",337,"Cirsion richterano-chodati","V38","",NA,15,"2014",-3.553176554,43.08552358,"1 - UTM1x1 + Elevation",780,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"21","S-P11133",862,"Senecioni duriaei-Chenopodietum boni-henrici",349,"Cirsion richterano-chodati","V38","SE",5,12,"1989",-4.341871144,42.97093409,"2 - UTM1x1 + Centroid",1710,"Arction lappae","Epilobietea angustifolii",0,"Artemisietea vulgaris"
"22","S-P11149",876,"Cirsio chodati-Carduetum carpetani",361,"Cirsion richterano-chodati","V38","",NA,50,"1989",-4.478014555,43.02328609,"2 - UTM1x1 + Centroid",1170,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"23","S-P11150",877,"Cirsio chodati-Carduetum carpetani",362,"Cirsion richterano-chodati","V38","N",10,20,"1989",-4.391517645,42.99735599,"2 - UTM1x1 + Centroid",1300,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"24","S-P11151",878,"Cirsio chodati-Carduetum carpetani",363,"Cirsion richterano-chodati","V38","S",2,40,"1989",-4.406193952,42.9953756,"1 - UTM1x1 + Elevation",1420,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"25","S-P11152",879,"Cirsio chodati-Carduetum carpetani",364,"Cirsion richterano-chodati","V38","SW",5,20,"1989",-4.491648089,42.97808482,"1 - UTM1x1 + Elevation",1110,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"26","S-P11153",880,"Cirsio chodati-Carduetum carpetani",365,"Cirsion richterano-chodati","V38","",NA,40,"1989",-4.48941339,42.98711883,"2 - UTM1x1 + Centroid",1120,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"27","S-P11154",881,"Cirsio chodati-Carduetum carpetani",366,"Cirsion richterano-chodati","V38","",NA,90,"1989",-4.38515655,42.93259749,"1 - UTM1x1 + Elevation",1400,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
"28","S-P11155",882,"Cirsio chodati-Carduetum carpetani",367,"Cirsion richterano-chodati","V38","",NA,100,"1989",-4.451060757,42.92097492,"1 - UTM1x1 + Elevation",1140,"Cirsion richterano-chodati","Artemisietea vulgaris",1,"Artemisietea vulgaris"
