"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","NEW-OMAR-CC86",25,"Comunidad de Cymbalaria muralis",2148,"Galio valantiae-Parietarion judaicae",NA,"NO",90,10,"1981",-5.682600619,43.32588696,"500",275,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"2","NEW-OMAR-TU92",55,"Comunidad de Cymbalaria muralis",2150,"Cymbalario-Asplenion",NA,"S",90,5,"1981",-5.666346277,43.23622682,"500",325,"Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"3","Q-P02778",61,"Oxalido-Parietarietum",2151,"Cymbalario-Asplenion","?","",NA,40,"1969",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"4","Q-P02779",62,"Oxalido-Parietarietum",2152,"Cymbalario-Asplenion","?","",NA,20,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",0,"Cymbalario-Parietarietea diffusae"
"5","Q-P02780",63,"Oxalido-Parietarietum",2153,"Galio valantiae-Parietarion judaicae","H32d","",NA,20,"1969",-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"6","Q-P02781",64,"Oxalido-Parietarietum",2154,"Galio valantiae-Parietarion judaicae","?","",NA,50,"1969",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"7","Q-P02782",65,"Oxalido-Parietarietum",2155,"Galio valantiae-Parietarion judaicae","V","",NA,10,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"8","Q-P02783",66,"Oxalido-Parietarietum",2156,"Galio valantiae-Parietarion judaicae","V15","",NA,10,"1969",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"9","Q-P02785",67,"Centrantho-Hypericetum hircini",2157,"Galio valantiae-Parietarion judaicae","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"10","Q-P02786",68,"Centrantho-Hypericetum hircini",2158,"Galio valantiae-Parietarion judaicae","?","",NA,10,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"11","Q-P02787",69,"Centrantho-Hypericetum hircini",2159,"Galio valantiae-Parietarion judaicae","Sa","",NA,10,"1969",-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"12","Q-P02788",70,"Centrantho-Hypericetum hircini",2160,"Galio valantiae-Parietarion judaicae","?","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"13","Q-P02789",71,"Centrantho-Hypericetum hircini",2161,"Galio valantiae-Parietarion judaicae","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"14","Q-P02790",72,"Centrantho-Hypericetum hircini",2162,"Galio valantiae-Parietarion judaicae","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
"15","Q-P02791",73,"Centrantho-Hypericetum hircini",2163,"Galio valantiae-Parietarion judaicae","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae",1,"Cymbalario-Parietarietea diffusae"
