"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","Q-P12631",310,"Scrophulario-Vulpietum alopecuroris",212631,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,100,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"2","Q-P12632",311,"Scrophulario-Vulpietum alopecuroris",212632,"Linario polygalifoliae-Vulpion alopecuri"," V     ","",NA,100,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"3","Q-P12633",312,"Scrophulario-Vulpietum alopecuroris",212633,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,100,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"4","Q-P12634",313,"Scrophulario-Vulpietum alopecuroris",212634,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,100,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"5","Q-P12635",314,"Scrophulario-Vulpietum alopecuroris",212635,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,25,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"6","Q-P12637",315,"Scrophulario-Vulpietum alopecuroris",212637,"Linario polygalifoliae-Vulpion alopecuri"," N15!  ","",NA,100,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"7","Q-P12638",316,"Scrophulario-Vulpietum alopecuroris",212638,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,100,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"8","Q-P12639",317,"Scrophulario-Vulpietum alopecuroris",212639,"Linario polygalifoliae-Vulpion alopecuri"," R1R   ","",NA,50,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"9","Q-P12640",318,"Scrophulario-Vulpietum alopecuroris",212640,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,16,"1972",-8.647639375,41.09308647,"4 - UTM10x10 + Centroid",23,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"10","Q-P12641",319,"Scrophulario-Vulpietum alopecuroris",212641,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,100,"1972",-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"11","Q-P12642",320,"Scrophulario-Vulpietum alopecuroris",212642,"Linario polygalifoliae-Vulpion alopecuri"," R1R   ","",NA,25,"1972",-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"12","Q-P12644",321,"Scrophulario-Vulpietum alopecuroris",212644,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,50,"1972",-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"13","Q-P12645",322,"Scrophulario-Vulpietum alopecuroris",212645,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,50,"1972",-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"14","Q-P12646",323,"Scrophulario-Vulpietum alopecuroris",212646,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,50,"1972",-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"15","Q-P12655",324,"Scrophulario-Vulpietum alopecuroris",212655,"Linario polygalifoliae-Vulpion alopecuri"," Sa    ","",NA,100,"1972",-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"16","Q-P12656",325,"Scrophulario-Vulpietum alopecuroris",212656,"Linario polygalifoliae-Vulpion alopecuri"," Sa    ","",NA,50,"1972",-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"17","R-P20908",494,"Scrophulario-Vulpietum alopecuroris",320908,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,60,"1989",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"18","R-P20909",495,"Scrophulario-Vulpietum alopecuroris",320909,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,150,"1989",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"19","R-P20911",496,"Scrophulario-Vulpietum alopecuroris",320911,"Linario polygalifoliae-Vulpion alopecuri"," N15!  ","",NA,100,"1989",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"20","S-P21313",1262,"Scrophulario-Vulpietum alopecuroris",421313,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,100,"1990",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"21","S-P21314",1263,"Scrophulario-Vulpietum alopecuroris",421314,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,50,"1990",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"22","S-P21315",1264,"Scrophulario-Vulpietum alopecuroris",421315,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,60,"1990",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"23","S-P21316",1265,"Scrophulario-Vulpietum alopecuroris",421316,"Linario polygalifoliae-Vulpion alopecuri"," R     ","",NA,150,"1990",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"24","S-P21317",1266,"Scrophulario-Vulpietum alopecuroris",421317,"Linario polygalifoliae-Vulpion alopecuri"," N15!  ","",NA,100,"1990",-7,43,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Chenopodietea",1,"Chenopodietea"
"25","T-P13101",1885,"Plantago coronopi-Trifolietum fragiferae",2072,"Linario polygalifoliae-Vulpion alopecuri","V34","",NA,1,"1997",-2.157156114,43.29086548,"1 - UTM1x1 + Elevation",0,"Potentillion anserinae","Molinio-Arrhenatheretea",0,"Chenopodietea"
