"SIVIMID","Relevé.number","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Sintaxon","Alliance.original","Alliance.revised","Class.Mucina","Class.Twinspan","Semisupervised"
"NEW-OMAR-CA06",13,NA,"",0,1,2020,-5.673457181,43.27855097,"10",254,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"NEW-OMAR-CA07",14,NA,"",0,1,2020,-5.673290343,43.27868093,"10",254,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"R-P24027",245,"V32","",NA,4,NA,-6.798943615,42.32685361,"3 - UTM10x10 + Elevation",1000,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"NEW-OMAR-CA01",8,NA,"",0,1,2020,-5.673083717,43.27902792,"10",252,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"R-P24030",248,"V32","",NA,20,NA,-6.857728847,42.37531167,"3 - UTM10x10 + Elevation",680,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"NEW-OMAR-CA04",11,NA,"",0,1,2020,-5.673663223,43.27875325,"10",255,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"Q-P10049",1064,"V15","",NA,25,NA,-7.0318689,41.86867586,"3 - UTM10x10 + Elevation",760,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P25258",425258,"R36","",NA,32,NA,-2.189702798,42.88047754,"1 - UTM1x1 + Elevation",550,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"NEW-OMAR-CA08",15,NA,"",0,1,2020,-5.673131087,43.27870267,"10",255,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"NEW-OMAR-CA09",16,NA,"",0,1,2020,-5.6741795,43.27872316,"10",256,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"NEW-OMAR-CA03",10,NA,"",0,1,2020,-5.672872063,43.27897884,"10",254,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO01",20,NA,"",0,1,2020,-5.680778937,43.29204762,"10",224,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO02",21,NA,"",0,1,2020,-5.680075536,43.29174898,"10",223,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO03",22,NA,"",0,1,2020,-5.679180719,43.29130174,"10",223,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO04",23,NA,"",0,1,2020,-5.678167126,43.29095633,"10",224,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO05",24,NA,"",0,1,2020,-5.676976812,43.29051601,"10",225,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO06",25,NA,"",0,1,2020,-5.677426808,43.29065854,"10",226,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO07",26,NA,"",0,1,2020,-5.678678368,43.29080929,"10",227,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO09",28,NA,"",0,1,2020,-5.680003752,43.29123743,"10",230,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-MO10",29,NA,"",0,1,2020,-5.679940332,43.29063565,"10",233,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"NEW-OMAR-NI06",35,NA,"",0,1,2020,-5.701055091,43.31290077,"10",203,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"Q-P10037",1054,"V15","S",5,6,NA,-6.589350209,41.84015678,"3 - UTM10x10 + Elevation",920,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15170",1944,"V35","",NA,10,NA,-1.49991946,43.14906535,"1 - UTM1x1 + Elevation",230,"","Unknown","Potentillion anserinae","Molinio-Arrhenatheretea","Polygono-Poetea annuae",0
"Q-P10042",1058,"V15","",NA,20,NA,-7.128977716,41.91744476,"3 - UTM10x10 + Elevation",780,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15113",1322,"V","",5,100,NA,-1.506623868,42.97446032,"1 - UTM1x1 + Elevation",640,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"R-P24028",246,"V32","",NA,5,NA,-6.797320285,42.29989455,"3 - UTM10x10 + Elevation",1000,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"Q-P10046",1061,"V15","",NA,20,NA,-6.602866544,41.82352414,"3 - UTM10x10 + Elevation",880,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"R-P14830",314830,"R55","",NA,40,NA,-1.229690806,42.86945262,"4 - UTM10x10 + Centroid",620,"","Unknown","Cynancho-Convolvulion sepium","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P24034",252,"V32","",NA,1,NA,-6.805775828,42.3194233,"3 - UTM10x10 + Elevation",1000,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"S-P15171",1945,"V35","",NA,20,NA,-1.969251875,43.02998989,"1 - UTM1x1 + Elevation",480,"","Unknown","Potentillion anserinae","Molinio-Arrhenatheretea","Polygono-Poetea annuae",0
"S-P15094",1303,"V15","",NA,100,NA,-2.209646581,43.04450955,"1 - UTM1x1 + Elevation",160,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"NEW-OMAR-NI01",30,NA,"",0,1,2020,-5.702776474,43.3133463,"10",203,"","Unknown","Balloto-Conion maculati","Epilobietea angustifolii","Epilobietea angustifolii",0
"S-P15097",1306,"V15","",5,100,NA,-1.86345489,43.308134,"1 - UTM1x1 + Elevation",100,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15099",1308,"V15","",5,100,NA,-2.073334889,43.12813277,"1 - UTM1x1 + Elevation",120,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15100",1309,"V15","",NA,200,NA,-2.209577214,43.04991205,"1 - UTM1x1 + Elevation",180,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15101",1310,"V15","",NA,100,NA,-2.266941998,43.1817648,"1 - UTM1x1 + Elevation",100,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15169",1943,"V35","",0,50,NA,-2.189980752,43.04617303,"1 - UTM1x1 + Elevation",160,"","Unknown","Potentillion anserinae","Molinio-Arrhenatheretea","Polygono-Poetea annuae",0
"R-P24026",244,"V32","",NA,3,NA,-6.855305085,42.37539332,"1 - UTM1x1 + Elevation",660,"","Unknown","Arction lappae","Epilobietea angustifolii","Epilobietea angustifolii",0
"R-P24033",251,"V32","",NA,2,NA,-6.803679291,42.32489553,"3 - UTM10x10 + Elevation",1000,"","Unknown","Arction lappae","Epilobietea angustifolii","Epilobietea angustifolii",0
"S-P15107",1316,"V15","",NA,100,NA,-1.795782014,43.36326901,"1 - UTM1x1 + Elevation",4,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P10045",1060,"V15","S",4.5,25,NA,-6.813546977,41.92476961,"3 - UTM10x10 + Elevation",1030,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"R-P24025",243,"V32","S",30,4,NA,-6.826785866,42.34573582,"3 - UTM10x10 + Elevation",580,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"S-P15130",1328,"V13","",10,100,NA,-2.329761407,43.06328598,"1 - UTM1x1 + Elevation",380,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P10048",1063,"V15","",NA,16,NA,-6.628056888,41.88576452,"3 - UTM10x10 + Elevation",680,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"R-P07261",307261,"V33","",20,100,NA,-1.646585131,42.96719617,"1 - UTM1x1 + Elevation",700,"","Unknown","Senecionion fluviatilis","Epilobietea angustifolii","Epilobietea angustifolii",0
"S-P15108",1317,"V15","",NA,200,NA,-1.927720021,43.29975007,"1 - UTM1x1 + Elevation",120,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"Q-P08755",57,"V38","",NA,70,NA,-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240,"","Unknown","Cirsion richterano-chodati","Artemisietea vulgaris","Artemisietea vulgaris",0
"Q-P08756",58,"V38","N",5,350,NA,-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330,"","Unknown","Cirsion richterano-chodati","Artemisietea vulgaris","Artemisietea vulgaris",0
"Q-P10052",1067,"V15","W",4.5,25,NA,-6.951235016,41.88949185,"3 - UTM10x10 + Elevation",790,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"NEW-OMAR-NI10",37,NA,"",0,1,2020,-5.70073096,43.31365576,"10",201,"","Unknown","Alliarienion petiolatae","Epilobietea angustifolii","Epilobietea angustifolii",0
"Q-P10050",1065,"V15","",NA,25,NA,-6.956713676,41.78304936,"3 - UTM10x10 + Elevation",880,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15104",1313,"V15","",NA,100,NA,-1.94469701,43.3161161,"2 - UTM1x1 + Centroid",80,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"NEW-OMAR-NI03",32,NA,"",0,1,2020,-5.702204227,43.31295465,"10",203,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"NEW-OMAR-NI07",36,NA,"",0,1,2020,-5.700902534,43.31307545,"10",202,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"S-P15095",1304,"V15","",NA,200,NA,-2.415297567,43.10877959,"1 - UTM1x1 + Elevation",170,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"S-P15098",1307,"V15","",2,100,NA,-1.969251875,43.02998989,"1 - UTM1x1 + Elevation",480,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"NEW-OMAR-MO08",27,NA,"",0,1,2020,-5.67961729,43.29113844,"10",226,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Polygono-Poetea annuae",0
"Q-P10036",1053,"V15","SW",4.5,12,NA,-6.594360057,41.84360189,"3 - UTM10x10 + Elevation",940,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15102",1311,"V15","",NA,100,NA,-2.254177506,43.21950215,"1 - UTM1x1 + Elevation",80,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15109",1318,"V15","",2,100,NA,-2.021202131,43.31319463,"1 - UTM1x1 + Elevation",180,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"Q-P10043",1059,"V15","",NA,4,NA,-7.159197525,41.90014462,"3 - UTM10x10 + Elevation",820,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15106",1315,"V15","",NA,100,NA,-1.865987453,43.30455734,"1 - UTM1x1 + Elevation",80,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"NEW-OMAR-NI02",31,NA,"",0,1,2020,-5.702508627,43.31314554,"10",203,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"Q-P10051",1066,"V15","",NA,20,NA,-6.962255002,41.75584432,"3 - UTM10x10 + Elevation",850,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"R-P24031",249,"V32","NW",20,10,NA,-7.048942545,42.36510634,"3 - UTM10x10 + Elevation",960,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"R-P24032",250,"V32","SE",60,2,NA,-7.023439688,42.38401365,"3 - UTM10x10 + Elevation",960,"","Unknown","Sisymbrion officinalis","Sisymbrietea","Polygono-Poetea annuae",0
"S-P15114",1323,"V15","",5,100,NA,-2.2599852,42.9421886,"1 - UTM1x1 + Elevation",650,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"S-P15092",1301,"V15","",NA,100,NA,-1.66010672,43.13484527,"1 - UTM1x1 + Elevation",190,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"S-P15091",1300,"V15","",NA,100,NA,-1.829005804,43.30418468,"1 - UTM1x1 + Elevation",250,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"Q-P08754",56,"V38","N",5,20,NA,-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250,"","Unknown","Cirsion richterano-chodati","Artemisietea vulgaris","Artemisietea vulgaris",0
"S-P15111",1320,"V15","",3,100,NA,-1.831264219,43.31501316,"1 - UTM1x1 + Elevation",140,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"Q-P10053",1068,"V15","",NA,15,NA,-7.067007472,41.89084622,"3 - UTM10x10 + Elevation",860,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"NEW-OMAR-CA10",17,NA,"",0,1,2020,-5.674394578,43.27800681,"10",257,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"S-P15090",1299,"V15","",10,100,NA,-1.792742755,43.39205097,"1 - UTM1x1 + Elevation",50,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
"NEW-OMAR-CA05",12,NA,"",0,1,2020,-5.673593878,43.27829566,"10",257,"","Unknown","Dauco-Melilotion","Artemisietea vulgaris","Epilobietea angustifolii",0
"S-P15115",1324,"V15","",NA,100,NA,-1.808015186,43.36879982,"2 - UTM1x1 + Centroid",5,"","Unknown","Oxalidion europaeae","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P10047",1062,"V15","SW",4.5,16,NA,-6.596850701,41.80210099,"3 - UTM10x10 + Elevation",750,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"Q-P10040",1056,"V15","W",4.5,25,NA,-6.844864028,41.8841034,"3 - UTM10x10 + Elevation",900,"","Unknown","Scleranthion annui","Papaveretea rhoeadis","Papaveretea rhoeadis",0
"S-P15093",1302,"V15","",NA,100,NA,-1.806182692,43.3363648,"1 - UTM1x1 + Elevation",30,"","Unknown","Spergulo arvensis-Erodion cicutariae","Digitario sanguinalis-Eragrostietea minoris","Papaveretea rhoeadis",0
