"SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"NEW-OMAR-CA08","","Unknown",NA,NA,1,"2020","-5.673131087","43.27870267","10","255","",0
"NEW-OMAR-CA09","","Unknown",NA,NA,1,"2020","-5.6741795","43.27872316","10","256","",0
"NEW-OMAR-CA10","","Unknown",NA,NA,1,"2020","-5.674394578","43.27800681","10","257","",0
"NEW-OMAR-MO01","","Unknown",NA,NA,1,"2020","-5.680778937","43.29204762","10","224","",0
"NEW-OMAR-MO02","","Unknown",NA,NA,1,"2020","-5.680075536","43.29174898","10","223","",0
"NEW-OMAR-MO03","","Unknown",NA,NA,1,"2020","-5.679180719","43.29130174","10","223","",0
"NEW-OMAR-MO04","","Unknown",NA,NA,1,"2020","-5.678167126","43.29095633","10","224","",0
"NEW-OMAR-MO05","","Unknown",NA,NA,1,"2020","-5.676976812","43.29051601","10","225","",0
"NEW-OMAR-MO06","","Unknown",NA,NA,1,"2020","-5.677426808","43.29065854","10","226","",0
"NEW-OMAR-MO07","","Unknown",NA,NA,1,"2020","-5.678678368","43.29080929","10","227","",0
"NEW-OMAR-MO08","","Unknown",NA,NA,1,"2020","-5.67961729","43.29113844","10","226","",0
"NEW-OMAR-MO09","","Unknown",NA,NA,1,"2020","-5.680003752","43.29123743","10","230","",0
"NEW-OMAR-NI02","","Unknown",NA,NA,1,"2020","-5.702508627","43.31314554","10","203","",0
"NEW-OMAR-NI03","","Unknown",NA,NA,1,"2020","-5.702204227","43.31295465","10","203","",0
"NEW-OMAR-NI04","","Unknown",NA,NA,1,"2020","-5.701880334","43.31260214","10","204","",0
"NEW-OMAR-NI05","","Unknown",NA,NA,1,"2020","-5.701143268","43.31266459","10","203","",0
"NEW-OMAR-NI06","","Unknown",NA,NA,1,"2020","-5.701055091","43.31290077","10","203","",0
"NEW-OMAR-NI07","","Unknown",NA,NA,1,"2020","-5.700902534","43.31307545","10","202","",0
"NEW-OMAR-NI10","","Unknown",NA,NA,1,"2020","-5.70073096","43.31365576","10","201","",0
"NEW-OMAR-CA04","","Unknown",NA,NA,1,"2020","-5.673663223","43.27875325","10","255","",0
"NEW-OMAR-CA07","","Unknown",NA,NA,1,"2020","-5.673290343","43.27868093","10","254","",0
"NEW-OMAR-NI01","","Unknown",NA,NA,1,"2020","-5.702776474","43.3133463","10","203","",0
"NEW-OMAR-CA05","","Unknown",NA,NA,1,"2020","-5.673593878","43.27829566","10","257","",0
"NEW-OMAR-CA03","","Unknown",NA,NA,1,"2020","-5.672872063","43.27897884","10","254","",0
"NEW-OMAR-CA06","","Unknown",NA,NA,1,"2020","-5.673457181","43.27855097","10","254","",0
"NEW-OMAR-CA02","","Unknown",NA,NA,1,"2020","-5.67282991","43.2791419","10","252","",0
"NEW-OMAR-MO10","","Unknown",NA,NA,1,"2020","-5.679940332","43.29063565","10","233","",0
"NEW-OMAR-CA01","","Unknown",NA,NA,1,"2020","-5.673083717","43.27902792","10","252","",0
"R-P19936","Agrostio stoloniferae-Paspaletum vaginati","Unknown",NA,"V",2,"1997","-6.708298223","43.53800992","4 - UTM10x10 + Centroid","71","",NA
"R-P19937","Agrostio stoloniferae-Paspaletum vaginati","Unknown",NA,"V",15,"1997","-6.708298223","43.53800992","4 - UTM10x10 + Centroid","71","",NA
"Q-P08687","Alliarion petiolatae","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V32",15,"1990","-4.602567992","42.90454586","3 - UTM10x10 + Elevation","1160","",NA
