"SIVIMID","L1","L0","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","Fixed"
"CS11",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.808613,43.41379,"1",151,NA,0,0
"CS12",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.81737,43.41451,"1",151,NA,0,0
"CS13",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.796054,43.408169,"1",158,"W",0,0
"CS21",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.907661,43.600859,"1",6,"N",1,0
"CS22",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.915966,43.590716,"1",4,"SW",0,0
"CS23",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.913889,43.5866468,"1",15,NA,0,0
"CS31",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.850439,43.655831,"1",96,"N",1,0
"CS32",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.848792,43.654466,"1",94,"NW",5,0
"CS33",NA,NA,NA,"Unknown",NA,NA,49,2022,-5.831285,43.637201,"1",81,"SW",3,0
"NEW-OMAR-BA02","Dauco-Melilotion","Artemisietea vulgaris","Picridi echioides-Melilotetum albi","Dauco-Melilotion","Artemisietea vulgaris",NA,200,1981,-5.707241301,43.32530597,"500",190,"",0,1
"NEW-OMAR-BA05","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,10,1981,-5.707241301,43.32530597,"500",190,"",0,1
"NEW-OMAR-BA06","Oxalidion europeae","Papaveretea rhoeadis","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Papaveretea rhoeadis",NA,50,1981,-5.707241301,43.32530597,"500",190,"",0,1
"NEW-OMAR-BA08","Cynancho-Convolvulion sepium","Epilobietea angustifolii","Comunidad de Equisetum telmateia","Senecionion fluviatilis","Epilobietea angustifolii",NA,15,1981,-5.694921052,43.32559713,"500",225,"SO",5,0
"NEW-OMAR-BA106","Balloto-Conion maculati","Epilobietea angustifolii","Comunidad de Equisetum telmateia","Senecionion fluviatilis","Epilobietea angustifolii",NA,10,1981,-5.707241301,43.32530597,"500",190,"S",10,0
"NEW-OMAR-BA12","Dauco-Melilotion","Artemisietea vulgaris","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,4,1981,-5.707241301,43.32530597,"500",190,"",0,0
"NEW-OMAR-BA13","Balloto-Conion maculati","Epilobietea angustifolii","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,9,1981,-5.707241301,43.32530597,"500",190,"",20,0
