"","SIVIMID","X","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1","L2"
"1","Q-P09159",155,"Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.109776323,41.06042424,"3 - UTM10x10 + Elevation",550,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"2","Q-P13512",331,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.634095047,41.21055453,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"3","Q-P13513",332,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V",NA,2003,-8.629594569,41.24138274,"3 - UTM10x10 + Elevation",120,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"4","Q-P13514",333,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.612696465,41.76433749,"3 - UTM10x10 + Elevation",15,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"5","Q-P13515",334,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.57665353,41.20795808,"3 - UTM10x10 + Elevation",90,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"6","Q-P13516",335,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V39",NA,2003,-8.586394188,41.12646408,"3 - UTM10x10 + Elevation",115,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"7","Q-P13518",337,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V39",NA,2003,-8.255182038,41.86232255,"3 - UTM10x10 + Elevation",110,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"8","Q-P13520",339,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.572921413,41.77708254,"3 - UTM10x10 + Elevation",10,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"9","Q-P13521",340,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V39",NA,2003,-8.622931239,41.24711069,"3 - UTM10x10 + Elevation",120,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"10","Q-P13522",341,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.645241517,41.33963775,"3 - UTM10x10 + Elevation",80,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"11","Q-P13523",342,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.63279612,41.77415324,"3 - UTM10x10 + Elevation",5,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"12","Q-P13524",343,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.783882159,41.68920542,"3 - UTM10x10 + Elevation",5,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"13","Q-P13525",344,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V39",NA,2003,-8.264632808,41.86008796,"3 - UTM10x10 + Elevation",110,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"14","Q-P13526",345,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.591556494,40.99117886,"3 - UTM10x10 + Elevation",90,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"15","Q-P13527",346,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V39",NA,2003,-8.68699512,41.29796642,"3 - UTM10x10 + Elevation",70,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"16","Q-P13528",347,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.642655277,41.28215125,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"17","Q-P13529",348,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V32",NA,2003,-8.538011733,41.25844143,"3 - UTM10x10 + Elevation",145,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"18","Q-P13530",349,"Allio triquetri-Urticetum membranaceae","Smyrnienion olusatri","Epilobietea angustifolii","V39",NA,2003,-8.247836068,41.86085883,"3 - UTM10x10 + Elevation",100,"",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"19","Q-P14942",352,"Calendulo algarbiensis-Parietarietum diffusae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",15,1989,-7,43,"5 - UTMs missing from DEM",NA,"SW",NA,"Epilobietea angustifolii","Smyrnienion olusatri"
"20","R-P07261",382,NA,"Unknown",NA,"V33",100,NA,-1.646585131,42.96719617,"1 - UTM1x1 + Elevation",700,"",20,"Epilobietea angustifolii","Senecionion fluviatilis"
"21","R-P24469",736,"Parietarietum judaicae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",10,2012,-6.812628673,42.43264865,"1 - UTM1x1 + Elevation",376,"W",90,"Epilobietea angustifolii","Smyrnienion olusatri"
