"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","Q-P08769","Polygono-Matricarietum matricarioidis","V34Z",1,1990,-4.575170475,42.88691619,"3 - UTM10x10 + Elevation",1030,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"2","Q-P08770","Polygono-Matricarietum matricarioidis","V34Z",8,1990,-4.761486489,42.8932054,"3 - UTM10x10 + Elevation",1240,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"3","Q-P08771","Polygono-Matricarietum matricarioidis","V34Z",4,1990,-4.609727536,42.8972414,"3 - UTM10x10 + Elevation",1300,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"4","Q-P08772","Polygono-Matricarietum matricarioidis","V34Z",10,1990,-4.550506646,42.88004893,"3 - UTM10x10 + Elevation",1040,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"5","Q-P08773","Polygono-Matricarietum matricarioidis","V34Z",2,1990,-4.805345737,42.88531803,"3 - UTM10x10 + Elevation",1330,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"6","Q-P08774","Polygono-Matricarietum matricarioidis","V34Z",5,1990,-4.518195682,42.86067093,"3 - UTM10x10 + Elevation",990,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"7","Q-P09982","Matricario-Polygonetum avicularis","V34Z",4,2000,-7.182960705,41.96578556,"2 - UTM1x1 + Centroid",750,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"8","Q-P09983","Matricario-Polygonetum avicularis","V34Z",5,2000,-7.053959534,41.87510045,"3 - UTM10x10 + Elevation",790,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"9","Q-P09984","Matricario-Polygonetum avicularis","V34Z",1,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"10","Q-P09985","Matricario-Polygonetum avicularis","V34Z",2,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",620,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"11","Q-P09986","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2000,-6.827197264,41.74962379,"3 - UTM10x10 + Elevation",840,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"12","Q-P09987","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"13","Q-P09988","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2000,-6.929258382,41.88484435,"3 - UTM10x10 + Elevation",700,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"14","Q-P09989","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2000,-6.766626048,41.8650886,"3 - UTM10x10 + Elevation",640,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"15","Q-P09990","Crassulo tillaeae-Saginetum apetalae","V34Y",NA,2000,-6.637126403,41.83324893,"3 - UTM10x10 + Elevation",850,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"16","Q-P09991","Crassulo tillaeae-Saginetum apetalae","V34Y",2,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",620,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"17","Q-P09992","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2000,-6.727000541,41.88799461,"3 - UTM10x10 + Elevation",650,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"18","Q-P09993","Crassulo tillaeae-Saginetum apetalae","V34Y",3,2000,-6.632766489,41.88381447,"3 - UTM10x10 + Elevation",640,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"19","Q-P09994","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",620,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
