"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","NEW-OMAR-BA05","Fumario capreolatae-Veronicetum persicae",10,1981,-5.707241301,43.32530597,"500",190,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"2","NEW-OMAR-BA06","Fumario capreolatae-Veronicetum persicae",50,1981,-5.707241301,43.32530597,"500",190,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"3","NEW-OMAR-BA34","Fumario capreolatae-Veronicetum persicae",16,1981,-5.694523235,43.31660252,"500",295,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"4","NEW-OMAR-BA38","Fumario capreolatae-Veronicetum persicae",15,1981,-5.707241301,43.32530597,"500",190,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"5","NEW-OMAR-BA42","Fumario capreolatae-Veronicetum persicae",4,1981,-5.707241301,43.32530597,"500",190,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"6","NEW-OMAR-BA43","Fumario capreolatae-Veronicetum persicae",12,1981,-5.707241301,43.32530597,"500",190,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"7","NEW-OMAR-PA35","Fumario capreolatae-Veronicetum persicae",20,1981,-5.669491805,43.30818588,"500",335,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"8","Q-P07045","Oxalidi latifoliae-Veronicetum persicae",20,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"9","Q-P08735","Centaureo cyani-Raphanetum microcarpae",40,1990,-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"10","Q-P08736","Centaureo cyani-Raphanetum microcarpae",40,1990,-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"11","Q-P08737","Centaureo cyani-Raphanetum microcarpae",40,1990,-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"12","Q-P08738","Centaureo cyani-Raphanetum microcarpae",40,1990,-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"13","Q-P08739","Centaureo cyani-Raphanetum microcarpae",80,1990,-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"14","Q-P08740","Centaureo cyani-Raphanetum microcarpae",20,1990,-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"15","Q-P08741","Centaureo cyani-Raphanetum microcarpae",20,1990,-4.61429613,42.88457007,"3 - UTM10x10 + Elevation",1130,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"16","Q-P10054","Catapodietum patentis",16,2000,-6.597757147,41.81828152,"3 - UTM10x10 + Elevation",830,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"17","Q-P10055","Catapodietum patentis",9,2000,-7.059109571,41.88032087,"3 - UTM10x10 + Elevation",840,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"18","Q-P10062","Miboro minimae-Arabidopsietum thalianae",4,2000,-6.592963053,41.86165553,"3 - UTM10x10 + Elevation",840,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"19","Q-P10064","Miboro minimae-Arabidopsietum thalianae",4,2000,-6.724490367,41.88627521,"3 - UTM10x10 + Elevation",650,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"20","Q-P10065","Miboro minimae-Arabidopsietum thalianae",1,2000,-6.736518026,41.88588395,"3 - UTM10x10 + Elevation",630,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"21","Q-P10066","Miboro minimae-Arabidopsietum thalianae",3,2000,-6.684422129,41.90197718,"3 - UTM10x10 + Elevation",680,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"22","Q-P10067","Miboro minimae-Arabidopsietum thalianae",10,2000,-6.939459901,41.9331186,"3 - UTM10x10 + Elevation",780,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"23","Q-P10068","Miboro minimae-Arabidopsietum thalianae",6,2000,-7.182540579,41.88849023,"3 - UTM10x10 + Elevation",700,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"24","Q-P10069","Miboro minimae-Arabidopsietum thalianae",4,2000,-6.639224308,41.82777945,"3 - UTM10x10 + Elevation",830,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"25","Q-P10070","Miboro minimae-Arabidopsietum thalianae",4,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",560,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"26","Q-P10081","Comunidad de Lamium amplexicaule y Stellaria media",4,2000,-6.727942574,41.90417254,"3 - UTM10x10 + Elevation",660,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"27","Q-P10082","Comunidad de Lamium amplexicaule y Stellaria media",2,2000,-6.800658553,41.91079012,"3 - UTM10x10 + Elevation",1000,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"28","Q-P10083","Comunidad de Lamium amplexicaule y Stellaria media",2,2000,-6.761711225,41.86344897,"3 - UTM10x10 + Elevation",630,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"29","Q-P10084","Comunidad de Lamium amplexicaule y Stellaria media",6,2000,-6.731706991,41.88604061,"3 - UTM10x10 + Elevation",650,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"30","Q-P10085","Comunidad de Lamium amplexicaule y Stellaria media",4,2000,-6.632890883,41.80096541,"3 - UTM10x10 + Elevation",870,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"31","Q-P10086","Comunidad de Lamium amplexicaule y Stellaria media",4,2000,-7.07582557,41.87792696,"3 - UTM10x10 + Elevation",700,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"32","Q-P10087","Comunidad de Lamium amplexicaule y Stellaria media",4,2000,-6.899963984,41.72015921,"3 - UTM10x10 + Elevation",900,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"33","Q-P10088","Comunidad de Lamium amplexicaule y Stellaria media",4,2000,-6.614058215,41.93663371,"1 - UTM1x1 + Elevation",750,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis","Oxalidion europeae"
"34","Q-P14973","Linario amethysteae-Calenduletum arvensis",15,1982,-7.697423813,42.56180448,"3 - UTM10x10 + Elevation",390,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"35","Q-P14974","Linario amethysteae-Calenduletum arvensis",20,1982,-7.673543129,42.56818508,"3 - UTM10x10 + Elevation",380,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"36","Q-P14975","Linario amethysteae-Calenduletum arvensis",40,1982,-7.720513206,42.60947055,"3 - UTM10x10 + Elevation",340,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"37","Q-P14976","Linario amethysteae-Calenduletum arvensis",20,1982,-7.706338961,42.61545689,"3 - UTM10x10 + Elevation",370,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"38","Q-P14977","Linario amethysteae-Calenduletum arvensis",15,1982,-7.697828016,42.53477826,"3 - UTM10x10 + Elevation",380,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"39","Q-P14978","Linario amethysteae-Calenduletum arvensis",20,1982,-7.705778309,42.44621971,"3 - UTM10x10 + Elevation",140,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
"40","Q-P14979","Linario amethysteae-Calenduletum arvensis",30,1982,-7.712649168,42.4729465,"3 - UTM10x10 + Elevation",235,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis","Scleranthion annui"
