"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","Q-P10021","Urtico urentis-Malvetum neglectae","V37X",8,2000,-6.928752015,41.95509681,"3 - UTM10x10 + Elevation",800,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"2","Q-P10022","Urtico urentis-Malvetum neglectae","V37X",8,2000,-6.961072646,41.77569525,"3 - UTM10x10 + Elevation",820,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"3","Q-P10023","Urtico urentis-Malvetum neglectae","V37X",4,2000,-7.006255233,41.84436117,"3 - UTM10x10 + Elevation",720,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"4","Q-P10024","Urtico urentis-Malvetum neglectae","V37X",4,2000,-6.761816739,41.86524646,"3 - UTM10x10 + Elevation",650,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"5","Q-P10025","Bromo scoparii-Hordeetum leporini","V37W",8,2000,-6.625956464,41.89123386,"3 - UTM10x10 + Elevation",650,"Hordeion murini","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"6","Q-P10026","Bromo scoparii-Hordeetum leporini","V37W",6,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",620,"Hordeion murini","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"7","Q-P10123","Galio aparinellae-Anthriscetum caucalidis","V37Z",4,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",520,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"8","Q-P10124","Galio aparinellae-Anthriscetum caucalidis","V37Z",2,2000,-6.764221399,41.86516756,"3 - UTM10x10 + Elevation",630,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"9","Q-P10125","Galio aparinellae-Anthriscetum caucalidis","V37Z",4,2000,-6.635070162,41.8819405,"3 - UTM10x10 + Elevation",640,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"10","Q-P10126","Galio aparinellae-Anthriscetum caucalidis","V37Z",6,2000,-6.618840008,41.89325961,"3 - UTM10x10 + Elevation",670,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"11","Q-P10127","Galio aparinellae-Anthriscetum caucalidis","V37Z",6,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"12","Q-P10128","Galio aparinellae-Anthriscetum caucalidis","V37Z",6,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",580,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"13","Q-P10129","Galio aparinellae-Anthriscetum caucalidis","V37Z",2,2000,-6.657940453,41.81817926,"3 - UTM10x10 + Elevation",680,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"14","Q-P10130","Galio aparinellae-Anthriscetum caucalidis","V37Z",10,2000,-6.695623018,41.8872091,"3 - UTM10x10 + Elevation",660,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"15","Q-P12631","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"16","Q-P12632","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"17","Q-P12633","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"18","Q-P12634","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"19","Q-P12635","Scrophulario-Vulpietum alopecuroris","V32Z",25,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"20","Q-P12637","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"21","Q-P12638","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"22","Q-P12639","Scrophulario-Vulpietum alopecuroris","V32Z",50,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"23","Q-P12640","Scrophulario-Vulpietum alopecuroris","V32Z",16,1972,-8.647639375,41.09308647,"4 - UTM10x10 + Centroid",23,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"24","Q-P12641","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"25","Q-P12642","Scrophulario-Vulpietum alopecuroris","V32Z",25,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"26","Q-P12644","Scrophulario-Vulpietum alopecuroris","V32Z",50,1972,-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"27","Q-P12645","Scrophulario-Vulpietum alopecuroris","V32Z",50,1972,-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"28","Q-P12646","Scrophulario-Vulpietum alopecuroris","V32Z",50,1972,-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"29","Q-P12655","Scrophulario-Vulpietum alopecuroris","V32Z",100,1972,-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"30","Q-P12656","Scrophulario-Vulpietum alopecuroris","V32Z",50,1972,-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"31","Q-P13511","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.560248488,41.2393617,"3 - UTM10x10 + Elevation",100,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"32","Q-P13512","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.634095047,41.21055453,"3 - UTM10x10 + Elevation",100,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"33","Q-P13513","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.629594569,41.24138274,"3 - UTM10x10 + Elevation",120,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"34","Q-P13514","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.612696465,41.76433749,"3 - UTM10x10 + Elevation",15,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"35","Q-P13515","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.57665353,41.20795808,"3 - UTM10x10 + Elevation",90,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
