"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","NEW-OMAR-BA58","Sisymbrio officinalis-Hordeetum murini",100,1981,-5.694921052,43.32559713,"500",200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"2","NEW-OMAR-LF10","Sisymbrio officinalis-Hordeetum murini",9,1981,-5.682204615,43.31689226,"500",210,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"3","NEW-OMAR-PA98","Sisymbrio officinalis-Hordeetum murini",15,1981,-5.654043577,43.23651311,"500",360,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"4","Q-P07041","Sisymbrio officinalis-Hordeetum murini",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"5","Q-P07042","Sisymbrio officinalis-Hordeetum murini",15,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"6","Q-P08742","Sisymbrio officinalis-Hordeetum murini",20,1990,-4.646560297,42.80846808,"3 - UTM10x10 + Elevation",1120,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"7","Q-P08743","Sisymbrio officinalis-Hordeetum murini",12,1990,-4.741715289,42.79985585,"3 - UTM10x10 + Elevation",1100,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"8","Q-P08744","Sisymbrio officinalis-Hordeetum murini",18,1990,-4.946753488,42.86499029,"3 - UTM10x10 + Elevation",1200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"9","Q-P10027","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",6,2000,-6.725117844,41.89706054,"3 - UTM10x10 + Elevation",660,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"10","Q-P10028","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",2,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",520,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"11","Q-P10029","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",2,2000,-6.803064813,41.91071034,"3 - UTM10x10 + Elevation",1000,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"12","Q-P10030","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",5,2000,-6.695830527,41.89080433,"3 - UTM10x10 + Elevation",660,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"13","Q-P10031","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",8,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"14","Q-P10032","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",6,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"15","Q-P10033","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",6,2000,-7.038993386,41.82880563,"3 - UTM10x10 + Elevation",740,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"16","Q-P10034","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",16,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",500,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"17","Q-P10035","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",4,2000,-6.584742758,41.84390284,"3 - UTM10x10 + Elevation",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
