"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","Q-P09810","Bidenti tripartitae-Polygonetum lapathifolii",4,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",580,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"2","Q-P09811","Bidenti tripartitae-Polygonetum lapathifolii",12,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"3","Q-P09812","Bidenti tripartitae-Polygonetum lapathifolii",12,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"4","Q-P09813","Bidenti tripartitae-Polygonetum lapathifolii",8,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",530,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"5","R-P14890","Xanthio italici-Polygonetum persicariae",50,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"6","R-P14896","Xanthio italici-Polygonetum persicariae",10,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"7","R-P14908","Xanthio italici-Polygonetum persicariae",30,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"8","R-P15005","Polygono hydropiperis-Bidentetum tripartitae",50,2004,-1.668885488,43.18357301,"1 - UTM1x1 + Elevation",120,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"9","R-P24335","Bidenti tripartitae-Polygonetum lapathifolii",20,2012,-6.784966481,42.41735911,"1 - UTM1x1 + Elevation",401,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"10","R-P24336","Bidenti tripartitae-Polygonetum lapathifolii",10,2012,-6.665383717,42.3672244,"1 - UTM1x1 + Elevation",948,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"11","S-P18419","Bidentetea tripartitae",15,1974,-5.945297316,43.16599674,"2 - UTM1x1 + Centroid",420,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"12","T-P07838","Paspalo-Agrostietum semiverticillatae",10,1999,NA,NA,"5 - UTMs missing from DEM",340,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"13","T-P07841","Paspalo-Agrostietum semiverticillatae",10,1999,NA,NA,"5 - UTMs missing from DEM",340,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"14","T-P07850","Paspalo-Agrostietum semiverticillatae",20,1999,NA,NA,"5 - UTMs missing from DEM",350,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"15","T-P07851","Paspalo-Agrostietum semiverticillatae",40,1999,-1.865425645,42.78764921,"4 - UTM10x10 + Centroid",370,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"16","T-P07852","Paspalo-Agrostietum semiverticillatae",30,1999,-1.613081875,42.8209131,"1 - UTM1x1 + Elevation",420,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"17","T-P07855","Paspalo-Agrostietum semiverticillatae",15,1999,-1.662738271,42.78728409,"3 - UTM10x10 + Elevation",390,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"18","T-P07856","Paspalo-Agrostietum semiverticillatae",10,1999,-1.689401664,42.79839867,"3 - UTM10x10 + Elevation",390,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"19","T-P07857","Paspalo-Agrostietum semiverticillatae",15,1999,-1.665066826,42.7927144,"3 - UTM10x10 + Elevation",390,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"20","T-P07858","Paspalo-Agrostietum semiverticillatae",10,1999,-1.829320867,42.90077282,"2 - UTM1x1 + Centroid",420,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"21","T-P07859","Paspalo-Agrostietum semiverticillatae",6,1999,-1.824353868,42.90432396,"1 - UTM1x1 + Elevation",440,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"22","T-P07860","Paspalo-Agrostietum semiverticillatae",30,1999,-1.603095485,42.82979684,"1 - UTM1x1 + Elevation",420,"Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"23","T-P07935","Xanthio-Polygonetum persicariae",30,1999,-1.632632329,42.93281139,"1 - UTM1x1 + Elevation",520,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"24","T-P07937","Xanthio-Polygonetum persicariae",40,1999,-1.662699505,42.78908468,"3 - UTM10x10 + Elevation",390,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"25","T-P07941","Xanthio-Polygonetum persicariae",30,1999,-1.613081875,42.8209131,"1 - UTM1x1 + Elevation",420,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"26","T-P07943","Xanthio-Polygonetum persicariae",40,1999,NA,NA,"5 - UTMs missing from DEM",340,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"27","T-P07948","Xanthio-Polygonetum persicariae",50,1999,-1.865425645,42.78764921,"4 - UTM10x10 + Centroid",370,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"28","T-P07949","Xanthio-Polygonetum persicariae",20,1999,NA,NA,"5 - UTMs missing from DEM",330,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"29","T-P07953","Xanthio-Polygonetum persicariae",20,1999,NA,NA,"5 - UTMs missing from DEM",340,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"30","T-P07954","Xanthio-Polygonetum persicariae",30,1999,-1.608149638,42.82265427,"1 - UTM1x1 + Elevation",420,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"31","T-P07957","Xanthio-Polygonetum persicariae",8,1999,NA,NA,"5 - UTMs missing from DEM",330,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"32","T-P07961","Xanthio-Polygonetum persicariae",15,1999,-1.662544403,42.79628705,"3 - UTM10x10 + Elevation",390,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"33","T-P18089","Bidentetea tripartitae",NA,1966,-7.729698639,42.1300718,"4 - UTM10x10 + Centroid",620,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"34","U-P12293","Cypero eragrostidi-Bidentetum frondosae",8,2006,-8.23690587,42.13864329,"1 - UTM1x1 + Elevation",40,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"35","U-P12294","Cypero eragrostidi-Bidentetum frondosae",20,2006,-8.29264769,42.11087102,"1 - UTM1x1 + Elevation",35,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"36","U-P12295","Cypero eragrostidi-Bidentetum frondosae",8,2006,-8.308758679,42.10112206,"1 - UTM1x1 + Elevation",35,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"37","U-P12296","Cypero eragrostidi-Bidentetum frondosae",8,2006,-8.429880935,42.07563278,"1 - UTM1x1 + Elevation",25,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"38","U-P12297","Cypero eragrostidi-Bidentetum frondosae",6,2006,-8.449905444,42.08368313,"1 - UTM1x1 + Elevation",25,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"39","U-P12298","Cypero eragrostidi-Bidentetum frondosae",20,2006,-8.490360048,42.07634755,"1 - UTM1x1 + Elevation",20,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"40","U-P12299","Cypero eragrostidi-Bidentetum frondosae",10,2006,-8.532429364,42.05991731,"1 - UTM1x1 + Elevation",15,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"41","U-P12300","Cypero eragrostidi-Bidentetum frondosae",60,2006,-8.386858029,42.08126734,"1 - UTM1x1 + Elevation",30,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"42","U-P12301","Cypero eragrostidi-Bidentetum frondosae",25,2006,-8.4523126,42.08356845,"1 - UTM1x1 + Elevation",25,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
