"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"1","NEW-OMAR-BA106","Comunidad de Equisetum telmateia","Senecionion fluviatilis","Epilobietea angustifolii",NA,10,1981,-5.707241301,43.32530597,"500",190,"S",10,"Balloto-Conion maculati"
"2","NEW-OMAR-LF109","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,10,1981,-5.707241301,43.32530597,"500",200,"",5,"Balloto-Conion maculati"
"3","Q-P08747","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",20,1990,-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000,"",NA,"Balloto-Conion maculati"
"4","Q-P08748","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",40,1990,-4.690827121,42.90687801,"3 - UTM10x10 + Elevation",1250,"",NA,"Balloto-Conion maculati"
"5","Q-P08749","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1990,-4.512128657,42.91298042,"3 - UTM10x10 + Elevation",1070,"",NA,"Balloto-Conion maculati"
"6","Q-P09152","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.040051389,42.06645631,"3 - UTM10x10 + Elevation",1030,"",NA,"Balloto-Conion maculati"
"7","Q-P09153","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.125972742,41.84117573,"2 - UTM1x1 + Centroid",1120,"",NA,"Balloto-Conion maculati"
"8","Q-P09154","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.142281322,42.04570422,"3 - UTM10x10 + Elevation",1050,"",NA,"Balloto-Conion maculati"
"9","Q-P09155","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.062724337,42.07805993,"3 - UTM10x10 + Elevation",990,"",NA,"Balloto-Conion maculati"
"10","Q-P09156","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V39",NA,2004,-7.906153316,41.9282218,"3 - UTM10x10 + Elevation",850,"",NA,"Balloto-Conion maculati"
"11","Q-P09157","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V39",NA,2004,-7.890158938,41.81366373,"3 - UTM10x10 + Elevation",980,"",NA,"Balloto-Conion maculati"
"12","Q-P09158","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.223140863,41.76475744,"3 - UTM10x10 + Elevation",650,"",NA,"Balloto-Conion maculati"
"13","Q-P09160","Geranio lusitanici-Scrophularietum herminii","Arction lappae","Epilobietea angustifolii","V38",NA,2004,-8.043883733,42.08429349,"3 - UTM10x10 + Elevation",1000,"",NA,"Balloto-Conion maculati"
"14","Q-P10089","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","Sa",8,2000,-6.780099635,41.84843679,"3 - UTM10x10 + Elevation",820,"S",63,"Balloto-Conion maculati"
"15","Q-P10093","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","?",4,2000,-7.039080911,41.86842203,"3 - UTM10x10 + Elevation",740,"S",63,"Balloto-Conion maculati"
"16","Q-P10097","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","V",6,2000,-6.935699959,41.87201709,"3 - UTM10x10 + Elevation",800,"SW",72,"Balloto-Conion maculati"
"17","Q-P10100","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",8,2000,-6.795969738,41.83170412,"3 - UTM10x10 + Elevation",820,"",NA,"Balloto-Conion maculati"
"18","Q-P10101","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",6,2000,-6.49272956,41.87915943,"3 - UTM10x10 + Elevation",630,"",NA,"Balloto-Conion maculati"
