"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","Q-P08687","Alliarion petiolatae",NA,15,1990,-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"2","Q-P08747","Urtico dioicae-Sambucetum ebuli","V39X",20,1990,-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"3","Q-P08748","Urtico dioicae-Sambucetum ebuli","V39X",40,1990,-4.690827121,42.90687801,"3 - UTM10x10 + Elevation",1250,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"4","Q-P08749","Urtico dioicae-Sambucetum ebuli","V39X",20,1990,-4.512128657,42.91298042,"3 - UTM10x10 + Elevation",1070,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"5","Q-P08750","Galio aparines-Conietum maculati","V39Y",40,1990,-4.514005163,42.88954259,"3 - UTM10x10 + Elevation",1000,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"6","Q-P08751","Galio aparines-Conietum maculati","V39X",12,1990,-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"7","Q-P08752","Geranio robertiani-Cariolophetum sempervirentis","V39Y",20,1990,-4.67882657,42.91605961,"3 - UTM10x10 + Elevation",1300,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"8","Q-P08753","Geranio robertiani-Cariolophetum sempervirentis","V39Y",12,1990,-4.487894143,42.92410402,"3 - UTM10x10 + Elevation",1080,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"9","Q-P09152","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.040051389,42.06645631,"3 - UTM10x10 + Elevation",1030,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"10","Q-P09153","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.125972742,41.84117573,"2 - UTM1x1 + Centroid",1120,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"11","Q-P09154","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.142281322,42.04570422,"3 - UTM10x10 + Elevation",1050,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"12","Q-P09155","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.062724337,42.07805993,"3 - UTM10x10 + Elevation",990,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"13","Q-P09156","Geranio lusitanici-Scrophularietum herminii","V39Y",NA,2004,-7.906153316,41.9282218,"3 - UTM10x10 + Elevation",850,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"14","Q-P09157","Geranio lusitanici-Scrophularietum herminii","V39Y",NA,2004,-7.890158938,41.81366373,"3 - UTM10x10 + Elevation",980,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"15","Q-P09158","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.223140863,41.76475744,"3 - UTM10x10 + Elevation",650,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"16","Q-P09159","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.109776323,41.06042424,"3 - UTM10x10 + Elevation",550,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"17","Q-P09160","Geranio lusitanici-Scrophularietum herminii",NA,NA,2004,-8.043883733,42.08429349,"3 - UTM10x10 + Elevation",1000,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"18","Q-P10099","Galio aparines-Conietum maculati",NA,2,2000,-6.807617165,41.78449342,"3 - UTM10x10 + Elevation",680,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"19","Q-P10100","Galio aparines-Conietum maculati","V39X",8,2000,-6.795969738,41.83170412,"3 - UTM10x10 + Elevation",820,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"20","Q-P10101","Galio aparines-Conietum maculati","V39X",6,2000,-6.49272956,41.87915943,"3 - UTM10x10 + Elevation",630,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"21","Q-P10102","Galio aparines-Conietum maculati",NA,2,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"22","Q-P10103","Galio aparines-Conietum maculati","V39X",12,2000,-6.61694175,41.90232436,"3 - UTM10x10 + Elevation",660,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"23","Q-P10104","Galio aparines-Conietum maculati","V39X",4,2000,-7.01838365,41.8457377,"3 - UTM10x10 + Elevation",790,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"24","Q-P10105","Geranio robertiani-Caryolophetum sempervirentis","V39Y",9,2000,-6.866908731,41.86536384,"4 - UTM10x10 + Centroid",510,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"25","Q-P10106","Geranio robertiani-Caryolophetum sempervirentis","V39Y",4,2000,-6.912067329,41.72154811,"3 - UTM10x10 + Elevation",790,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"26","Q-P10107","Geranio robertiani-Caryolophetum sempervirentis","V39Y",5,2000,-6.94308629,41.95280375,"3 - UTM10x10 + Elevation",840,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"27","Q-P10108","Geranio robertiani-Caryolophetum sempervirentis","V39Y",2,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",620,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"28","Q-P10110","Geranio robertiani-Caryolophetum sempervirentis","V39Y",30,2000,-7.067471709,41.86021488,"3 - UTM10x10 + Elevation",620,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"29","Q-P10111","Geranio robertiani-Caryolophetum sempervirentis","V39Y",20,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"30","Q-P10113","Urtico dioicae-Sambucetum ebuli","V39X",6,2000,-6.910248865,41.92871595,"3 - UTM10x10 + Elevation",840,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"31","Q-P10114","Urtico dioicae-Sambucetum ebuli","V39X",2,2000,-7.068726986,41.87997997,"3 - UTM10x10 + Elevation",750,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"32","Q-P10115","Urtico dioicae-Sambucetum ebuli","V39X",9,2000,-7.052709018,41.85533498,"3 - UTM10x10 + Elevation",820,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"33","Q-P10116","Urtico dioicae-Sambucetum ebuli","V39X",4,2000,-6.624125452,41.85887416,"3 - UTM10x10 + Elevation",740,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"34","Q-P10117","Urtico dioicae-Sambucetum ebuli","V39X",4,2000,-6.95616051,41.77406386,"3 - UTM10x10 + Elevation",800,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"35","R-P12717","Urtico dioicae-Sambucetum ebuli","V39Y",10,1997,-3.181335485,42.80935772,"3 - UTM10x10 + Elevation",1040,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"36","R-P12727","Urtico dioicae-Sambucetum ebuli","V39X",50,1997,-3.095655307,42.7680364,"3 - UTM10x10 + Elevation",550,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"37","R-P14808","Arundini-Convolvuletum sepium",NA,NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Balloto-Conion maculati"
"38","R-P14814","Arundini-Convolvuletum sepium",NA,NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",370,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"39","R-P14816","Arundini-Convolvuletum sepium",NA,NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",383,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"40","R-P14818","Arundini-Convolvuletum sepium",NA,NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"41","R-P14820","Arundini-Convolvuletum sepium","V39Y",NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"42","R-P14821","Arundini-Convolvuletum sepium","V39Y",NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"43","R-P14822","Arundini-Convolvuletum sepium","V39Y",NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"44","R-P14823","Arundini-Convolvuletum sepium",NA,NA,2004,-1.376829654,42.60572333,"4 - UTM10x10 + Centroid",390,"Senecionion fluviatilis","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"45","R-P15144","Urtico dioicae-Sambucetum ebuli","V39X",15,1983,-2.420077433,43.12321172,"1 - UTM1x1 + Elevation",140,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"46","R-P15145","Urtico dioicae-Sambucetum ebuli","V39Y",10,1983,-2.432353444,43.12507425,"1 - UTM1x1 + Elevation",200,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"47","R-P15146","Urtico dioicae-Sambucetum ebuli","V39Y",20,1983,-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"48","R-P15147","Urtico dioicae-Sambucetum ebuli","V39Y",20,1983,-2.268671539,43.24300789,"1 - UTM1x1 + Elevation",300,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
