"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"1","Q-P10071","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",16,2000,-6.724490367,41.88627521,"3 - UTM10x10 + Elevation",640,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"2","Q-P10072","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",12,2000,-6.727942574,41.90417254,"3 - UTM10x10 + Elevation",670,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"3","Q-P10073","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",20,2000,-6.630258874,41.88209289,"3 - UTM10x10 + Elevation",660,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"4","Q-P10074","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",6,2000,-6.866908731,41.86536384,"4 - UTM10x10 + Centroid",550,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"5","Q-P10075","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",4,2000,-6.963473393,41.77561233,"3 - UTM10x10 + Elevation",760,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"6","Q-P10077","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",20,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",530,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"7","Q-P10078","Comunidad de Echinochloa crus-galli y Setaria Verticillata","V10W",4,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",540,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"8","R-P22275","Lamio hybridi-Echinochloetum crus-gallii","V10W",30,1999,-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"9","R-P22276","Lamio hybridi-Echinochloetum crus-gallii","V10W",50,1999,-8.15045287,41.87788344,"1 - UTM1x1 + Elevation",400,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"10","R-P22277","Lamio hybridi-Echinochloetum crus-gallii","V10W",40,1999,-8.148196657,41.87978546,"1 - UTM1x1 + Elevation",400,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
