"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"1","NEW-OMAR-BA13","Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Epilobietea angustifolii",NA,9,1981,-5.707241301,43.32530597,"500",190,"",20,"Balloto-Conion maculati"
"2","NEW-OMAR-BA58","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea",NA,100,1981,-5.694921052,43.32559713,"500",200,"",10,"Balloto-Conion maculati"
"3","Q-P07041","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V32",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"",NA,"Sisymbrion officinalis"
"4","Q-P08687","Alliarion petiolatae","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V32",15,1990,-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160,"",NA,"Sisymbrion officinalis"
"5","Q-P08740","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Papaveretea rhoeadis","V15",20,1990,-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970,"",NA,"Sisymbrion officinalis"
"6","Q-P08742","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",20,1990,-4.646560297,42.80846808,"3 - UTM10x10 + Elevation",1120,"",NA,"Sisymbrion officinalis"
"7","Q-P08743","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",12,1990,-4.741715289,42.79985585,"3 - UTM10x10 + Elevation",1100,"",NA,"Sisymbrion officinalis"
"8","Q-P08744","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",18,1990,-4.946753488,42.86499029,"3 - UTM10x10 + Elevation",1200,"",NA,"Sisymbrion officinalis"
"9","Q-P08751","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",12,1990,-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070,"",NA,"Balloto-Conion maculati"
"10","Q-P09946","Comunidad de Carduus carpetanus","Cirsion richterano-chodati","Artemisietea vulgaris","V32",6,2000,-6.830072255,41.71711066,"3 - UTM10x10 + Elevation",900,"",NA,"Sisymbrion officinalis"
"11","Q-P10027","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V32",6,2000,-6.725117844,41.89706054,"3 - UTM10x10 + Elevation",660,"SE",25,"Sisymbrion officinalis"
"12","Q-P10028","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V32",2,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",520,"",NA,"Sisymbrion officinalis"
"13","Q-P10029","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V37",2,2000,-6.803064813,41.91071034,"3 - UTM10x10 + Elevation",1000,"",NA,"Sisymbrion officinalis"
"14","Q-P10030","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V37",5,2000,-6.695830527,41.89080433,"3 - UTM10x10 + Elevation",660,"",NA,"Sisymbrion officinalis"
"15","Q-P10031","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V32",8,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600,"",NA,"Sisymbrion officinalis"
"16","Q-P10032","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V32",6,2000,-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"",NA,"Sisymbrion officinalis"
"17","Q-P10033","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V37",6,2000,-7.038993386,41.82880563,"3 - UTM10x10 + Elevation",740,"",NA,"Sisymbrion officinalis"
"18","Q-P10034","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V32",16,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",500,"",NA,"Sisymbrion officinalis"
"19","Q-P10035","Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum","Sisymbrion officinalis","Sisymbrietea","V32",4,2000,-6.584742758,41.84390284,"3 - UTM10x10 + Elevation",900,"",NA,"Sisymbrion officinalis"
"20","Q-P10090","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","?",6,2000,-6.84862466,41.82634749,"3 - UTM10x10 + Elevation",900,"SW",54,"Sisymbrion officinalis"
"21","Q-P10092","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","R57",8,2000,-7.070331887,41.86731688,"3 - UTM10x10 + Elevation",750,"N",72,"Sisymbrion officinalis"
"22","Q-P10094","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","R57",4,2000,-6.642501247,41.80066068,"3 - UTM10x10 + Elevation",860,"S",63,"Sisymbrion officinalis"
"23","Q-P10096","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,2000,-7.024882606,41.87252308,"3 - UTM10x10 + Elevation",800,"NE",36,"Sisymbrion officinalis"
"24","Q-P10098","Comunidad de Chaerophyllum temulum y Urtica dioica","Balloto-Conion maculati","Epilobietea angustifolii","?",4,2000,-6.836679525,41.86816917,"3 - UTM10x10 + Elevation",880,"W",63,"Balloto-Conion maculati"
"25","Q-P10102","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",2,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600,"",NA,"Balloto-Conion maculati"
"26","Q-P10103","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",12,2000,-6.61694175,41.90232436,"3 - UTM10x10 + Elevation",660,"",NA,"Balloto-Conion maculati"
"27","Q-P10104","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",4,2000,-7.01838365,41.8457377,"3 - UTM10x10 + Elevation",790,"",NA,"Balloto-Conion maculati"
"28","Q-P10115","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",9,2000,-7.052709018,41.85533498,"3 - UTM10x10 + Elevation",820,"W",4.5,"Balloto-Conion maculati"
"29","R-P12727","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",50,1997,-3.095655307,42.7680364,"3 - UTM10x10 + Elevation",550,"",NA,"Balloto-Conion maculati"
"30","R-P15132","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V32",5,1983,-2.415177533,43.12138581,"1 - UTM1x1 + Elevation",150,"",NA,"Sisymbrion officinalis"
"31","R-P15137","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",4,1983,-2.575973688,42.97801475,"1 - UTM1x1 + Elevation",630,"",NA,"Sisymbrion officinalis"
"32","R-P22293","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",2,1999,-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",390,"S",NA,"Sisymbrion officinalis"
"33","R-P22298","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V32",10,1999,-7.941424446,41.97892401,"1 - UTM1x1 + Elevation",580,"NW",NA,"Sisymbrion officinalis"
"34","R-P22299","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V32",10,1999,-7.943690447,41.97702558,"1 - UTM1x1 + Elevation",590,"NW",NA,"Sisymbrion officinalis"
"35","R-P23931","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V32",30,1986,-6.792262196,42.29646044,"3 - UTM10x10 + Elevation",1000,"W",5,"Sisymbrion officinalis"
"36","R-P23932","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V37",10,1986,-6.811675658,42.3768543,"3 - UTM10x10 + Elevation",1200,"",NA,"Sisymbrion officinalis"
"37","R-P23933","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V37",4,1986,-6.803317844,42.35912377,"3 - UTM10x10 + Elevation",1200,"SW",20,"Sisymbrion officinalis"
"38","R-P23934","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",25,1986,-6.787049106,42.33084935,"3 - UTM10x10 + Elevation",880,"SW",15,"Balloto-Conion maculati"
"39","R-P23945","Geranio robertiani-Caryolophetum sempervirentis","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V39",4,1986,-6.798471247,42.35928467,"3 - UTM10x10 + Elevation",1260,"SW",25,"Sisymbrion officinalis"
"40","R-P23990","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V37",2,1986,-6.80765505,42.31035653,"3 - UTM10x10 + Elevation",900,"",NA,"Sisymbrion officinalis"
"41","R-P23992","Anthrisco-Geranietum lucidi","Geranio pusilli-Anthriscion caucalidis","Chenopodietea","V",10,1986,-6.875592824,42.42873318,"3 - UTM10x10 + Elevation",680,"NW",90,"Sisymbrion officinalis"
"42","R-P24021","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V32",2,1986,-6.797279383,42.33951481,"3 - UTM10x10 + Elevation",1000,"",NA,"Sisymbrion officinalis"
"43","R-P24022","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",2,1986,-6.826874911,42.38715228,"3 - UTM10x10 + Elevation",680,"",NA,"Sisymbrion officinalis"
"44","R-P24023","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",2,1986,-7.048826985,42.36330962,"3 - UTM10x10 + Elevation",960,"",NA,"Sisymbrion officinalis"
"45","R-P24024","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",2,1986,-6.792326103,42.33787812,"3 - UTM10x10 + Elevation",950,"S",10,"Sisymbrion officinalis"
"46","R-P24040","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V",15,1986,-6.826418776,42.41958264,"3 - UTM10x10 + Elevation",350,"",NA,"Sisymbrion officinalis"
"47","R-P24041","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V33",15,1986,-6.871727466,42.40545324,"3 - UTM10x10 + Elevation",350,"",NA,"Sisymbrion officinalis"
"48","R-P24042","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V33",10,1986,-6.859602957,42.40586269,"3 - UTM10x10 + Elevation",350,"S",15,"Sisymbrion officinalis"
"49","R-P24045","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V33",10,1986,-6.849793121,42.40439221,"3 - UTM10x10 + Elevation",350,"",NA,"Sisymbrion officinalis"
"50","R-P24046","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V38",4,1986,-6.80201604,42.33755677,"3 - UTM10x10 + Elevation",880,"S",10,"Sisymbrion officinalis"
"51","R-P24047","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V32",4,1986,-6.815516372,42.40013733,"3 - UTM10x10 + Elevation",680,"",NA,"Sisymbrion officinalis"
"52","R-P24048","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V37",2,1986,-6.809750844,42.30488424,"3 - UTM10x10 + Elevation",900,"S",20,"Sisymbrion officinalis"
"53","R-P24049","Bromo diandri-Carduetum tenuiflori","Sisymbrion officinalis","Sisymbrietea","V32",3,1986,-6.797320285,42.29989455,"3 - UTM10x10 + Elevation",1000,"W",10,"Sisymbrion officinalis"
"54","R-P24573","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",50,2012,-6.594293849,42.27042867,"1 - UTM1x1 + Elevation",1000,"NE",15,"Sisymbrion officinalis"
"55","R-P24574","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",40,2012,-6.589108695,42.3498309,"2 - UTM1x1 + Centroid",730,"",NA,"Sisymbrion officinalis"
"56","R-P24575","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V37",15,2012,-6.553448027,42.27710588,"1 - UTM1x1 + Elevation",869,"",NA,"Balloto-Conion maculati"
"57","R-P24646","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","R",5,2012,-6.58359246,42.25275488,"1 - UTM1x1 + Elevation",1020,"",NA,"Sisymbrion officinalis"
"58","R-P24647","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",6,2012,-6.553245783,42.27351033,"1 - UTM1x1 + Elevation",891,"SW",5,"Sisymbrion officinalis"
"59","R-P24648","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",40,2012,-6.455859282,42.31070755,"1 - UTM1x1 + Elevation",1250,"",NA,"Sisymbrion officinalis"
"60","R-P24649","Sisymbrio officinalis-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",5,2012,-6.733813531,42.41543733,"1 - UTM1x1 + Elevation",693,"N",3,"Sisymbrion officinalis"
