"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"1","NEW-OMAR-CC86","Comunidad de Cymbalaria muralis","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",NA,10,1981,-5.682600619,43.32588696,"500",275,"NO",90,"Galio valantiae-Parietarion judaicae"
"2","NEW-OMAR-TU92","Comunidad de Cymbalaria muralis","Cymbalario-Asplenion","Cymbalario-Parietarietea diffusae",NA,5,1981,-5.666346277,43.23622682,"500",325,"S",90,"Cymbalario-Asplenion"
"3","Q-P02778","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",40,1969,-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"",NA,"Galio valantiae-Parietarion judaicae"
"4","Q-P02779","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",20,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"",NA,"Galio valantiae-Parietarion judaicae"
"5","Q-P02780","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","H32d",20,1969,-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"",NA,"Galio valantiae-Parietarion judaicae"
"6","Q-P02781","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",50,1969,-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"",NA,"Galio valantiae-Parietarion judaicae"
"7","Q-P02782","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",10,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"",NA,"Galio valantiae-Parietarion judaicae"
"8","Q-P02783","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V15",10,1969,-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"",NA,"Galio valantiae-Parietarion judaicae"
"9","Q-P02784","Oxalido-Parietarietum","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",10,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"",NA,"Cymbalario-Asplenion"
"10","Q-P02785","Centrantho-Hypericetum hircini","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","?",20,1969,-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"",NA,"Galio valantiae-Parietarion judaicae"
