"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"1","R-P24577","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",10,2012,-6.652205886,42.22357417,"1 - UTM1x1 + Elevation",1744,"NW",2,"Epilobion angustifolii"
"2","R-P24578","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",8,2012,-6.652517158,42.22896696,"1 - UTM1x1 + Elevation",1749,"W",10,"Epilobion angustifolii"
"3","R-P24579","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",5,2012,-6.739807386,42.39363141,"1 - UTM1x1 + Elevation",1198,"E",10,"Epilobion angustifolii"
"4","R-P24580","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",10,2012,-6.754985079,42.28148099,"1 - UTM1x1 + Elevation",1798,"",NA,"Epilobion angustifolii"
"5","R-P24581","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",8,2012,-6.754985079,42.28148099,"1 - UTM1x1 + Elevation",1800,"NW",10,"Epilobion angustifolii"
"6","S-P19748","Asphodelo arrondeaui-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",50,2001,-5.708021421,42.91794165,"3 - UTM10x10 + Elevation",1540,"N",36,"Epilobion angustifolii"
"7","S-P21815","Comunidad de Epilobium angustifolium y Digitalis purpurea","Epilobion angustifolii","Epilobietea angustifolii","R57",70,1981,-6.074001558,43.08337265,"3 - UTM10x10 + Elevation",1650,"W",50,"Epilobion angustifolii"
"8","S-P21816","Comunidad de Epilobium angustifolium y Digitalis purpurea","Epilobion angustifolii","Epilobietea angustifolii","?",60,1981,-6.053300587,43.06231754,"3 - UTM10x10 + Elevation",1645,"W",60,"Epilobion angustifolii"
"9","T-P09652","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","?",15,1987,-7.032098985,42.6322169,"3 - UTM10x10 + Elevation",1380,"",NA,"Epilobion angustifolii"
"10","T-P09653","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R",20,1987,-7.33578226,43.29584386,"4 - UTM10x10 + Centroid",980,"",NA,"Epilobion angustifolii"
"11","T-P09654","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",8,1987,-7.117789472,42.60035186,"3 - UTM10x10 + Elevation",1450,"",NA,"Epilobion angustifolii"
"12","T-P09655","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R52",8,1987,-7.0961396,42.60473075,"3 - UTM10x10 + Elevation",1600,"",NA,"Epilobion angustifolii"
"13","T-P09656","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R52",20,1987,-7.33578226,43.29584386,"4 - UTM10x10 + Centroid",1400,"",NA,"Epilobion angustifolii"
"14","T-P11635","Asphodelo albi-Epilobietum angustifolii","Epilobion angustifolii","Epilobietea angustifolii","R57",50,1988,-5.733135038,42.93175151,"3 - UTM10x10 + Elevation",1540,"N",36,"Epilobion angustifolii"
