"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"1","Q-P09986","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","V35",1,2000,-6.827197264,41.74962379,"3 - UTM10x10 + Elevation",840,"",NA,"Polycarpion tetraphylli"
"2","Q-P09987","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",1,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600,"",NA,"Polycarpion tetraphylli"
"3","Q-P09988","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",1,2000,-6.929258382,41.88484435,"3 - UTM10x10 + Elevation",700,"",NA,"Polycarpion tetraphylli"
"4","Q-P09989","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","V34",1,2000,-6.766626048,41.8650886,"3 - UTM10x10 + Elevation",640,"",NA,"Polycarpion tetraphylli"
"5","Q-P09990","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",NA,2000,-6.637126403,41.83324893,"3 - UTM10x10 + Elevation",850,"",NA,"Polycarpion tetraphylli"
"6","Q-P09999","Comunidad de Spergularia purpurea y Plantago coronopus","Scleranthion annui","Papaveretea rhoeadis","V",1,2000,-6.736622917,41.88768148,"3 - UTM10x10 + Elevation",640,"",NA,"Polycarpion tetraphylli"
"7","Q-P10000","Comunidad de Spergularia purpurea y Plantago coronopus","Scleranthion annui","Papaveretea rhoeadis","R1D",3,2000,-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600,"",NA,"Polycarpion tetraphylli"
"8","Q-P10001","Comunidad de Spergularia purpurea y Plantago coronopus","Scleranthion annui","Papaveretea rhoeadis","V32",1,2000,-6.604765258,41.81445954,"3 - UTM10x10 + Elevation",780,"",NA,"Polycarpion tetraphylli"
"9","Q-P10002","Comunidad de Spergularia purpurea y Plantago coronopus","Scleranthion annui","Papaveretea rhoeadis","V",1,2000,-6.891229027,41.77448393,"3 - UTM10x10 + Elevation",800,"",NA,"Polycarpion tetraphylli"
"10","Q-P10003","Comunidad de Spergularia purpurea y Plantago coronopus","Scleranthion annui","Papaveretea rhoeadis","V35",1,2000,-6.75941207,41.86532531,"3 - UTM10x10 + Elevation",670,"",NA,"Polycarpion tetraphylli"
"11","Q-P10004","Comunidad de Spergularia purpurea y Plantago coronopus","Scleranthion annui","Papaveretea rhoeadis","V32",1,2000,-6.929148103,41.88304723,"3 - UTM10x10 + Elevation",680,"",NA,"Polycarpion tetraphylli"
"12","Q-P10054","Catapodietum patentis","Scleranthion annui","Papaveretea rhoeadis","V15",16,2000,-6.597757147,41.81828152,"3 - UTM10x10 + Elevation",830,"NNE",9,"Scleranthion annui"
"13","Q-P10055","Catapodietum patentis","Scleranthion annui","Papaveretea rhoeadis","V15",9,2000,-7.059109571,41.88032087,"3 - UTM10x10 + Elevation",840,"SE",4.5,"Scleranthion annui"
"14","Q-P10060","Comunidad de Chrysanthemum segetum y Lolium rigidum","Scleranthion annui","Papaveretea rhoeadis","V15",12,2000,-6.635274238,41.88553598,"3 - UTM10x10 + Elevation",640,"W",4.5,"Scleranthion annui"
"15","Q-P10061","Comunidad de Chrysanthemum segetum y Lolium rigidum","Scleranthion annui","Papaveretea rhoeadis","V15",10,2000,-6.76432699,41.86696504,"3 - UTM10x10 + Elevation",630,"",NA,"Scleranthion annui"
"16","Q-P10065","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Papaveretea rhoeadis","V15",1,2000,-6.736518026,41.88588395,"3 - UTM10x10 + Elevation",630,"S",13.5,"Scleranthion annui"
"17","Q-P10068","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Papaveretea rhoeadis","V15",6,2000,-7.182540579,41.88849023,"3 - UTM10x10 + Elevation",700,"",NA,"Scleranthion annui"
"18","Q-P10070","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Papaveretea rhoeadis","V15",4,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",560,"E",9,"Scleranthion annui"
"19","Q-P12631","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"20","Q-P12632","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","V",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"21","Q-P12633","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"22","Q-P12634","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"23","Q-P12635","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",25,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"24","Q-P12637","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","N15!",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"25","Q-P12638","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",100,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"26","Q-P12639","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R1R",50,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"27","Q-P12640","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",16,1972,-8.647639375,41.09308647,"4 - UTM10x10 + Centroid",23,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"28","Q-P12641","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",100,1972,-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"29","Q-P12642","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R1R",25,1972,-8.660078251,41.16368921,"4 - UTM10x10 + Centroid",38,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"30","Q-P12644","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",50,1972,-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"31","Q-P12645","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",50,1972,-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"32","Q-P12646","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",50,1972,-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"33","Q-P12655","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","Sa",100,1972,-8.768925256,41.42131107,"4 - UTM10x10 + Centroid",11,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"34","Q-P12656","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","Sa",50,1972,-8.692062013,41.32952567,"4 - UTM10x10 + Centroid",45,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"35","Q-P14984","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Papaveretea rhoeadis","V15",30,1982,-7.235944714,42.48391415,"4 - UTM10x10 + Centroid",547,"",NA,"Scleranthion annui"
"36","Q-P14988","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Papaveretea rhoeadis","V15",30,1982,-7.85573292,42.31030624,"3 - UTM10x10 + Elevation",130,"NE",NA,"Scleranthion annui"
"37","R-P20908","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","R",60,1989,-7,43,"5 - UTMs missing from DEM",NA,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"38","R-P20909","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","N15!",150,1989,-7,43,"5 - UTMs missing from DEM",NA,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"39","R-P20911","Scrophulario-Vulpietum alopecuroris","Linario polygalifoliae-Vulpion alopecuri","Chenopodietea","N15!",100,1989,-7,43,"5 - UTMs missing from DEM",NA,"",NA,"Linario polygalifoliae-Vulpion alopecuri"
"40","R-P21296","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",40,1995,-7.434860876,42.50026169,"1 - UTM1x1 + Elevation",480,"NW",NA,"Scleranthion annui"
"41","R-P21297","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",50,1995,-7.273300749,42.62886084,"1 - UTM1x1 + Elevation",900,"S",5,"Scleranthion annui"
"42","R-P21298","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",40,1995,-7.273824138,42.67205843,"1 - UTM1x1 + Elevation",1000,"N",5,"Scleranthion annui"
"43","R-P21299","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","R1R",30,1995,-7.442382618,42.64042379,"1 - UTM1x1 + Elevation",440,"",0,"Scleranthion annui"
"44","R-P21300","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",30,1995,-7.526242786,42.55250296,"1 - UTM1x1 + Elevation",360,"",0,"Scleranthion annui"
"45","R-P21301","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","R1R",50,1995,-7.521570042,42.48786327,"1 - UTM1x1 + Elevation",320,"",NA,"Scleranthion annui"
"46","R-P21302","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","R1R",70,1995,-7.461822219,42.57124082,"1 - UTM1x1 + Elevation",380,"S",NA,"Scleranthion annui"
"47","R-P21303","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V32",50,1995,-7.558860206,42.56561259,"1 - UTM1x1 + Elevation",370,"",0,"Scleranthion annui"
"48","R-P21304","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","R",40,1995,-7.500562743,42.56792197,"1 - UTM1x1 + Elevation",410,"",0,"Scleranthion annui"
"49","R-P21305","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",50,1995,-7.595267542,42.49753063,"1 - UTM1x1 + Elevation",300,"N",NA,"Scleranthion annui"
"50","R-P21306","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",15,1995,-7.375360467,42.58898722,"1 - UTM1x1 + Elevation",500,"",0,"Scleranthion annui"
"51","R-P22254","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Papaveretea rhoeadis","V15",60,1999,-8.061560413,42.03309657,"1 - UTM1x1 + Elevation",1000,"SE",5,"Scleranthion annui"
"52","R-P22311","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",2,1999,-8.07759526,41.90094306,"1 - UTM1x1 + Elevation",410,"",NA,"Polycarpion tetraphylli"
"53","R-P22312","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","R",1,1999,-7.955889587,41.94768821,"2 - UTM1x1 + Centroid",450,"",NA,"Polycarpion tetraphylli"
"54","R-P22313","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","V34",1,1999,-8.052735922,41.92184909,"2 - UTM1x1 + Centroid",810,"",NA,"Polycarpion tetraphylli"
"55","R-P22314","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","V34",1,1999,-8.202905451,41.90072054,"1 - UTM1x1 + Elevation",570,"",NA,"Polycarpion tetraphylli"
"56","R-P23962","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",NA,1986,-6.778597476,42.31131908,"3 - UTM10x10 + Elevation",1100,"",NA,"Polycarpion tetraphylli"
"57","R-P23964","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",NA,1986,-6.810261463,42.35349034,"3 - UTM10x10 + Elevation",1160,"",NA,"Polycarpion tetraphylli"
"58","R-P23965","Crassulo tillaeae-Saginetum apetalae","Polycarpion tetraphylli","Polygono-Poetea annuae","C35b",NA,1986,-6.814019475,42.33535669,"3 - UTM10x10 + Elevation",660,"",NA,"Polycarpion tetraphylli"
