"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"T-P11955","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,1988,-2.428257371,43.03680552,"3 - UTM10x10 + Elevation",200,"",NA
"T-P11959","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",15,1988,-2.558649556,42.99956147,"3 - UTM10x10 + Elevation",340,"",NA
"R-P24681","R55Y","R55","Comunidad de Epilobium parviflorum y Eupatorium cannabinum",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",8,2012,-6.633107102,42.39706716,"1 - UTM1x1 + Elevation",679,"E",20
"T-P11957","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Dauco-Melilotion","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",5,1988,-2.659930395,43.32047905,"3 - UTM10x10 + Elevation",40,"",NA
"T-P11954","R55Y","R","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",10,1988,-2.543580963,43.04632855,"3 - UTM10x10 + Elevation",400,"",NA
"T-P11958","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",30,1988,-2.439581297,43.14131861,"3 - UTM10x10 + Elevation",320,"",NA
"S-P10956","R55Y","R55","Solano dulcamarae-Epilobietum hirsuti",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",60,2008,NA,NA,"5 - UTMs missing from DEM",550,"",NA
"T-P11961","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",30,1988,-2.600629876,42.95829215,"3 - UTM10x10 + Elevation",540,"",NA
"S-P10958","R55Y","R55","Solano dulcamarae-Epilobietum hirsuti",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",50,2008,-2.692878036,42.64529005,"4 - UTM10x10 + Centroid",580,"",NA
"R-P24682","R55Y","R55","Comunidad de Epilobium parviflorum y Eupatorium cannabinum",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",10,2012,-6.515714461,42.29627947,"1 - UTM1x1 + Elevation",843,"",NA
"R-P24678","R55Y","R55","Comunidad de Epilobium parviflorum y Eupatorium cannabinum",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,2012,-6.781892042,42.40665565,"1 - UTM1x1 + Elevation",569,"NW",2
"T-P32587","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",60,2010,-1.231080892,43.42976214,"3 - UTM10x10 + Elevation",80,"",NA
"T-P11956","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",15,1988,-2.417447999,43.14120806,"3 - UTM10x10 + Elevation",160,"",NA
"T-P32574","R55Y","R","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",12,2010,-1.494353861,43.47495185,"3 - UTM10x10 + Elevation",45,"",0
"T-P06538","R55Y","?","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",40,1995,-1.909316363,43.22573854,"1 - UTM1x1 + Elevation",100,"",NA
"T-P32577","R55Y","R","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",30,2010,-1.052698994,43.36743524,"3 - UTM10x10 + Elevation",50,"",0
