SIVIMID,Relevé.number,Sintaxon,Temp,Precip,UTM10X10,UTM1X1,JuiceID,OriginalElevation,Locality,Country,ECOREG_WWF,DUNES_BOHN,Plant.Cover,Aspect,Slope,Area,SintaxonID,Authors,Year,Title,Publication,Type,DEG_LON,DEG_LAT,Accuracy,Elevation,ANTHROPIC,Vegetation,Class,Order,Alliance,EUNIS2020,EUNIS_REVISED,PCluster
NEW-OMAR-BA12,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,4,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V38,0
NEW-OMAR-BA13,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,20,9,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V39,0
NEW-OMAR-BA15,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,S,20,9,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V38,0
NEW-OMAR-LF109,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,La Felguera,ES,NA,NA,100,,5,10,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,200,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V39,0
NEW-OMAR-LF95,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,La Felguera,ES,NA,NA,100,S,0,40,NA,NA,1981,NA,NA,NA,-5.682204615,43.31689226,500,230,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V39,0
NEW-OMAR-PA102,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,100,SE,0,20,NA,NA,1981,NA,NA,NA,-5.654043577,43.23651311,500,325,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V39,0
NEW-OMAR-PA104,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Pajomal,ES,NA,NA,80,SE,15,80,NA,NA,1981,NA,NA,NA,-5.654043577,43.23651311,500,250,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V38,0
P-P22131,122131,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP31,,6265,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou",FR,ATL_COAST,N_DUNES,80,,0,1000,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:,No forest,-1.381462446,43.44279511,3 - UTM10x10 + Elevation,5,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R     ,V37,0
P-P22132,122132,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP31,,6266,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou",FR,ATL_COAST,N_DUNES,80,,0,400,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:,No forest,-1.319948701,43.43290349,3 - UTM10x10 + Elevation,5,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, V     ,V37,0
P-P22135,122135,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP41,30TXP4917,6267,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe",FR,ATL_COAST,N_DUNES,90,,0,500,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:,No forest,-1.253309719,43.43010393,3 - UTM10x10 + Elevation,2,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R     ,V37,0
P-P22136,122136,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP41,30TXP4917,6268,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe",FR,ATL_COAST,N_DUNES,85,,0,600,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:,No forest,-1.253257937,43.43190397,3 - UTM10x10 + Elevation,2,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R     ,V37,0
P-P22137,122137,Allio vineale-Ranunculetum sardoi,NA,NA,30TXP41,30TXP4917,6269,2,"France, Pyrenées-Atlantiques, Bidache, la Barthe",FR,ATL_COAST,N_DUNES,95,,0,1000,9215,"Lazare, J.J.",2005,Miscellanées phytosociologiques.,J. Bot. Soc. Bot. France 31:,No forest,-1.253257937,43.43190397,3 - UTM10x10 + Elevation,2,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, R     ,V37,0
Q-P08687,208687,Alliarion petiolatae,86,11634,30TUN65,,6843,1160,Santibañez de Resoba,ES,ATL_COAST,N_DUNES,100,,NA,15,L204,"García González, M.E.",1990,Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia),Tesis Doct.,No forest,-4.602567992,42.90454586,3 - UTM10x10 + Elevation,1160,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Galio-Alliarietalia,Geo urbani-Alliarion officinalis, V32   ,V39,0
