SIVIMID,Relevé.number,NMDS1,NMDS2,Sintaxon,Temp,Precip,UTM10X10,UTM1X1,JuiceID,OriginalElevation,Locality,Country,ECOREG_WWF,DUNES_BOHN,Plant.Cover,Aspect,Slope,Area,SintaxonID,Authors,Year,Title,Publication,EUNIS2020,Type,DEG_LON,DEG_LAT,Accuracy,Elevation,ANTHROPIC,Vegetation,Class,Order,Alliance,Twinspan,Twinspan2,EUNIS_REVISED,PriorCluster
NEW-OMAR-BA02,NA,-0.021455933,0.095845797,Picridi echioides-Melilotetum albi,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,40,,0,200,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Artemisietea vulgaris,Onopordetalia acanthii,Dauco-Melilotion,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-BA05,NA,0.008230617,-0.050812482,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,80,,0,10,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-BA06,NA,-0.045399496,-0.08074566,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,50,,0,50,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-BA08,NA,0.230983734,0.028458587,Comunidad de Equisetum telmateia,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,SO,5,15,NA,NA,1981,NA,NA,NA,NA,-5.694921052,43.32559713,500,225,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,V39 Mesic ruderals,V39 Eastern mesic ruderals,R55,0
NEW-OMAR-BA106,NA,0.208778442,0.118395193,Comunidad de Equisetum telmateia,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,S,10,10,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,V39 Mesic ruderals,V39 Eastern mesic ruderals,R55,0
NEW-OMAR-BA107,NA,0.016215989,0.187667914,Comunidad de Juncus inflexus y Mentha suaveolens,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,95,,0,2,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V39 Mesic ruderals,V39 Eastern mesic ruderals,R36,1
NEW-OMAR-BA108,NA,-0.111744093,0.009858153,Lolio-Plantaginetum majoris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,60,,0,5,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V35 Trampled,V35 Mesic trampled annuals,R36,1
NEW-OMAR-BA12,NA,0.004772616,0.082572932,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,4,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-BA13,NA,0.070414606,0.040101188,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,20,9,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V39 Mesic ruderals,V39 Eastern mesic ruderals,V39,9
NEW-OMAR-BA15,NA,0.027025136,0.144751611,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,S,20,9,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-BA20,NA,-0.128138501,0.007086487,Comunidad de Poa annua,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,35,SO,10,1,NA,NA,1981,NA,NA,NA,NA,-5.694921052,43.32559713,500,225,Yes,ANTHROPOGENIC VEGETATION,Polygono-Poetea annuae,Polygono arenastri-Poetalia annuae,Polygono-Coronopodion,V35 Trampled,V35 Trampled perennials,V35,6
NEW-OMAR-BA34,NA,0.000524076,-0.056710635,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,40,SE,5,16,NA,NA,1981,NA,NA,NA,NA,-5.694523235,43.31660252,500,295,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-BA38,NA,-0.029695338,-0.038106909,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,80,,0,15,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-BA39,NA,0.230828605,0.179626876,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,0,5,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V39 Mesic ruderals,V39 Eastern mesic ruderals,R36,1
NEW-OMAR-BA40,NA,0.352050987,0.057551972,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,0,20,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V39 Mesic ruderals,V39 Eastern mesic ruderals,R36,1
NEW-OMAR-BA42,NA,-0.045550004,-0.070012823,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,80,S,5,4,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-BA43,NA,0.082724317,-0.085338884,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,60,,0,12,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,V15 Weeds of rich soils,V15 Winter weeds of rich soils,V15,4
NEW-OMAR-BA58,NA,0.084086871,0.053518718,Sisymbrio officinalis-Hordeetum murini,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,95,,10,100,NA,NA,1981,NA,NA,NA,NA,-5.694921052,43.32559713,500,200,Yes,ANTHROPOGENIC VEGETATION,Sisymbrietea,Sisymbrietalia sophiae,Sisymbrion officinalis,V39 Mesic ruderals,V39 Eastern mesic ruderals,,0
NEW-OMAR-BA80,NA,0.210694273,0.193587966,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,20,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V39 Mesic ruderals,V39 Eastern mesic ruderals,R36,1
NEW-OMAR-BA82,NA,0.154113391,0.212320933,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,0,20,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V39 Mesic ruderals,V39 Eastern mesic ruderals,R36,1
NEW-OMAR-BA84,NA,0.204468809,-0.035687101,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,95,,0,100,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V39 Mesic ruderals,V39 Eastern mesic ruderals,R36,1
NEW-OMAR-BA85,NA,-0.037850036,0.123676582,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,140,NA,NA,1981,NA,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,V35 Trampled,V35 Trampled perennials,R36,1
NEW-OMAR-CA01,NA,-0.000833299,0.213135283,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,167.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.673083717,43.27902792,10,252,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
NEW-OMAR-CA02,NA,0.014406443,0.14959005,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,139.5,,0,1,NA,NA,2020,NA,NA,NA,NA,-5.67282991,43.2791419,10,252,NA,NA,NA,NA,NA,V37 Annual ruderals,V37 Dry perennial ruderals,V38,8
