SIVIMID,Relevé.number,Sintaxon,Temp,Precip,UTM10X10,UTM1X1,JuiceID,OriginalElevation,Locality,Country,ECOREG_WWF,DUNES_BOHN,Plant.Cover,Aspect,Slope,Area,SintaxonID,Authors,Year,Title,Publication,Type,DEG_LON,DEG_LAT,Accuracy,Elevation,ANTHROPIC,Vegetation,Class,Order,Alliance,EUNIS2020,EUNIS_REVISED,PCluster
NEW-OMAR-BA02,NA,Picridi echioides-Melilotetum albi,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,40,,0,200,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Artemisietea vulgaris,Onopordetalia acanthii,Dauco-Melilotion,NA,V38,0
NEW-OMAR-BA05,NA,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,80,,0,10,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,NA,V15,0
NEW-OMAR-BA06,NA,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,50,,0,50,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,NA,V15,0
NEW-OMAR-BA08,NA,Comunidad de Equisetum telmateia,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,SO,5,15,NA,NA,1981,NA,NA,NA,-5.694921052,43.32559713,500,225,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,NA,R55,0
NEW-OMAR-BA106,NA,Comunidad de Equisetum telmateia,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,S,10,10,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Convolvuletalia sepium,Senecionion fluviatilis,NA,R55,0
NEW-OMAR-BA107,NA,Comunidad de Juncus inflexus y Mentha suaveolens,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,95,,0,2,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA108,NA,Lolio-Plantaginetum majoris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,60,,0,5,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA12,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,4,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V38,0
NEW-OMAR-BA13,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,20,9,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V39,0
NEW-OMAR-BA15,NA,Comunidad de Arctium minus y Artemisia vulgaris,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,S,20,9,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Epilobietea angustifolii,Arctio lappae-Artemisietalia,Arction lappae,NA,V38,0
NEW-OMAR-BA20,NA,Comunidad de Poa annua,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,35,SO,10,1,NA,NA,1981,NA,NA,NA,-5.694921052,43.32559713,500,225,Yes,ANTHROPOGENIC VEGETATION,Polygono-Poetea annuae,Polygono arenastri-Poetalia annuae,Polygono-Coronopodion,NA,V35,0
NEW-OMAR-BA34,NA,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,40,SE,5,16,NA,NA,1981,NA,NA,NA,-5.694523235,43.31660252,500,295,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,NA,V15,0
NEW-OMAR-BA38,NA,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,80,,0,15,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,NA,V15,0
NEW-OMAR-BA39,NA,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,0,5,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA40,NA,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,0,20,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA42,NA,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,80,S,5,4,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,NA,V15,0
NEW-OMAR-BA43,NA,Fumario capreolatae-Veronicetum persicae,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,60,,0,12,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,Yes,ANTHROPOGENIC VEGETATION,Digitario sanguinalis-Eragrostietea,Eragrostietalia,Spergulo arvensis-Erodion cicutariae,NA,V15,0
NEW-OMAR-BA58,NA,Sisymbrio officinalis-Hordeetum murini,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,95,,10,100,NA,NA,1981,NA,NA,NA,-5.694921052,43.32559713,500,200,Yes,ANTHROPOGENIC VEGETATION,Sisymbrietea,Sisymbrietalia sophiae,Sisymbrion officinalis,NA,V39,0
NEW-OMAR-BA80,NA,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,20,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA82,NA,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,100,,0,20,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA84,NA,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,95,,0,100,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-BA85,NA,Comunidad de Juncus inflexus y Mentha aquatica,NA,NA,NA,NA,NA,NA,Barros,ES,NA,NA,90,,0,140,NA,NA,1981,NA,NA,NA,-5.707241301,43.32530597,500,190,?,VEGETATION OF THE NEMORAL FOREST ZONE,Molinio-Arrhenatheretea,Potentillo-Polygonetalia avicularis,Potentillion anserinae,NA,R36,0
NEW-OMAR-CA01,NA,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,167.5,,0,1,NA,NA,2020,NA,NA,NA,-5.673083717,43.27902792,10,252,NA,NA,NA,NA,NA,NA,V38,0
NEW-OMAR-CA02,NA,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,139.5,,0,1,NA,NA,2020,NA,NA,NA,-5.67282991,43.2791419,10,252,NA,NA,NA,NA,NA,NA,V38,0
NEW-OMAR-CA03,NA,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,127,,0,1,NA,NA,2020,NA,NA,NA,-5.672872063,43.27897884,10,254,NA,NA,NA,NA,NA,NA,V38,0
NEW-OMAR-CA04,NA,,NA,NA,NA,NA,NA,NA,Cadavio,ES,NA,NA,62,,0,1,NA,NA,2020,NA,NA,NA,-5.673663223,43.27875325,10,255,NA,NA,NA,NA,NA,NA,V38,0
