SIVIMID;NMDS1;NMDS2;Relevé number;Sintaxon;Temp;Precip;UTM10X10;UTM1X1;JuiceID;OriginalElevation;Locality;Country;ECOREG_WWF;DUNES_BOHN;Plant.Cover;Aspect;Slope;Area;SintaxonID;Authors;Year;Title;Publication;Type;DEG_LON;DEG_LAT;Accuracy;Elevation;ANTHROPIC;Vegetation;Class;Order;Alliance;EUNIS2020;EUNIS_REVISED;PCluster;EUNISL1;EUNISL2
NEW-OMAR-BA02;-0.022338299;0.069172982;1;Picridi echioides-Melilotetum albi;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;40;;0;200;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;NA;V38;0;Ruderal;V37
NEW-OMAR-BA05;-0.002439904;-0.030994021;1014;Fumario capreolatae-Veronicetum persicae;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;80;;0;10;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;NA;V15;0;Weed;V15A
NEW-OMAR-BA06;-0.039012126;-0.058022122;1015;Fumario capreolatae-Veronicetum persicae;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;50;;0;50;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;NA;V15;0;Weed;V15A
NEW-OMAR-BA08;0.189350929;0.000969008;2;Comunidad de Equisetum telmateia;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;100;SO;5;15;NA;NA;1981;NA;NA;NA;-5.694921052;43.32559713;500;225;Yes;ANTHROPOGENIC VEGETATION;Epilobietea angustifolii;Convolvuletalia sepium;Senecionion fluviatilis;NA;R55;0;Ruderal;V39
NEW-OMAR-BA106;0.153565961;0.106118287;3;Comunidad de Equisetum telmateia;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;100;S;10;10;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Epilobietea angustifolii;Convolvuletalia sepium;Senecionion fluviatilis;NA;R55;0;Ruderal;V39
NEW-OMAR-BA12;0.002833059;0.057069766;4;Comunidad de Arctium minus y Artemisia vulgaris;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;90;;0;4;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;NA;V38;0;Ruderal;V37
NEW-OMAR-BA13;0.048899745;0.040384994;5;Comunidad de Arctium minus y Artemisia vulgaris;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;100;;20;9;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;NA;V39;0;Ruderal;V39
NEW-OMAR-BA15;0.018605368;0.117440093;6;Comunidad de Arctium minus y Artemisia vulgaris;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;100;S;20;9;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;NA;V38;0;Ruderal;V37
NEW-OMAR-BA20;-0.102371553;0.012503651;1788;Comunidad de Poa annua;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;35;SO;10;1;NA;NA;1981;NA;NA;NA;-5.694921052;43.32559713;500;225;Yes;ANTHROPOGENIC VEGETATION;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;NA;V35;0;Trampled;V35
NEW-OMAR-BA34;-0.009076482;-0.031952846;1016;Fumario capreolatae-Veronicetum persicae;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;40;SE;5;16;NA;NA;1981;NA;NA;NA;-5.694523235;43.31660252;500;295;Yes;ANTHROPOGENIC VEGETATION;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;NA;V15;0;Weed;V15A
NEW-OMAR-BA38;-0.026591283;-0.02456473;1017;Fumario capreolatae-Veronicetum persicae;NA;NA;NA;NA;NA;NA;Barros;ES;NA;NA;80;;0;15;NA;NA;1981;NA;NA;NA;-5.707241301;43.32530597;500;190;Yes;ANTHROPOGENIC VEGETATION;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;NA;V15;0;Weed;V15A
