"SIVIMID","NMDS1","NMDS2","Relevé.number","Sintaxon","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Authors","Year","Title","Publication","Type","DEG_LON","DEG_LAT","Accuracy","Elevation","ANTHROPIC","Vegetation","Class","Order","Alliance","EUNIS2020","EUNIS_REVISED","PCluster","EUNISL1","EUNISL2"
"NEW-OMAR-BA02",-0.0223382989440666,0.06917298164713,NA,"Picridi echioides-Melilotetum albi",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,40,"",0,200,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Artemisietea vulgaris","Onopordetalia acanthii","Dauco-Melilotion",NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-BA05",-0.00243990445222396,-0.0309940205571493,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,80,"",0,10,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
"NEW-OMAR-BA06",-0.0390121261405735,-0.058022122332358,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,50,"",0,50,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
"NEW-OMAR-BA08",0.189350929432253,0.000969007568191416,NA,"Comunidad de Equisetum telmateia",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,100,"SO",5,15,NA,NA,"1981",NA,NA,NA,-5.694921052,43.32559713,"500",225,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Convolvuletalia sepium","Senecionion fluviatilis",NA,"R55",0,"Ruderal","V39"
"NEW-OMAR-BA106",0.153565961079786,0.106118286654933,NA,"Comunidad de Equisetum telmateia",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,100,"S",10,10,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Convolvuletalia sepium","Senecionion fluviatilis",NA,"R55",0,"Ruderal","V39"
"NEW-OMAR-BA12",0.0028330587239206,0.0570697659858773,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,90,"",0,4,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-BA13",0.0488997446010671,0.0403849939039399,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,100,"",20,9,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V39",0,"Ruderal","V39"
"NEW-OMAR-BA15",0.0186053681986304,0.117440093387798,NA,"Comunidad de Arctium minus y Artemisia vulgaris",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,100,"S",20,9,NA,NA,"1981",NA,NA,NA,-5.707241301,43.32530597,"500",190,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae",NA,"V38",0,"Ruderal","V37"
"NEW-OMAR-BA20",-0.102371553272111,0.0125036514582944,NA,"Comunidad de Poa annua",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,35,"SO",10,1,NA,NA,"1981",NA,NA,NA,-5.694921052,43.32559713,"500",225,"Yes","ANTHROPOGENIC VEGETATION","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion",NA,"V35",0,"Trampled","V35"
"NEW-OMAR-BA34",-0.00907648184103384,-0.0319528462613841,NA,"Fumario capreolatae-Veronicetum persicae",NA,NA,NA,NA,NA,NA,"Barros","ES",NA,NA,40,"SE",5,16,NA,NA,"1981",NA,NA,NA,-5.694523235,43.31660252,"500",295,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae",NA,"V15",0,"Weed","V15A"
