Releve number,SIVIMID,Analysis.Names,Cover.percent
2036,CS11,Carex flacca,1
2036,CS11,Carex pendula,1
2036,CS11,Centaurea nigra,2
2036,CS11,Cornus sanguinea,1
2036,CS11,Cortaderia selloana,20
2036,CS11,Crataegus monogyna,5
2036,CS11,Dactylis glomerata,2
2036,CS11,Daucus carota,2
2036,CS11,Dipsacus fullonum,7
2036,CS11,Dittrichia viscosa,1
2036,CS11,Equisetum telmateia,5
2036,CS11,Hedera helix aggr.,10
2036,CS11,Helminthotheca echioides,1
2036,CS11,Lathyrus pratensis,1
2036,CS11,Leontodon saxatilis aggr.,2
2036,CS11,Lotus corniculatus,7
2036,CS11,Melilotus albus,1
2036,CS11,Mentha suaveolens,5
2036,CS11,Paspalum dilatatum,10
2036,CS11,Pastinaca sativa aggr.,1
2036,CS11,Picris hieracioides,1
2036,CS11,Plantago lanceolata,2
2036,CS11,Populus nigra,1
2036,CS11,Potentilla reptans,1
2036,CS11,Quercus robur,1
2036,CS11,Rosa canina aggr.,1
2036,CS11,Rubus ulmifolius aggr.,30
2036,CS11,Salix atrocinerea,5
2036,CS11,Salix caprea,7
2036,CS11,Sanguisorba minor,1
2036,CS11,Sonchus oleraceus,1
2036,CS11,Sporobolus indicus,1
2036,CS11,Teucrium scorodonia,3
2036,CS11,Trifolium repens,1
2036,CS11,Ulex gallii,1
2037,CS12,Anagallis arvensis,2
2037,CS12,Buddleja davidii,10
2037,CS12,Carex divulsa,1
2037,CS12,Clematis vitalba,7
2037,CS12,Cortaderia selloana,25
2037,CS12,Epilobium hirsutum,1
2037,CS12,Euphorbia peplus,1
2037,CS12,Geranium molle,1
2037,CS12,Helminthotheca echioides,1
2037,CS12,Hypericum perforatum,2
2037,CS12,Lactuca serriola,2
2037,CS12,Lepidium virginicum,1
2037,CS12,Lotus corniculatus,1
2037,CS12,Mentha suaveolens,3
2037,CS12,Ochlopoa annua,5
2037,CS12,Oenothera rosea,1
2037,CS12,Oxalis corniculata,1
2037,CS12,Oxalis latifolia,1
2037,CS12,Piptatherum miliaceum,3
2037,CS12,Plantago lanceolata,3
2037,CS12,Plantago major,1
2037,CS12,Polygonum aviculare,1
2037,CS12,Rubus ulmifolius aggr.,10
2037,CS12,Sonchus oleraceus,1
2037,CS12,Sporobolus indicus,5
2037,CS12,Symphyotrichum squamatum,1
2037,CS12,Taraxacum sect. Taraxacum,1
2037,CS12,Torilis arvensis,1
2037,CS12,Trifolium repens,3
2037,CS12,Urtica urens,2
2037,CS12,Verbena officinalis,2
2038,CS13,Centaurea nigra,1
2038,CS13,Cornus sanguinea,1
2038,CS13,Cortaderia selloana,20
2038,CS13,Daucus carota,3
2038,CS13,Epilobium hirsutum,1
2038,CS13,Equisetum arvense,5
2038,CS13,Erigeron canadensis,1
2038,CS13,Geranium molle,3
2038,CS13,Helminthotheca echioides,2
2038,CS13,Knautia arvensis,1
2038,CS13,Lactuca serriola,1
2038,CS13,Leontodon saxatilis aggr.,5
2038,CS13,Lepidium virginicum,1
2038,CS13,Mentha suaveolens,20
2038,CS13,Mercurialis perennis,1
2038,CS13,Pastinaca sativa aggr.,3
2038,CS13,Persicaria maculosa,2
2038,CS13,Plantago lanceolata,5
2038,CS13,Potentilla reptans,3
2038,CS13,Ranunculus repens,4
2038,CS13,Rubus ulmifolius aggr.,10
2038,CS13,Rumex obtusifolius,1
2038,CS13,Senecio vulgaris,1
2038,CS13,Sonchus oleraceus,3
2038,CS13,Sonchus tenerrimus,1
2038,CS13,Trifolium repens,1
2039,CS21,Alnus glutinosa aggr.,20
2039,CS21,Anagallis arvensis,1
2039,CS21,Arundo donax,1
2039,CS21,Cardamine hirsuta,0.1
2039,CS21,Clinopodium vulgare,0.1
2039,CS21,Cortaderia selloana,75
2039,CS21,Cynodon dactylon,2
2039,CS21,Dactylis glomerata,2
2039,CS21,Dipsacus fullonum,1
2039,CS21,Dittrichia viscosa,5
2039,CS21,Foeniculum vulgare,1
2039,CS21,Galium mollugo,1
2039,CS21,Geranium molle,0.1
2039,CS21,Geranium robertianum,0.5
2039,CS21,Hypericum perforatum,2
2039,CS21,Lathyrus pratensis,1
2039,CS21,Leontodon saxatilis aggr.,0.1
2039,CS21,Lotus corniculatus,1
2039,CS21,Melilotus albus,1
2039,CS21,Mentha suaveolens,0.5
2039,CS21,Oenothera glazioviana,0.5
2039,CS21,Plantago lanceolata,0.1
2039,CS21,Potentilla reptans,1
2039,CS21,Rubus ulmifolius aggr.,5
2039,CS21,Salix atrocinerea,2
2039,CS21,Senecio vulgaris,0.1
2039,CS21,Sonchus oleraceus,0.1
2039,CS21,Sonchus tenerrimus,0.1
2039,CS21,Teucrium scorodonia,0.1
2039,CS21,Trifolium repens,1
2039,CS21,Urtica dioica,1
2040,CS22,Agrostis stolonifera,30
2040,CS22,Beta vulgaris,0.5
2040,CS22,Calystegia sepium,0.5
2040,CS22,Centaurea nigra,0.5
2040,CS22,Cortaderia selloana,50
2040,CS22,Dactylis glomerata,1
2040,CS22,Dittrichia viscosa,2
2040,CS22,Elytrigia atherica,5
2040,CS22,Euphorbia portlandica,0.1
2040,CS22,Foeniculum vulgare,1
2040,CS22,Galium mollugo,2
2040,CS22,Geranium robertianum,0.5
2040,CS22,Helminthotheca echioides,0.1
2040,CS22,Lathyrus pratensis,0.1
2040,CS22,Leontodon saxatilis aggr.,0.1
2040,CS22,Lotus corniculatus,0.5
2040,CS22,Medicago orbicularis,0.1
2040,CS22,Medicago sativa,0.5
2040,CS22,Potentilla reptans,0.1
2040,CS22,Rubus ulmifolius aggr.,5
2040,CS22,Rumex crispus,2
2040,CS22,Senecio vulgaris,0.1
2040,CS22,Silene vulgaris,0.5
2040,CS22,Sonchus tenerrimus,0.1
2040,CS22,Stenotaphrum secundatum,0.5
2040,CS22,Teucrium scorodonia,0.1
2040,CS22,Trifolium repens,0.1
2040,CS22,Ulex europaeus,2
2041,CS23,Agrostis stolonifera,1
2041,CS23,Centaurea nigra,1
2041,CS23,Cirsium arvense,0.1
2041,CS23,Cortaderia selloana,30
2041,CS23,Dactylis glomerata,50
2041,CS23,Dittrichia viscosa,5
2041,CS23,Equisetum telmateia,10
2041,CS23,Galium mollugo,0.5
2041,CS23,Lotus corniculatus,1
2041,CS23,Medicago sativa,0.1
2041,CS23,Rubia peregrina,0.1
2041,CS23,Rubus ulmifolius aggr.,5
2041,CS23,Ulex europaeus,5
2042,CS31,Agrostis capillaris,1
2042,CS31,Angelica pachycarpa,0.1
2042,CS31,Asphodelus albus,0.5
2042,CS31,Calluna vulgaris,10
2042,CS31,Cortaderia selloana,5
2042,CS31,Erica ciliaris,10
2042,CS31,Erica cinerea,5
2042,CS31,Erica mackaiana,5
2042,CS31,Gentiana pneumonanthe,0.1
2042,CS31,Laurus nobilis,5
2042,CS31,Lonicera periclymenum,1
2042,CS31,Molinia caerulea,5
2042,CS31,Rubus ulmifolius aggr.,5
2042,CS31,Salix repens,1
2042,CS31,Smilax aspera,0.5
2042,CS31,Ulex europaeus,55
2043,CS32,Agrostis capillaris,1
2043,CS32,Angelica pachycarpa,0.5
2043,CS32,Briza maxima,0.1
2043,CS32,Centaurea nigra,1
2043,CS32,Clinopodium nepeta,0.1
2043,CS32,Cortaderia selloana,5
2043,CS32,Dactylis glomerata,50
2043,CS32,Daucus carota,1
2043,CS32,Geranium robertianum,0.1
2043,CS32,Glandora diffusa,0.5
2043,CS32,Helminthotheca echioides,1
2043,CS32,Holcus lanatus,1
2043,CS32,Leucanthemum ircutianum aggr.,0.1
2043,CS32,Lotus corniculatus,1
2043,CS32,Paspalum dilatatum,5
2043,CS32,Plantago lanceolata,0.1
2043,CS32,Pteridium aquilinum,25
2043,CS32,Smilax aspera,2
2043,CS32,Ulex europaeus,10
2044,CS33,Asplenium adiantum-nigrum aggr.,0.1
2044,CS33,Brachypodium sylvaticum,30
2044,CS33,Clinopodium nepeta,0.1
2044,CS33,Cortaderia selloana,1
2044,CS33,Daucus carota,1
2044,CS33,Eucalyptus globulus,80
2044,CS33,Foeniculum vulgare,1
2044,CS33,Galium mollugo,1
2044,CS33,Geranium robertianum,0.1
2044,CS33,Laurus nobilis,5
2044,CS33,Lonicera periclymenum,0.5
2044,CS33,Lotus corniculatus,1
2044,CS33,Polypodium cambricum,5
2044,CS33,Potentilla reptans,0.1
2044,CS33,Pteridium aquilinum,10
2044,CS33,Rubus ulmifolius aggr.,30
2044,CS33,Salix atrocinerea,2
2044,CS33,Smilax aspera,2
2044,CS33,Sonchus oleraceus,0.1
2044,CS33,Sporobolus indicus,5
2044,CS33,Ulex europaeus,5
2045,NEW-OMAR-BA02,Agrostis canina,37.5
2045,NEW-OMAR-BA02,Allium sphaerocephalon,1
2045,NEW-OMAR-BA02,Anagallis arvensis,5
2045,NEW-OMAR-BA02,Antirrhinum braun-blanquetii,1
2045,NEW-OMAR-BA02,Arctium minus,5
2045,NEW-OMAR-BA02,Artemisia vulgaris,1
2045,NEW-OMAR-BA02,Blackstonia perfoliata aggr.,5
2045,NEW-OMAR-BA02,Centaurium erythraea,5
2045,NEW-OMAR-BA02,Ceratochloa cathartica,1
2045,NEW-OMAR-BA02,Cirsium vulgare,5
2045,NEW-OMAR-BA02,Dactylis glomerata,1
2045,NEW-OMAR-BA02,Daucus carota,5
2045,NEW-OMAR-BA02,Dipsacus fullonum,5
2045,NEW-OMAR-BA02,Dittrichia graveolens,5
2045,NEW-OMAR-BA02,Dysphania ambrosioides,5
2045,NEW-OMAR-BA02,Erigeron bonariensis,15
