"Analysis.Names","heightmean","heightmax","floweringmin","floweringmax","floweringmean","floweringwidth","alien","bryophyte","chamaephyte","geophyte","hemicryptophyte","hydrophyte","therophyte","phanerophyte","repetido","EIVE1.M","EIVE1.N","EIVE1.R","EIVE1.L","EIVE1.T","Disturbance.Severity","Disturbance.Severity.herblayer","Disturbance.Frequency","Disturbance.Frequency.herblayer","Mowing.Frequency","Grazing.Pressure","Soil.Disturbance"
"Acer pseudoplatanus",3000,3000,4,5,4.5,2,0,0,0,0,0,0,0,1,0,5,6.9,5.9,3.8,4.2,0.68705,0.16985,0.0706,1.32057,0.02196,0.18337,0.11293
"Achillea ageratum",15,70,5,10,7.5,6,0,0,0,0,0,0,0,0,0,5.5,4.4,6,8,6.8,0.67778,0.65111,1.24586,1.87759,0.55385,0.28372,0.32444
"Achillea maritima",10,50,1,12,6.5,12,0,0,1,0,0,0,0,0,0,2.6,4.5,6,9.1,7,0.40794,0.40658,2.04141,2.06712,0.00481,0.11787,0.73044
"Achillea millefolium",12,80,6,11,8.5,6,0,0,0,0,0,0,0,0,0,3.7,5.1,5.5,7.3,3.6,NA,NA,NA,NA,NA,NA,NA
"Achillea odorata",7,30,6,8,7,3,0,0,0,0,0,0,0,0,0,2.4,2.2,7.9,7.8,4.4,0.52574,0.44667,0.94374,1.90408,0.57641,0.39574,0.23188
"Achillea thracica",NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,2.2,NA,6.4,NA,5.8,NA,NA,NA,NA,NA,NA,NA
"Aconitum lycoctonum aggr.",NA,NA,6,9,7.5,4,0,0,0,0,1,0,0,0,0,5.2,7.1,6.8,4.3,2.7,0.63676,0.16715,0.11633,1.22945,0.01862,0.17755,0.09836
"Aconitum napellus",200,200,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,6,7.6,6.8,6.1,3.2,NA,NA,NA,NA,NA,NA,NA
"Adenocarpus complicatus aggr.",300,300,4,10,7,7,0,0,0,0,0,0,0,1,0,2.4,3.3,2.9,7.9,6.9,0.38333,0.1741,0.43947,1.31488,0.00596,0.26934,0.10365
"Adenostyles alpina",60,60,7,8,7.5,2,0,0,0,0,0,0,0,0,0,5.4,5,8.8,5.1,1.6,0.63152,0.14566,0.08768,1.1527,0.00901,0.19069,0.10566
"Aegilops geniculata",60,40,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.9,4,7.4,8.7,6.5,0.77176,0.72822,1.27204,1.9407,0.44058,0.31268,0.36372
"Aegilops triuncialis",70,51,5,7,6,3,0,0,0,0,0,0,1,0,0,2,5.3,6.6,9,7,0.67276,0.63746,1.2048,1.96183,0.5563,0.29905,0.32573
"Aegonychon purpurocaeruleum",150,60,4,5,4.5,2,0,0,0,0,0,0,0,0,0,3.4,3.9,7.8,4.9,5.6,0.68578,0.12238,0.03342,1.30818,0.01681,0.20725,0.10024
"Aethusa cynapium",100,80,6,8,7,3,0,0,0,0,0,0,1,0,0,4.5,6.8,7.3,5.9,4.2,0.80849,0.76598,1.10771,1.78759,0.48072,0.15284,0.69388
"Agrimonia eupatoria",100,150,5,10,7.5,6,0,0,0,0,0,0,0,0,0,3.7,4.6,7.4,6.8,4.8,0.54101,0.43842,0.83225,1.69485,0.60411,0.24194,0.19299
"Agrostemma githago",100,100,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.9,5.3,6.1,7.5,4.7,0.89201,0.88991,2.03298,2.12148,0.28503,0.10406,0.87023
"Agrostis canina",40,65,7,8,7.5,2,0,0,0,0,0,0,0,0,0,6.6,2.1,3,7.6,3.7,0.39908,0.33733,1.05421,1.56112,0.43687,0.21865,0.16903
"Agrostis capillaris",30,65,6,8,7,3,0,0,0,0,0,0,0,0,0,4.2,3.7,3.5,6.7,3.9,0.52099,0.43132,0.86379,1.80498,0.57578,0.29897,0.2949
"Agrostis castellana",20,85,6,8,7,3,0,0,0,0,0,0,0,0,0,3.9,3.2,4.7,8,5.2,0.47418,0.34848,0.72333,1.60782,0.26124,0.3262,0.19946
"Agrostis curtisii aggr.",18,75,6,7,6.5,2,0,0,0,0,1,0,0,0,0,4.4,1.2,2,7.7,4.5,0.50175,0.33706,0.63145,1.56723,0.30709,0.3334,0.16326
"Agrostis stolonifera",25,105,5,8,6.5,4,0,0,0,0,0,0,0,0,0,5.8,5.3,6,7.7,4.2,0.47931,0.44635,1.23503,1.80321,0.45794,0.34582,0.21757
"Agrostis x dimorpholemma",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea",45,40,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.3,1.8,3.6,8.9,4.9,0.47578,0.42311,1.13458,1.95739,0.50313,0.33193,0.32762
"Aira praecox",150,25,4,8,6,5,0,0,0,0,0,0,1,0,0,2.2,1.5,2.2,8.8,4.8,0.41215,0.39466,1.53945,1.89683,0.44628,0.34445,0.37528
"Ajuga reptans",60,40,4,7,5.5,4,0,0,0,0,0,0,0,0,0,5,5.8,5.6,5.3,4.1,0.6253,0.28029,0.23835,1.4655,0.18483,0.18945,0.16464
"Alchemilla catalaunica",58,30,5,8,6.5,4,0,0,0,0,0,0,0,0,0,3.4,1.8,7.1,8.1,2.1,0.37778,0.34851,1.25385,1.71072,0.15057,0.35094,0.13774
"Alchemilla xanthochlora",10,80,5,8,6.5,4,0,0,0,0,0,0,0,0,0,5.3,5.3,6,6,3,0.50608,0.41921,0.86313,1.49154,0.50629,0.20844,0.23898
"Alisma lanceolatum",120,140,5,8,6.5,4,0,0,0,0,0,1,0,0,0,8.1,6,6.9,7.1,5.1,0.35053,0.33658,1.41619,1.75262,0.19886,0.13169,0.14182
"Alisma plantago-aquatica",20,120,6,10,8,5,0,0,0,0,1,1,0,0,0,8.2,7.2,6.4,6.8,4.4,0.33048,0.31082,1.31097,1.72473,0.18333,0.10498,0.11888
"Alkanna tinctoria",30,40,2,6,4,5,0,0,0,0,1,0,0,0,0,1.7,2.6,8.1,8.2,6.6,0.60654,0.48559,0.86156,1.70513,0.25716,0.33394,0.31622
"Alliaria petiolata",120,100,4,7,5.5,4,0,0,0,0,0,0,0,0,0,4.6,8.8,7,4.4,4.6,0.67947,0.25214,0.1495,1.33661,0.07498,0.19025,0.12819
"Allium ampeloprasum",100,138,5,6,5.5,2,0,0,0,1,0,0,0,0,0,3.3,6.4,6.5,7.9,6.3,0.67239,0.59928,0.86544,1.23052,0.42735,0.22794,0.29618
"Allium oleraceum",200,75,7,9,8,3,0,0,0,1,0,0,0,0,0,3.3,4.5,6.5,6.5,4.5,0.54919,0.41684,0.6876,1.67986,0.47562,0.23933,0.20557
"Allium roseum",80,65,3,6,4.5,4,0,0,0,1,0,0,0,0,0,3.1,5.2,6.9,7.3,6.7,0.68834,0.57689,0.77511,1.56683,0.44138,0.28274,0.26527
"Allium sphaerocephalon",150,70,5,8,6.5,4,0,0,0,1,0,0,0,0,0,2.6,2.5,7.8,8.8,5.7,0.49984,0.42364,1.0145,1.72375,0.31065,0.35234,0.22323
"Allium triquetrum",200,59,1,5,3,5,0,0,0,1,0,0,0,0,0,3.4,7.3,6.9,5.7,7.2,0.64704,0.26015,0.21614,1.3344,0.07776,0.2359,0.1354
"Allium ursinum",80,45,3,6,4.5,4,0,0,0,1,0,0,0,0,0,5.3,7.8,7.4,2.2,4.4,0.6921,0.16471,0.05865,1.32589,0.01073,0.18211,0.1025
"Allium victorialis",40,77,5,7,6,3,0,0,0,1,0,0,0,0,0,4.7,5.1,6,6.6,2.6,0.47364,0.22909,0.38258,0.958,0.04438,0.21,0.08721
"Allium vineale",400,100,6,7,6.5,2,0,0,0,1,0,0,0,0,0,3.6,6.2,6.6,6,5,0.55839,0.50166,1.04201,1.86787,0.66813,0.20341,0.34605
"Alnus glutinosa aggr.",2500,2500,1,5,3,5,0,0,0,0,0,0,0,1,0,7.2,5.9,5.7,5.2,4.3,0.64769,0.28979,0.2261,1.36567,0.04776,0.18056,0.11129
"Alopecurus aequalis",14,45,5,8,6.5,4,0,0,0,0,1,0,1,0,0,7.4,8.2,5.8,8.2,3.7,0.56593,0.55703,1.57384,1.78688,0.09204,0.15919,0.25271
"Alopecurus myosuroides",40,63,3,7,5,5,0,0,0,0,0,0,1,0,0,4.4,6.5,6.7,6.9,5.1,0.78906,0.77595,1.55617,1.94638,0.70626,0.19402,0.67527
"Alopecurus pratensis",80,129,2,7,4.5,6,0,0,0,0,0,0,0,0,0,5.2,7,5.9,6.6,4,0.52233,0.50852,1.51649,1.89198,1.13393,0.22116,0.28429
"Althaea hirsuta",150,70,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.2,4.2,7.6,7.7,6.2,0.67268,0.63474,1.38245,1.86136,0.45401,0.29516,0.34785
