"","Sintaxon"
"1",""
"95","Asociación de Juncus inflexus-Mentha longifolia"
"96","Associació-Desconeguda"
"128","Atropetum belladonnae"
"129","BF03"
"132","Bidentetea tripartitae"
"134","Centaureo nemoralis-Origanetum vulgaris"
"135","Cochlearia officinalis-Senecio aquaticus"
"136","Com. de Juncus conglomeratus-Juncus effusus"
"137","comunidad de Althaea officinalis y Epilobium hirsutum"
"138","Comunidad de Crypsis schoenoides y Cyperus fuscus"
"139","Comunidad de Epilobium angustifolium y Digitalis purpurea"
"140","Comunidad de Epilobium parviflorum y Eupatorium cannabinum"
"144","Comunidad de Eupatorium cannabinum"
"146","comunidad de Helianthus x laetiflorus"
"147","Comunidad de Juncus bufonius"
"148","Comunidad de Linaria triornithophora"
"149","comunidad de Mentha longifolia y Epilobium hirsutum"
"152","comunidad de Mentha pulegium y Chamaemelum nobile"
"153","Comunidad de Oenanthe crocata"
"154","Comunidad de Paspalum paspalodes"
"156","comunidad de Potentilla anserina"
"157","Comunidad de Spergularia capillacea y Carex hirta"
"158","Comunidades higrófilas"
"160","Comunidades ruderales"
"163","Cyperetum flavescentis"
"164","Cypero-Caricetum otrubae"
"165","Cypero eragrostidi-Bidentetum frondosae"
"195","Erucastro nasturtiifolii-Calamagrostietum pseudophragmitis"
"196","Filaginello uliginosae-Bidentetum tripartitae"
"204","Gnaphalio uliginosi-Spergularietum capillaceae"
"205","Junco compressi-Caricetum divisae"
"207","Junco maritimi-Elymetum pycnanthi"
"208","Mentho suaveolentis-Juncetum inflexi"
"209","Mesobromion erecti"
"210","Oenanthetum crocatae"
"212","Origanetalia vulgaris"
"213","Paspalo-Agrostietum semiverticillatae"
"224","Picridio hieracioidis-Eupatorietum cannabini"
"226","Picrido hieracioidis-Eupatorietum cannabinii"
"240","Potentillo reptantis-Menthetum suaveolentis"
"241","Quercetum roboris gallaecicum"
"242","Ranunculetum saniculifolii"
"246","Rhamno-Juniperetum lyciae"
"254","Rorippo-Agrostietum stoloniferae"
"255","Rumici obtusifolii-Oenanthetum"
"257","Sagina maritimae-Catapodietum maritimae"
"260","Sagino maritimae-Catapodietum marinae"
"261","Sanguisorbo hybridae-Quercetum suberis"
"263","Scrophulario sciophilae-Iberidetum hegelmaieri"
"264","Sedetum micrantho-pyrenaici"
"265","SJ12"
"266","Solano dulcamarae-Epilobietum hirsuti"
"275","Spergulario capillaceae-Ranunculetum nodiflori"
"276","Spergulario marinae-Cotuletum coronopifoliae"
"277","Spergulario rupicolae-Sedetum anglici"
"278","Trifolio medii-Lathyretum nigri"
"280","Triseto hispidi-Rumicetum suffruticosi"
"281",NA
