Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
1;210;1;210;R-P22293;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;S;NA;2;1999;-8.094693036;41.90378497;1 - UTM1x1 + Elevation;390;V32
2;655;1;655;T-P06649;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;25;1995;-7;43;5 - UTMs missing from DEM;370;V32
3;611;1;611;T-P06587;V39;V;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Balloto-Conion maculati;Urtico dioicae-Sambucetum ebuli;;NA;40;1995;-1.917188316;42.77916673;1 - UTM1x1 + Elevation;590;V32
4;374;1;374;S-P12074;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1975;-6.555973863;43.55558765;3 - UTM10x10 + Elevation;15;V32
5;1490;1;1490;T-P12083;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;100;1988;-6.678433678;42.507273;3 - UTM10x10 + Elevation;510;V32
6;7;1;7;NEW-OMAR-BA58;V39;NA;Ruderal;V39;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;10;100;1981;-5.694921052;43.32559713;500;200;V32
7;824;1;824;T-P13238;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1997;-3.227958271;42.84889796;1 - UTM1x1 + Elevation;750;V32
8;820;1;820;T-P13233;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1997;-1.912393755;42.77371811;1 - UTM1x1 + Elevation;590;V32
9;829;1;829;T-P13243;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;30;1997;-2.385322996;42.91051165;1 - UTM1x1 + Elevation;660;V32
10;823;1;823;T-P13237;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1997;-2.34619854;42.67075192;2 - UTM1x1 + Centroid;520;V32
11;828;1;828;T-P13242;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;20;1997;-2.405321462;42.86919324;2 - UTM1x1 + Centroid;630;V32
12;925;1;925;T-P36745;V37;V32;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;;0;40;1993;-7.529886802;42.50193964;1 - UTM1x1 + Elevation;290;V32
13;819;1;819;T-P13205;V38;V33;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Pastinaca sylvestris y Heracleum sphondylium;;NA;12;1997;-1.67676298;42.70279721;3 - UTM10x10 + Elevation;620;V32
14;266;1;266;R-P24576;V38;V38;Ruderal;V39;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;W;3;8;2012;-6.817371617;42.43068973;1 - UTM1x1 + Elevation;366;V32
15;654;1;654;T-P06646;V38;V33;Ruderal;V37;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;30;1995;-1.520438721;42.70448639;1 - UTM1x1 + Elevation;600;V32
16;808;1;808;T-P12302;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;2;1988;-6.287384393;42.93877365;3 - UTM10x10 + Elevation;1000;V32
