Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation
558;1;3;1;NEW-OMAR-BA02;V38;NA;Ruderal;V37;0;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;Picridi echioides-Melilotetum albi;;0;200;1981;-5.707241301;43.32530597;500;190
1742;1014;5;1014;NEW-OMAR-BA05;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;;0;10;1981;-5.707241301;43.32530597;500;190
2192;1015;5;1015;NEW-OMAR-BA06;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;;0;50;1981;-5.707241301;43.32530597;500;190
958;2;3;2;NEW-OMAR-BA08;R55;NA;Ruderal;V39;0;Epilobietea angustifolii;Convolvuletalia sepium;Senecionion fluviatilis;Comunidad de Equisetum telmateia;SO;5;15;1981;-5.694921052;43.32559713;500;225
950;3;3;3;NEW-OMAR-BA106;R55;NA;Ruderal;V39;0;Epilobietea angustifolii;Convolvuletalia sepium;Senecionion fluviatilis;Comunidad de Equisetum telmateia;S;10;10;1981;-5.707241301;43.32530597;500;190
491;4;3;4;NEW-OMAR-BA12;V38;NA;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;;0;4;1981;-5.707241301;43.32530597;500;190
884;5;3;5;NEW-OMAR-BA13;V39;NA;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;;20;9;1981;-5.707241301;43.32530597;500;190
476;6;3;6;NEW-OMAR-BA15;V38;NA;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Comunidad de Arctium minus y Artemisia vulgaris;S;20;9;1981;-5.707241301;43.32530597;500;190
1236;1788;4;1788;NEW-OMAR-BA20;V35;NA;Trampled;V35;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Comunidad de Poa annua;SO;10;1;1981;-5.694921052;43.32559713;500;225
1852;1016;5;1016;NEW-OMAR-BA34;V15;NA;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Fumario capreolatae-Veronicetum persicae;SE;5;16;1981;-5.694523235;43.31660252;500;295
