"SIVIMID","Revised.sintaxon"
"Q-P09810","Paspalo-Agrostion semiverticillati"
"Q-P09811","Paspalo-Agrostion semiverticillati"
"Q-P09812","Paspalo-Agrostion semiverticillati"
"Q-P09813","Paspalo-Agrostion semiverticillati"
"Q-P10407","Paspalo-Agrostion semiverticillati"
"Q-P10408","Paspalo-Agrostion semiverticillati"
"R-P15005","Paspalo-Agrostion semiverticillati"
"R-P24335","Paspalo-Agrostion semiverticillati"
"R-P24336","Paspalo-Agrostion semiverticillati"
"S-P18419","Paspalo-Agrostion semiverticillati"
"T-P07838","Paspalo-Agrostion semiverticillati"
"T-P07841","Paspalo-Agrostion semiverticillati"
"T-P07850","Paspalo-Agrostion semiverticillati"
"T-P07851","Paspalo-Agrostion semiverticillati"
"T-P07852","Paspalo-Agrostion semiverticillati"
"T-P07855","Paspalo-Agrostion semiverticillati"
"T-P07856","Paspalo-Agrostion semiverticillati"
"T-P07857","Paspalo-Agrostion semiverticillati"
"T-P07858","Paspalo-Agrostion semiverticillati"
"T-P07859","Paspalo-Agrostion semiverticillati"
"T-P07860","Paspalo-Agrostion semiverticillati"
"T-P18089","Paspalo-Agrostion semiverticillati"
"U-P12293","Bidention tripartitae"
"U-P12294","Bidention tripartitae"
"U-P12295","Bidention tripartitae"
"U-P12296","Bidention tripartitae"
"U-P12297","Bidention tripartitae"
"U-P12298","Bidention tripartitae"
"U-P12299","Bidention tripartitae"
"U-P12300","Bidention tripartitae"
"U-P12301","Bidention tripartitae"
"U-P12302","Bidention tripartitae"
"U-P12303","Bidention tripartitae"
"U-P12304","Bidention tripartitae"
"U-P12305","Bidention tripartitae"
"U-P12306","Bidention tripartitae"
"U-P12307","Bidention tripartitae"
"U-P12308","Bidention tripartitae"
"U-P12309","Bidention tripartitae"
"U-P12310","Bidention tripartitae"
"U-P12311","Bidention tripartitae"
"U-P12312","Bidention tripartitae"
"U-P12313","Bidention tripartitae"
"U-P12314","Bidention tripartitae"
"U-P12315","Bidention tripartitae"
"U-P12316","Bidention tripartitae"
"U-P12317","Bidention tripartitae"
"U-P12318","Bidention tripartitae"
"U-P12319","Bidention tripartitae"
"U-P12320","Bidention tripartitae"
"U-P12321","Bidention tripartitae"
"U-P12322","Bidention tripartitae"
"U-P12323","Paspalo-Agrostion semiverticillati"
"U-P12324","Paspalo-Agrostion semiverticillati"
"U-P12325","Paspalo-Agrostion semiverticillati"
"U-P12326","Paspalo-Agrostion semiverticillati"
"U-P12327","Bidention tripartitae"
"U-P12328","Bidention tripartitae"
"U-P12329","Paspalo-Agrostion semiverticillati"
"U-P12330","Paspalo-Agrostion semiverticillati"
