"SIVIMID","Revised.sintaxon"
"Q-P07114","Potentillion anserinae"
"Q-P07115","Potentillion anserinae"
"Q-P07119","Potentillion anserinae"
"Q-P07768","Potentillion anserinae"
"Q-P07769","Potentillion anserinae"
"Q-P07770","Potentillion anserinae"
"Q-P07777","Cynancho-Convolvulion sepium"
"Q-P07778","Cynancho-Convolvulion sepium"
"Q-P07779","Cynancho-Convolvulion sepium"
"Q-P07780","Cynancho-Convolvulion sepium"
"Q-P07781","Cynancho-Convolvulion sepium"
"Q-P07782","Cynancho-Convolvulion sepium"
"Q-P09840","Potentillion anserinae"
"Q-P09959","Potentillion anserinae"
"Q-P09962","Potentillion anserinae"
"Q-P10413","Potentillion anserinae"
"Q-P10414","Potentillion anserinae"
"Q-P10415","Potentillion anserinae"
"R-P14747","Cynancho-Convolvulion sepium"
"R-P14830","Cynancho-Convolvulion sepium"
"R-P15228","Cynancho-Convolvulion sepium"
"R-P15231","Potentillion anserinae"
"R-P15232","Potentillion anserinae"
"R-P15234","Potentillion anserinae"
"R-P15235","Potentillion anserinae"
"R-P15236","Potentillion anserinae"
"R-P15239","Potentillion anserinae"
"R-P15241","Potentillion anserinae"
"R-P15242","Potentillion anserinae"
"R-P15354","Cynancho-Convolvulion sepium"
"R-P20105","Cynancho-Convolvulion sepium"
"R-P20515","Potentillion anserinae"
"R-P22248","Cynancho-Convolvulion sepium"
"R-P23904","Potentillion anserinae"
"R-P23906","Potentillion anserinae"
"R-P23908","Potentillion anserinae"
"R-P23909","Potentillion anserinae"
"R-P23911","Potentillion anserinae"
"R-P23913","Cynancho-Convolvulion sepium"
"R-P23914","Cynancho-Convolvulion sepium"
"R-P24678","Cynancho-Convolvulion sepium"
"R-P24680","Cynancho-Convolvulion sepium"
"R-P24681","Cynancho-Convolvulion sepium"
"R-P24682","Cynancho-Convolvulion sepium"
"R-P25000","Potentillion anserinae"
"R-P25002","Potentillion anserinae"
"R-P25003","Potentillion anserinae"
"R-P25008","Cynancho-Convolvulion sepium"
"R-P29086","Potentillion anserinae"
"S-P10950","Cynancho-Convolvulion sepium"
"S-P10951","Cynancho-Convolvulion sepium"
"S-P10952","Cynancho-Convolvulion sepium"
"S-P10953","Cynancho-Convolvulion sepium"
"S-P10956","Cynancho-Convolvulion sepium"
"S-P10958","Cynancho-Convolvulion sepium"
"S-P10972","Cynancho-Convolvulion sepium"
"S-P10973","Cynancho-Convolvulion sepium"
"S-P10974","Cynancho-Convolvulion sepium"
"S-P11017","Potentillion anserinae"
"S-P11097","Potentillion anserinae"
"S-P11098","Potentillion anserinae"
"S-P11100","Potentillion anserinae"
"S-P11106","Potentillion anserinae"
"S-P11145","Potentillion anserinae"
"S-P11148","Potentillion anserinae"
"S-P11838","Cynancho-Convolvulion sepium"
"S-P12051","Potentillion anserinae"
"S-P12084","Potentillion anserinae"
"S-P12090","Potentillion anserinae"
"S-P12108","Potentillion anserinae"
"S-P12112","Potentillion anserinae"
"S-P14557","Cynancho-Convolvulion sepium"
"S-P14558","Cynancho-Convolvulion sepium"
"S-P14561","Cynancho-Convolvulion sepium"
"S-P15161","Potentillion anserinae"
"S-P15175","Potentillion anserinae"
"S-P15176","Potentillion anserinae"
"S-P15183","Potentillion anserinae"
"S-P15195","Cynancho-Convolvulion sepium"
"S-P15198","Potentillion anserinae"
"S-P16049","Cynancho-Convolvulion sepium"
"S-P16054","Cynancho-Convolvulion sepium"
"S-P18027","Potentillion anserinae"
"S-P18276","Potentillion anserinae"
"S-P18419","Potentillion anserinae"
"S-P19646","Potentillion anserinae"
"S-P20320","Cynancho-Convolvulion sepium"
"S-P20348","Potentillion anserinae"
"S-P20354","Potentillion anserinae"
"S-P20428","Potentillion anserinae"
"S-P24686","Potentillion anserinae"
"S-P25112","Potentillion anserinae"
"S-P25131","Potentillion anserinae"
"S-P25165","Cynancho-Convolvulion sepium"
"S-P25258","Potentillion anserinae"
"T-P03115","Potentillion anserinae"
"T-P04829","Potentillion anserinae"
"T-P04832","Potentillion anserinae"
"T-P05190","Cynancho-Convolvulion sepium"
"T-P05323","Potentillion anserinae"
"T-P05324","Potentillion anserinae"
"T-P05334","Potentillion anserinae"
"T-P06540","Cynancho-Convolvulion sepium"
"T-P06934","Potentillion anserinae"
