"SIVIMID","Revised.sintaxon"
"Q-P08972","Epilobion angustifolii"
"Q-P08978","Epilobion angustifolii"
"Q-P08979","Epilobion angustifolii"
"R-P07261","Epilobion angustifolii"
"R-P22028","Epilobion angustifolii"
"R-P24581","Epilobion angustifolii"
"R-P24705","Epilobion angustifolii"
"S-P11290","Epilobion angustifolii"
"S-P11293","Epilobion angustifolii"
"S-P19748","Epilobion angustifolii"
"S-P21815","Epilobion angustifolii"
"S-P24278","Epilobion angustifolii"
"S-P24280","Epilobion angustifolii"
"T-P09654","Epilobion angustifolii"
"T-P11635","Epilobion angustifolii"
"T-P11759","Epilobion angustifolii"
"T-P12180","Epilobion angustifolii"
"T-P18308","Epilobion angustifolii"
"T-P27333","Epilobion angustifolii"
"T-P32083","Epilobion angustifolii"
"U-P00152","Epilobion angustifolii"
"U-P00667","Epilobion angustifolii"
"U-P12220","Epilobion angustifolii"
