"SIVIMID","Revised.sintaxon"
"Q-P07050","Polycarpion tetraphylli"
"Q-P07051","Polycarpion tetraphylli"
"Q-P07116","Polycarpion tetraphylli"
"Q-P11853","Polycarpion tetraphylli"
"Q-P11857","Polycarpion tetraphylli"
"R-P09860","Polycarpion tetraphylli"
"R-P22300","Polycarpion tetraphylli"
"R-P22301","Polycarpion tetraphylli"
"R-P22302","Polycarpion tetraphylli"
"S-P12088","Polycarpion tetraphylli"
"S-P15177","Polycarpion tetraphylli"
"S-P19594","Polycarpion tetraphylli"
"T-P05138","Polycarpion tetraphylli"
"T-P15249","Polycarpion tetraphylli"
"T-P15253","Polycarpion tetraphylli"
"T-P15254","Polycarpion tetraphylli"
"T-P15255","Polycarpion tetraphylli"
"T-P15256","Polycarpion tetraphylli"
"T-P15261","Polycarpion tetraphylli"
"T-P15262","Polycarpion tetraphylli"
"T-P15263","Polycarpion tetraphylli"
"T-P15264","Polycarpion tetraphylli"
"T-P15265","Polycarpion tetraphylli"
"T-P28146","Polycarpion tetraphylli"
"U-P06399","Polycarpion tetraphylli"
"U-P06400","Polycarpion tetraphylli"
"U-P13639","Polycarpion tetraphylli"
"U-P15818","Polycarpion tetraphylli"
"U-P15819","Polycarpion tetraphylli"
"U-P15820","Polycarpion tetraphylli"
"U-P15821","Polycarpion tetraphylli"
"U-P15822","Polycarpion tetraphylli"
"U-P15844","Polycarpion tetraphylli"
"U-P15845","Polycarpion tetraphylli"
"U-P16371","Polycarpion tetraphylli"
