"SIVIMID","Revised.sintaxon"
"Q-P09986","Polycarpion tetraphylli"
"Q-P09989","Polycarpion tetraphylli"
"Q-P09991","Polycarpion tetraphylli"
"Q-P09993","Polycarpion tetraphylli"
"Q-P09995","Polycarpion tetraphylli"
"Q-P09998","Polycarpion tetraphylli"
"Q-P09999","Polycarpion tetraphylli"
"Q-P10001","Polycarpion tetraphylli"
"Q-P10002","Polycarpion tetraphylli"
"Q-P10003","Polycarpion tetraphylli"
"Q-P10004","Polycarpion tetraphylli"
"R-P22313","Polycarpion tetraphylli"
"R-P22314","Polycarpion tetraphylli"
"R-P24596","Polycarpion tetraphylli"
"R-P24600","Polycarpion tetraphylli"
"R-P24613","Polycarpion tetraphylli"
"T-P02916","Polycarpion tetraphylli"
"T-P02917","Polycarpion tetraphylli"
"T-P02918","Polycarpion tetraphylli"
"T-P13130","Polycarpion tetraphylli"
"T-P15267","Polycarpion tetraphylli"
"T-P36828","Polycarpion tetraphylli"
