"","SIVIMID","NMDS1","NMDS2","Relevé.number","Semisupervised","Revised.alliance","Alliance","Sintaxon","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"1","NEW-OMAR-BA02",-0.00054659220186989,3.2169972519947e-05,1,1,"Dauco-Melilotion","Dauco-Melilotion","Picridi echioides-Melilotetum albi",NA,"",0,200,"1981",-5.707241301,43.32530597,"500",190
"2","NEW-OMAR-BA05",0.00206814596774198,-0.00134156119919685,1014,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,10,"1981",-5.707241301,43.32530597,"500",190
"3","NEW-OMAR-BA06",0.00574032029384107,-0.000387104691311202,1015,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,50,"1981",-5.707241301,43.32530597,"500",190
"4","NEW-OMAR-BA34",0.00257695589178278,-0.00178622456001322,1016,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"SE",5,16,"1981",-5.694523235,43.31660252,"500",295
"5","NEW-OMAR-BA38",0.00307128460460593,0.000270892410319328,1017,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,15,"1981",-5.707241301,43.32530597,"500",190
"6","NEW-OMAR-BA42",0.00582811991623343,-0.000108447978646798,1018,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"S",5,4,"1981",-5.707241301,43.32530597,"500",190
"7","NEW-OMAR-BA43",0.00104262542301421,-0.00644062262560344,1019,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"",0,12,"1981",-5.707241301,43.32530597,"500",190
"8","NEW-OMAR-BA58",-0.00681080661250101,-0.00129864471457565,7,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini",NA,"",10,100,"1981",-5.694921052,43.32559713,"500",200
"9","NEW-OMAR-CA01",-0.0120656117044604,0.00639895765325883,8,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.673083717,43.27902792,"10",252
"10","NEW-OMAR-CA02",-0.00900971921579829,0.00353057620011995,9,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.67282991,43.2791419,"10",252
"11","NEW-OMAR-CA03",-0.00988367416227696,0.00667122775358086,10,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.672872063,43.27897884,"10",254
"12","NEW-OMAR-CA04",-0.0140782339115459,0.00431187480084393,11,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.673663223,43.27875325,"10",255
"13","NEW-OMAR-CA05",-0.0120298779948093,0.00431305337297267,12,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.673593878,43.27829566,"10",257
"14","NEW-OMAR-CA06",-0.0113669953842376,0.00582443423379212,13,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.673457181,43.27855097,"10",254
"15","NEW-OMAR-CA07",-0.0206250870896859,-0.0072428230169693,14,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.673290343,43.27868093,"10",254
"16","NEW-OMAR-CA08",-0.00985358081343005,0.00776066584612349,15,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.673131087,43.27870267,"10",255
"17","NEW-OMAR-CA09",-0.005333114703723,0.0123548362000965,16,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.6741795,43.27872316,"10",256
"18","NEW-OMAR-CA10",-0.00764142661846084,0.0140750561091431,17,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.674394578,43.27800681,"10",257
"19","NEW-OMAR-MO01",-0.00582138597245946,0.0135636145335509,20,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.680778937,43.29204762,"10",224
"20","NEW-OMAR-MO02",-0.0104398922966126,0.0142182369349658,21,1,"Oxalidion europaeae",NA,"",NA,"",0,1,"2020",-5.680075536,43.29174898,"10",223
"21","NEW-OMAR-MO03",-0.0067548133771892,0.00936047448507073,22,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.679180719,43.29130174,"10",223
"22","NEW-OMAR-MO04",-0.0077595858672381,0.0115815899650577,23,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.678167126,43.29095633,"10",224
"23","NEW-OMAR-MO05",-0.00612858201065962,0.00996955669864359,24,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.676976812,43.29051601,"10",225
"24","NEW-OMAR-MO06",-0.00525257732925721,0.0114772573160026,25,1,"Sisymbrion officinalis",NA,"",NA,"",0,1,"2020",-5.677426808,43.29065854,"10",226
"25","NEW-OMAR-MO07",-0.00876263503071447,0.0110954168122762,26,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.678678368,43.29080929,"10",227
"26","NEW-OMAR-MO08",-0.00584139949113751,0.0119026430781393,27,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.67961729,43.29113844,"10",226
"27","NEW-OMAR-MO09",-0.00681187231553054,0.0154402484985595,28,1,"Sisymbrion officinalis",NA,"",NA,"",0,1,"2020",-5.680003752,43.29123743,"10",230
"28","NEW-OMAR-MO10",-0.00575390189681615,0.0144451810253447,29,1,"Sisymbrion officinalis",NA,"",NA,"",0,1,"2020",-5.679940332,43.29063565,"10",233
"29","NEW-OMAR-NI01",-0.0234212837326538,-0.00852516721942891,30,1,"Balloto-Conion maculati",NA,"",NA,"",0,1,"2020",-5.702776474,43.3133463,"10",203
"30","NEW-OMAR-NI02",-0.0207727835595546,-0.0037390946681026,31,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.702508627,43.31314554,"10",203
"31","NEW-OMAR-NI03",-0.020412965135583,-0.012171771403375,32,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.702204227,43.31295465,"10",203
"32","NEW-OMAR-NI04",-0.0162783538508751,0.00460063497921821,33,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.701880334,43.31260214,"10",204
"33","NEW-OMAR-NI05",-0.00660814074447274,-0.0135705904398078,34,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.701143268,43.31266459,"10",203
"34","NEW-OMAR-NI06",-0.00632432845897667,0.0177793069355413,35,1,"Sisymbrion officinalis",NA,"",NA,"",0,1,"2020",-5.701055091,43.31290077,"10",203
"35","NEW-OMAR-NI07",-0.0213542453611846,-0.0102508283249798,36,1,"Dauco-Melilotion",NA,"",NA,"",0,1,"2020",-5.700902534,43.31307545,"10",202
"36","NEW-OMAR-NI10",-0.0242489252116238,-0.016631046230192,37,1,"Balloto-Conion maculati",NA,"",NA,"",0,1,"2020",-5.70073096,43.31365576,"10",201
"37","NEW-OMAR-PA30",0.00321730353070783,0.00576354219167157,1790,1,"Polygono-Coronopodion","Polygono-Coronopodion","Comunidad de Poa annua",NA,"",0,3,"1981",-5.657174634,43.30847288,"500",340
"38","NEW-OMAR-PA35",0.00303928692988253,-0.00272658618112989,1020,1,"Oxalidion europaeae","Oxalidion europaeae","Fumario capreolatae-Veronicetum persicae",NA,"S",5,20,"1981",-5.669491805,43.30818588,"500",335
"39","NEW-OMAR-PA68",-0.00984305379739732,-0.0124265256429655,2149,1,"Cymbalario-Asplenion","Cymbalario-Asplenion","Comunidad de Cymbalaria muralis",NA,"NO",90,10,"1981",-5.654043577,43.23651311,"500",425
"40","NEW-OMAR-PA97",-0.0060281137288068,0.00261903228107416,40,1,"Dauco-Melilotion","Dauco-Melilotion","Picridi echioides-Melilotetum albi",NA,"S",0,40,"1981",-5.654043577,43.23651311,"500",360
"41","NEW-OMAR-TU92",-0.0123573350328721,-0.0214577948436533,2150,1,"Cymbalario-Asplenion","Cymbalario-Asplenion","Comunidad de Cymbalaria muralis",NA,"S",90,5,"1981",-5.666346277,43.23622682,"500",325
"42","Q-P02780",0.00635228769340408,-0.013494758474157,2153,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum","H32d","",NA,20,"1969",-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32
"43","Q-P02781",0.000233701325809735,-0.0315824744698821,2154,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum","?","",NA,50,"1969",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49
"44","Q-P02782",0.0094669016925376,-0.0153538645296633,2155,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum","V","",NA,10,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21
"45","Q-P02783",0.0101856451989443,-0.0155576878250999,2156,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Oxalido-Parietarietum","V15","",NA,10,"1969",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839
"46","Q-P02785",-0.00341757345898863,-0.0203370290096095,2157,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"47","Q-P02786",-0.00291736392099983,-0.0190890301660272,2158,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,10,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"48","Q-P02787",0.00410302107734601,-0.0297156904207731,2159,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","Sa","",NA,10,"1969",-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348
"49","Q-P02788",-0.00413468212216919,-0.0216278585625374,2160,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"50","Q-P02789",-0.00303197229421447,-0.0208589638900308,2161,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"51","Q-P02790",-0.00477323713569013,-0.0241166536186354,2162,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"52","Q-P02791",0.000246323363862234,-0.0195330927200633,2163,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"53","Q-P07031",0.00328524489377943,-0.0181452121251519,2167,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Parietarietum judaicae","?","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"54","Q-P07039",0.00596679265576831,-0.0156534973442037,2168,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Parietarietum judaicae","?","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"55","Q-P07041",-0.00204413077443247,0.00106028081497374,42,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"56","Q-P07045",0.024277406598335,-0.00936515560117522,1026,1,"Oxalidion europaeae","Oxalidion europaeae","Oxalidi latifoliae-Veronicetum persicae","V37","",NA,20,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"57","Q-P07114",0.00271363571877327,0.0113222213841228,207114,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58
"58","Q-P07115",0.00103274721880446,0.0124380689105616,207115,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58
"59","Q-P07119",0.000609747542022238,0.0104652735286517,207119,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"60","Q-P07736",0.0286987936126839,0.0232638447960243,1027,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40
"61","Q-P07737",0.0150058352794714,0.00884338463352135,1028,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V15","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40
"62","Q-P07763",0.00413981593139929,-0.00257483145200362,1029,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
