"SIVIMID","Revised.sintaxon"
"S-P20231","Senecionion fluviatilis"
"S-P20406","Senecionion fluviatilis"
"S-P20408","Senecionion fluviatilis"
"S-P20409","Senecionion fluviatilis"
"S-P20410","Senecionion fluviatilis"
"S-P20411","Senecionion fluviatilis"
"S-P20412","Senecionion fluviatilis"
"S-P20413","Senecionion fluviatilis"
"S-P20414","Senecionion fluviatilis"
"S-P20415","Senecionion fluviatilis"
"S-P20416","Senecionion fluviatilis"
"S-P20417","Senecionion fluviatilis"
"S-P20418","Senecionion fluviatilis"
"S-P20419","Senecionion fluviatilis"
"S-P20420","Senecionion fluviatilis"
"T-P17218","Senecionion fluviatilis"
"T-P17220","Senecionion fluviatilis"
"T-P17221","Senecionion fluviatilis"
"T-P17222","Senecionion fluviatilis"
"T-P17223","Senecionion fluviatilis"
"T-P17224","Senecionion fluviatilis"
"T-P17225","Senecionion fluviatilis"
"T-P17226","Senecionion fluviatilis"
"T-P17227","Senecionion fluviatilis"
"T-P17228","Senecionion fluviatilis"
"T-P17229","Senecionion fluviatilis"
"T-P17230","Senecionion fluviatilis"
"T-P17231","Senecionion fluviatilis"
"T-P17232","Senecionion fluviatilis"
