"SIVIMID","Revised.sintaxon"
"NEW-OMAR-BA05","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-BA06","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-BA34","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-BA38","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-BA42","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-BA43","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-MO02","Spergulo arvensis-Erodion cicutariae"
"NEW-OMAR-PA35","Spergulo arvensis-Erodion cicutariae"
"P-P22131","Spergulo arvensis-Erodion cicutariae"
"P-P22132","Spergulo arvensis-Erodion cicutariae"
"P-P22135","Spergulo arvensis-Erodion cicutariae"
"P-P22136","Spergulo arvensis-Erodion cicutariae"
"P-P22137","Spergulo arvensis-Erodion cicutariae"
"Q-P07045","Spergulo arvensis-Erodion cicutariae"
"Q-P07736","Spergulo arvensis-Erodion cicutariae"
"Q-P07737","Spergulo arvensis-Erodion cicutariae"
"Q-P07763","Spergulo arvensis-Erodion cicutariae"
"Q-P07764","Spergulo arvensis-Erodion cicutariae"
"Q-P07765","Spergulo arvensis-Erodion cicutariae"
"Q-P07766","Spergulo arvensis-Erodion cicutariae"
"Q-P07767","Spergulo arvensis-Erodion cicutariae"
"Q-P07847","Scleranthion annui"
"Q-P07849","Spergulo arvensis-Erodion cicutariae"
"Q-P07850","Spergulo arvensis-Erodion cicutariae"
"Q-P07851","Spergulo arvensis-Erodion cicutariae"
"Q-P07852","Spergulo arvensis-Erodion cicutariae"
"Q-P08170","Spergulo arvensis-Erodion cicutariae"
"Q-P08361","Spergulo arvensis-Erodion cicutariae"
"Q-P08735","Scleranthion annui"
"Q-P08736","Spergulo arvensis-Erodion cicutariae"
"Q-P08737","Spergulo arvensis-Erodion cicutariae"
"Q-P08738","Spergulo arvensis-Erodion cicutariae"
"Q-P08739","Scleranthion annui"
"Q-P08741","Spergulo arvensis-Erodion cicutariae"
"Q-P09810","Spergulo arvensis-Erodion cicutariae"
"Q-P09947","Scleranthion annui"
"Q-P09948","Scleranthion annui"
"Q-P09949","Scleranthion annui"
"Q-P09950","Scleranthion annui"
"Q-P09951","Scleranthion annui"
"Q-P10028","Spergulo arvensis-Erodion cicutariae"
"Q-P10036","Scleranthion annui"
"Q-P10037","Scleranthion annui"
"Q-P10038","Scleranthion annui"
"Q-P10040","Scleranthion annui"
"Q-P10041","Scleranthion annui"
"Q-P10042","Scleranthion annui"
"Q-P10043","Scleranthion annui"
"Q-P10045","Scleranthion annui"
"Q-P10046","Scleranthion annui"
"Q-P10047","Scleranthion annui"
"Q-P10048","Scleranthion annui"
"Q-P10049","Scleranthion annui"
"Q-P10050","Scleranthion annui"
"Q-P10051","Scleranthion annui"
"Q-P10052","Scleranthion annui"
"Q-P10053","Scleranthion annui"
"Q-P10054","Scleranthion annui"
"Q-P10055","Scleranthion annui"
"Q-P10060","Scleranthion annui"
"Q-P10061","Scleranthion annui"
"Q-P10062","Spergulo arvensis-Erodion cicutariae"
"Q-P10064","Spergulo arvensis-Erodion cicutariae"
"Q-P10065","Scleranthion annui"
"Q-P10066","Spergulo arvensis-Erodion cicutariae"
"Q-P10067","Spergulo arvensis-Erodion cicutariae"
"Q-P10068","Scleranthion annui"
"Q-P10069","Spergulo arvensis-Erodion cicutariae"
"Q-P10070","Scleranthion annui"
"Q-P10071","Spergulo arvensis-Erodion cicutariae"
"Q-P10072","Spergulo arvensis-Erodion cicutariae"
"Q-P10073","Spergulo arvensis-Erodion cicutariae"
"Q-P10074","Spergulo arvensis-Erodion cicutariae"
"Q-P10075","Spergulo arvensis-Erodion cicutariae"
"Q-P10077","Spergulo arvensis-Erodion cicutariae"
"Q-P10078","Spergulo arvensis-Erodion cicutariae"
"Q-P10081","Spergulo arvensis-Erodion cicutariae"
"Q-P10082","Spergulo arvensis-Erodion cicutariae"
"Q-P10083","Spergulo arvensis-Erodion cicutariae"
"Q-P10084","Spergulo arvensis-Erodion cicutariae"
"Q-P10085","Spergulo arvensis-Erodion cicutariae"
"Q-P10086","Spergulo arvensis-Erodion cicutariae"
"Q-P10087","Spergulo arvensis-Erodion cicutariae"
"Q-P10088","Spergulo arvensis-Erodion cicutariae"
"Q-P10411","Spergulo arvensis-Erodion cicutariae"
"Q-P13511","Spergulo arvensis-Erodion cicutariae"
"Q-P13517","Spergulo arvensis-Erodion cicutariae"
"Q-P13519","Spergulo arvensis-Erodion cicutariae"
"Q-P14836","Spergulo arvensis-Erodion cicutariae"
"Q-P14973","Spergulo arvensis-Erodion cicutariae"
"Q-P14974","Spergulo arvensis-Erodion cicutariae"
"Q-P14975","Spergulo arvensis-Erodion cicutariae"
"Q-P14976","Spergulo arvensis-Erodion cicutariae"
"Q-P14977","Spergulo arvensis-Erodion cicutariae"
"Q-P14978","Spergulo arvensis-Erodion cicutariae"
"Q-P14979","Spergulo arvensis-Erodion cicutariae"
"Q-P14980","Spergulo arvensis-Erodion cicutariae"
"Q-P14981","Spergulo arvensis-Erodion cicutariae"
"Q-P14982","Spergulo arvensis-Erodion cicutariae"
"Q-P14983","Spergulo arvensis-Erodion cicutariae"
